codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03001,609,357,252,245,116,37,2,36,2,1,0,123,4,129,0,0,4,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03002,4906,4508,398,185,115,19,0,23,12,2,3,40,32,70,14,6,129,5,121,0,1,57,2,0,1,8,3,4,17,3,2,0,1,1,27,7,7,0
03003,580,534,46,42,27,1,17,1,1,0,0,14,2,15,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03004,1049,771,278,232,149,13,0,41,13,2,0,75,5,83,2,0,10,9,0,0,0,35,3,0,4,4,4,1,5,1,3,0,2,0,1,0,0,0
03005,12714,10019,2695,771,406,30,53,14,19,6,19,324,167,365,11,9,1503,2,1486,3,0,394,5,32,12,39,2,1,259,13,3,9,1,8,24,15,5,3
03006,1336,562,774,733,195,40,2,28,3,1,1,529,1,538,0,0,0,0,0,0,0,24,4,3,0,5,1,0,4,0,0,0,0,1,17,12,0,0
03007,243,207,36,29,12,0,0,0,2,0,0,17,6,17,0,0,7,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03008,181,174,7,6,2,0,0,1,1,0,0,4,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,59128,54757,4371,1231,1081,21,133,28,79,25,18,56,695,150,51,29,1823,103,1622,4,30,1068,60,30,80,208,56,15,250,5,63,19,16,97,247,108,104,2
03010,408,387,21,19,13,2,0,0,2,0,0,6,7,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03011,20495,9957,10538,9109,4171,443,135,174,192,62,43,2451,784,4938,319,174,301,121,132,1,19,634,85,14,37,153,49,18,64,16,11,18,19,64,489,177,47,5
03012,3396,1428,1968,1844,347,43,8,15,13,5,1,1399,19,1497,46,7,58,3,51,0,0,40,2,3,1,12,2,1,0,0,0,0,0,9,26,9,0,0
03013,1334,1244,90,41,14,2,0,4,1,0,0,22,1,27,2,2,32,4,28,0,0,17,4,0,1,6,0,0,1,1,0,0,0,1,0,0,0,0
03014,337304,287909,49395,17216,9775,493,689,1085,3051,464,344,957,1902,7441,2838,2144,13671,8092,3760,334,557,14946,1674,324,715,5105,678,197,866,709,377,274,472,2276,3486,1844,418,76
03015,21404,16322,5082,1609,549,35,33,28,42,22,24,688,166,1060,97,185,2895,61,2792,1,0,500,20,2,19,207,26,19,40,8,5,8,18,87,78,54,15,0
03016,117,97,20,15,6,0,0,0,0,0,0,9,5,9,0,0,1,0,1,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
03017,498,467,31,6,3,1,0,2,0,0,0,3,0,3,0,0,23,0,22,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
03018,22657,15044,7613,5674,3641,365,185,256,235,84,40,862,876,2033,689,164,483,105,319,4,35,1035,178,74,51,174,112,21,132,25,10,15,25,80,417,103,36,4
03019,21088,19521,1567,878,529,31,14,52,57,16,6,250,182,349,21,49,202,52,136,0,10,418,35,7,9,77,13,6,147,9,5,9,9,39,65,47,7,4
03020,134,118,16,15,2,0,1,1,0,0,0,13,0,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7113,6707,406,54,40,1,14,2,2,0,2,11,12,14,0,0,92,2,85,0,4,89,4,0,4,39,3,0,26,1,4,0,0,2,171,17,153,0
03022,170,161,9,4,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03023,1707,1622,85,58,52,0,44,0,3,0,1,4,3,6,0,1,11,0,0,3,6,14,2,3,0,1,0,0,8,0,0,0,0,0,2,0,2,0
03024,5453,4742,711,365,257,3,100,10,6,15,3,66,98,108,2,35,271,8,253,0,0,66,2,3,2,31,6,1,6,4,2,0,2,2,9,2,7,0
03025,1958,1688,270,217,130,44,3,8,2,20,0,72,14,87,6,8,21,0,20,0,0,29,10,0,2,7,2,0,3,0,0,0,2,3,3,0,0,0
03026,2227,1723,504,397,234,94,3,24,9,0,1,140,32,163,1,3,22,1,19,1,1,84,12,3,3,19,2,5,6,0,2,2,4,17,1,0,0,0
03027,192,168,24,23,15,6,0,1,0,0,0,8,5,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03028,1083,1033,50,38,31,0,16,0,0,0,0,6,8,7,0,0,8,0,7,0,0,4,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
03029,483,274,209,200,32,4,0,1,0,0,1,165,3,168,2,0,0,0,0,0,0,9,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0
03030,1166,681,485,433,171,87,0,7,17,2,1,237,3,262,8,3,18,1,17,0,0,31,4,2,0,6,2,4,0,0,5,0,1,0,1,0,0,2
03031,69118,48949,20169,10775,5632,194,657,288,668,135,97,3389,2221,5143,847,572,2134,876,1038,143,29,3550,331,80,166,1068,505,98,420,54,107,138,96,293,3695,908,1832,15
03032,103,102,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,135,114,21,20,12,3,0,4,1,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03034,3323,1723,1600,1481,458,43,2,25,4,5,1,907,7,1023,30,4,36,6,29,0,0,20,1,2,0,2,0,2,4,1,0,0,0,2,63,39,0,0
03035,737,703,34,29,12,1,0,0,2,0,0,16,7,17,0,0,1,1,0,0,0,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
03036,101,99,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03037,501,392,109,92,41,3,0,7,5,0,0,40,2,51,7,1,8,0,6,0,0,9,0,1,0,2,0,0,4,0,0,2,0,0,0,0,0,0
03038,397,366,31,29,9,0,0,2,1,3,0,19,0,20,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03039,97,91,6,6,2,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03040,415,307,108,102,44,11,2,7,2,0,0,52,1,58,1,0,0,0,0,0,0,4,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1
03041,11462,7462,4000,3115,1833,553,33,138,62,34,11,954,297,1282,127,78,296,32,257,0,0,497,22,13,15,305,9,10,19,0,8,3,25,28,83,44,8,9
03042,4447,1787,2660,2330,816,245,21,63,19,16,1,1237,62,1514,168,26,101,9,89,0,1,130,5,10,13,19,3,3,7,1,1,1,9,11,94,81,2,5
03043,3628,3495,133,86,55,1,19,6,3,2,4,24,3,31,1,2,18,0,17,0,0,20,2,1,0,4,0,0,4,0,1,0,0,7,7,4,3,2
03044,6994,5827,1167,487,212,8,84,9,7,10,6,180,32,275,33,49,539,90,435,0,12,117,6,18,9,44,2,1,24,1,1,3,1,4,24,11,4,0
03045,426,246,180,164,72,11,2,5,0,3,0,87,4,92,1,0,12,7,5,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0
03046,3207,2144,1063,1000,521,94,3,132,27,11,2,422,17,479,21,3,2,0,1,0,1,57,3,0,1,11,11,1,0,1,0,3,6,1,4,0,0,0
03047,23530,12142,11388,8527,5348,919,177,399,299,164,37,1772,1347,3179,699,318,1171,84,816,2,262,1255,151,40,38,686,58,8,13,18,18,9,16,122,434,211,53,1
03048,7589,6063,1526,800,634,32,44,22,23,6,6,102,429,166,23,20,235,112,116,0,2,475,49,144,14,61,5,5,148,0,7,0,6,23,16,5,9,0
03049,19273,14935,4338,540,214,7,54,19,8,4,5,73,76,326,21,151,3437,80,3348,4,1,309,11,27,8,54,10,0,149,17,2,3,12,5,52,23,23,0
03050,29013,23690,5323,3752,2455,165,36,728,433,79,54,781,301,1297,304,108,526,422,74,3,7,858,163,5,74,141,41,18,19,50,28,10,48,111,177,60,19,10
03051,429,410,19,18,17,0,14,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03052,1191,1143,48,37,19,0,14,0,1,0,0,2,4,18,0,16,3,0,3,0,0,7,1,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0
03053,10752,9469,1283,722,231,16,14,36,42,6,4,430,31,491,24,26,277,25,250,0,1,219,35,11,10,33,6,10,31,5,1,7,11,20,65,24,25,0
03054,425,351,74,66,25,3,0,4,0,0,0,40,1,41,1,0,7,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03055,8880,6717,2163,1413,485,30,12,88,21,13,5,872,42,928,9,11,560,6,548,0,0,133,7,6,10,26,2,6,21,4,3,0,2,30,57,40,2,0
03056,11451,10085,1366,292,121,3,11,12,9,3,6,121,39,171,15,29,955,5,930,1,8,87,8,0,4,14,1,2,7,0,11,1,1,9,32,13,14,0
03057,271,221,50,31,19,1,0,2,0,1,0,8,6,12,2,0,7,1,5,0,1,9,0,2,0,3,1,0,0,0,0,0,0,0,2,0,2,1
03058,7427,6182,1245,236,134,3,27,9,3,1,4,21,60,102,1,73,784,3,775,0,0,203,3,2,8,19,1,0,140,6,1,1,9,3,22,17,5,0
03059,29717,25810,3907,953,418,62,9,82,24,11,5,448,57,535,15,5,2428,90,2312,2,2,414,18,13,32,212,1,0,26,22,3,10,8,24,106,79,21,6
03060,117,111,6,5,4,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03061,1757,1290,467,330,72,9,4,8,1,2,0,237,1,258,2,4,114,3,110,0,0,15,1,0,0,9,0,0,0,0,0,0,1,3,8,1,0,0
03062,707,262,445,425,151,7,2,6,4,6,1,263,1,274,3,0,4,0,4,0,0,11,1,0,0,2,0,0,3,0,0,3,0,1,5,0,1,0
03063,42953,33267,9686,6447,3817,870,418,448,400,103,46,1144,750,2630,565,520,520,45,408,8,39,2216,210,43,93,830,153,42,183,39,26,21,131,259,494,173,64,9
03064,7620,6224,1396,589,242,29,5,25,12,2,10,310,29,347,12,10,668,24,642,0,0,122,4,1,10,24,8,31,16,0,0,2,1,13,16,5,9,1
03065,234205,208737,25468,8122,6221,244,315,483,789,140,180,757,3329,1901,381,274,8123,1409,4683,204,631,6527,541,113,326,2377,194,115,648,787,126,67,184,632,2671,2252,216,25
03066,52551,49456,3095,860,616,24,17,30,86,40,30,51,307,244,44,114,658,229,368,6,29,1355,112,29,32,764,38,17,64,26,32,20,12,158,194,100,29,28
03067,105,98,7,5,3,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03068,45,41,4,4,1,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03069,7402,4321,3081,2419,1182,62,90,94,138,31,38,569,216,1237,457,121,200,65,122,2,1,336,91,12,29,72,18,9,11,1,7,9,8,42,123,39,11,3
03070,4337,2658,1679,1253,446,20,61,30,16,18,5,732,55,807,22,19,330,25,299,0,0,78,11,2,12,14,1,1,28,0,0,2,2,5,18,0,7,0
03071,6223,4863,1360,649,270,46,6,32,30,14,2,335,23,379,23,8,391,0,386,0,3,284,86,0,0,127,3,2,14,0,4,0,28,10,34,10,17,2
03072,505,459,46,38,17,2,0,0,0,0,0,20,4,21,1,0,0,0,0,0,0,8,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
03073,261,252,9,9,5,0,4,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03074,2609,2133,476,74,61,0,14,4,2,2,0,3,24,13,0,8,321,5,316,0,0,73,1,1,3,32,4,3,18,4,0,0,4,1,8,5,2,0
03075,243,178,65,58,34,3,0,4,4,0,2,20,0,24,4,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0
03076,15983,10808,5175,4205,1795,165,319,102,166,56,23,1201,228,2410,548,453,433,41,333,0,44,345,58,3,52,64,29,19,13,11,4,5,27,29,192,114,13,0
03077,2634,1664,970,935,436,63,9,16,6,2,0,493,9,499,0,0,6,1,4,0,0,18,2,0,1,7,0,0,2,0,0,0,0,2,11,5,0,0
03078,1299,603,696,676,191,29,1,14,9,1,0,474,4,485,4,1,3,0,1,0,0,13,0,3,0,5,1,0,2,0,1,1,0,0,4,0,0,0
03079,23652,22167,1485,683,629,11,26,12,57,9,9,25,494,54,9,15,123,43,60,0,4,528,49,18,9,105,25,6,139,22,21,9,30,24,148,51,91,3
03080,2030,1630,400,327,117,9,5,10,3,36,0,182,14,210,10,11,48,6,39,0,0,24,1,3,3,8,3,0,0,0,0,0,1,1,1,0,0,0
03081,2892,1832,1060,885,334,51,12,26,17,3,4,521,15,551,6,8,106,0,105,0,0,59,8,4,2,9,0,17,1,2,0,1,1,2,8,1,0,2
03082,27983,15950,12033,8654,3173,698,86,394,243,115,23,4777,183,5481,266,143,944,17,879,2,11,1818,97,20,30,803,21,10,106,10,15,7,85,454,594,147,237,23
