codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03001,693,380,313,303,303,74,13,4,2,0,0,189,8,0,0,0,0,0,0,0,0,9,5,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0
03002,4810,4266,544,247,198,20,2,14,2,8,3,31,85,49,31,9,189,6,183,0,0,102,8,0,0,3,2,0,71,9,0,0,2,3,6,1,0,0
03003,619,558,61,58,58,2,32,0,0,0,0,19,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
03004,1064,729,335,290,280,28,1,38,7,0,0,133,6,10,5,0,1,1,0,0,0,43,7,0,0,3,1,2,24,1,1,0,0,0,1,0,0,0
03005,11745,9343,2402,1066,1021,93,106,9,9,2,4,456,230,45,15,6,642,1,631,0,0,681,15,61,21,19,4,3,539,2,1,1,7,1,13,9,0,0
03006,1507,590,917,865,857,56,3,24,2,0,0,675,1,8,0,0,11,1,10,0,0,33,4,9,0,1,1,0,7,1,5,0,0,2,8,5,0,0
03007,228,181,47,40,40,0,0,0,1,0,4,32,0,0,0,0,1,0,1,0,0,6,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0
03008,206,198,8,8,8,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,61552,57862,3690,1735,1611,20,208,40,44,47,23,48,1113,124,37,18,552,75,420,3,10,1296,75,70,27,239,40,15,667,1,44,17,30,16,104,59,32,3
03010,413,389,24,22,22,0,0,0,1,0,0,6,13,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,21011,9165,11846,10851,8196,827,106,237,190,71,35,3137,797,2655,156,97,166,50,93,0,11,662,129,28,78,111,28,26,116,12,13,17,16,32,165,112,18,2
03012,4346,1311,3035,3012,2941,174,7,11,6,5,5,2536,8,71,3,6,5,1,3,0,0,18,0,0,1,7,1,2,4,0,0,1,0,1,0,0,0,0
03013,1551,1417,134,82,78,3,0,6,1,17,0,36,8,4,2,0,42,2,40,0,0,7,1,0,0,0,0,0,2,0,0,0,0,2,3,0,3,0
03014,334757,284268,50489,18092,14727,931,1258,2105,2824,674,481,832,3620,3365,1244,1029,9857,3252,3855,721,836,20719,3521,1520,741,5302,520,400,4450,1253,593,375,723,649,1792,954,195,29
03015,19147,15091,4056,1851,1489,55,43,44,35,16,44,942,110,362,110,186,1658,18,1629,5,0,506,30,29,15,203,12,20,134,4,0,4,29,21,40,31,0,1
