codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03001,749,401,348,345,344,79,18,5,0,0,2,207,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0
03002,4791,4302,489,248,212,19,0,19,3,11,2,35,89,36,20,7,170,2,168,0,0,64,4,0,0,5,4,1,37,8,0,0,0,1,7,1,0,0
03003,598,526,72,66,66,3,35,0,0,0,1,21,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
03004,1105,758,347,304,291,29,1,44,7,2,0,128,2,13,4,0,0,0,0,0,0,40,4,0,0,2,0,1,23,2,2,0,0,0,3,0,0,0
03005,11936,9527,2409,1088,1046,91,115,12,11,3,4,447,239,42,12,5,708,3,693,1,0,594,12,33,17,30,2,4,476,8,0,0,1,1,19,18,0,0
03006,1433,584,849,807,799,61,1,29,3,0,0,597,1,8,0,0,2,1,1,0,0,29,6,8,0,2,1,0,4,1,0,0,0,3,11,6,0,0
03007,233,186,47,40,40,0,0,0,1,0,3,32,1,0,0,0,5,0,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
03008,204,185,19,18,18,1,3,6,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03009,60837,57367,3470,1853,1755,23,221,43,41,56,29,60,1195,98,39,22,593,72,462,2,7,860,61,27,21,115,40,5,463,2,30,18,9,12,163,102,46,1
03010,419,397,22,22,22,0,0,0,1,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,21964,9378,12586,11507,8611,793,143,258,203,72,40,3354,857,2896,236,119,213,92,100,0,13,651,107,19,62,111,36,25,113,17,15,23,22,38,211,138,31,4
03012,4755,1339,3416,3396,3295,177,11,11,7,5,6,2826,8,101,27,7,2,0,0,2,0,17,2,0,0,2,3,0,1,1,2,1,0,2,1,0,0,0
03013,1527,1382,145,86,85,2,0,6,1,17,0,38,15,1,1,0,46,2,44,0,0,10,1,2,0,0,1,0,2,0,0,0,0,3,3,0,3,0
03014,334678,285074,49604,20309,16646,1054,1406,2264,3144,763,552,949,4199,3663,1401,1083,10723,4038,3987,683,842,16179,2446,1157,558,4200,577,307,3073,1108,454,393,518,662,2368,1263,354,25
03015,19601,15338,4263,1643,1289,40,47,36,35,18,27,768,148,354,111,175,2190,66,2106,6,0,383,21,16,18,135,14,22,92,1,4,5,18,29,46,38,3,1
03016,129,106,23,23,23,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,515,473,42,14,14,1,0,0,0,0,0,12,1,0,0,0,27,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03018,24298,14703,9595,7944,6644,824,288,351,243,82,39,1458,1144,1300,528,87,449,80,315,2,25,997,196,77,40,121,54,20,295,11,10,22,39,26,200,80,50,5
03019,20309,18621,1688,911,805,19,14,43,47,11,9,328,202,106,22,71,149,41,106,0,0,565,49,12,17,102,7,7,303,15,5,3,8,11,63,38,9,0
03020,157,124,33,33,32,2,4,1,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7222,6887,335,86,81,2,27,0,7,2,4,15,15,5,0,1,71,0,69,0,2,87,5,0,2,23,3,0,49,2,2,0,0,0,91,11,78,0
03022,174,164,10,6,5,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
03023,1792,1669,123,87,85,0,65,1,2,1,1,13,2,2,0,0,5,0,4,0,0,31,2,8,0,1,0,0,18,0,0,0,2,0,0,0,0,0
03024,5425,4741,684,405,371,4,85,18,6,26,6,111,85,34,1,26,225,5,215,0,1,53,6,4,5,18,2,0,11,2,1,0,0,0,1,1,0,0
03025,1934,1579,355,297,280,89,1,8,2,15,0,118,3,17,3,10,14,0,14,0,0,41,9,0,0,8,5,0,11,1,2,0,0,3,3,0,0,0
03026,1902,1492,410,315,294,72,13,6,6,3,0,138,15,21,2,6,30,4,24,0,1,64,5,5,4,37,0,2,6,0,0,0,2,1,1,0,0,0
03027,248,158,90,88,88,3,0,4,1,0,0,26,49,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03028,1271,1174,97,70,70,0,24,0,0,1,0,16,15,0,0,0,12,0,8,1,1,15,0,0,1,0,2,0,4,1,0,0,0,0,0,0,0,0
03029,583,288,295,288,285,18,0,5,0,0,0,235,16,3,0,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03030,1315,649,666,627,613,131,1,5,9,4,0,394,7,14,0,0,30,0,29,0,0,8,1,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0
03031,72991,47254,25737,16999,15491,487,1229,571,871,259,230,5780,3553,1508,575,425,1913,737,1078,26,11,3855,470,134,140,875,276,148,1084,56,87,148,177,127,2965,956,1460,5
03032,110,109,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,202,159,43,42,40,11,0,3,0,0,0,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03034,4207,1670,2537,2419,2322,268,31,40,9,2,1,1385,17,97,6,4,60,7,52,0,0,27,2,0,1,2,0,0,17,0,0,4,0,0,31,20,0,0
03035,800,753,47,41,39,2,0,1,0,0,0,27,6,2,0,1,0,0,0,0,0,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
03036,106,103,3,3,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03037,518,388,130,119,106,7,0,12,2,0,0,44,12,13,10,1,1,0,0,0,0,10,2,1,0,0,0,1,4,0,0,2,0,0,0,0,0,0
03038,417,383,34,29,28,0,0,1,0,0,0,24,0,1,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
03039,125,103,22,19,19,1,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03040,424,301,123,115,112,11,1,7,0,0,0,80,1,3,0,0,2,2,0,0,0,5,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
03041,13808,7101,6707,6006,5586,1854,40,155,79,42,4,1941,453,420,32,43,308,38,266,1,1,334,44,68,7,105,5,12,32,2,19,1,5,6,53,35,9,6
03042,5698,1631,4067,3819,3545,603,20,58,23,17,4,2311,67,274,128,21,74,6,68,0,0,138,8,5,2,31,0,14,33,0,3,1,9,5,35,22,0,1
03043,3695,3529,166,86,73,1,11,8,1,0,2,36,2,13,0,0,36,0,31,0,0,24,0,0,0,1,0,1,18,0,0,0,1,0,20,4,15,0
03044,6719,5580,1139,655,550,8,121,14,4,20,10,277,46,105,34,57,315,82,230,1,2,152,5,5,2,67,1,0,55,1,0,1,11,1,17,11,0,0
03045,450,255,195,190,178,13,4,9,1,1,0,110,4,12,4,0,1,1,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
03046,3412,1979,1433,1402,1328,149,0,85,19,27,3,800,20,74,17,0,4,0,1,0,2,24,6,0,0,5,5,0,1,1,2,0,0,1,3,0,0,0
03047,29550,11052,18498,16221,14968,3723,262,737,324,244,50,4285,1915,1253,397,120,991,66,689,3,224,922,162,58,31,434,57,7,37,5,16,4,43,27,362,225,19,2
03048,7815,5779,2036,1102,1059,55,94,44,9,11,11,254,456,43,9,7,144,62,80,0,1,776,48,246,1,10,4,10,445,1,0,1,3,2,14,9,5,0
