codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03125,581,406,175,127,120,25,3,5,2,0,0,46,4,7,7,0,34,0,34,0,0,14,1,5,0,1,1,0,1,0,0,1,0,1,0,0,0,0
03127,627,395,232,220,215,38,0,26,0,2,0,76,7,5,1,0,0,0,0,0,0,12,1,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0
03128,10722,5202,5520,4532,4221,682,311,145,62,39,3,1957,228,311,99,30,324,31,284,2,5,473,42,61,17,223,10,2,36,1,1,7,17,15,183,97,26,8
03129,1564,1392,172,159,157,29,0,4,5,0,0,68,16,2,1,0,3,2,1,0,0,10,2,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0
03130,56,46,10,8,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03131,336,210,126,123,121,14,0,0,0,3,0,86,1,2,0,1,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03132,654,551,103,97,90,21,0,4,1,0,0,19,15,7,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0
03133,82599,50566,32033,22652,14242,945,1477,411,759,450,228,4437,1570,8410,4077,2772,3776,751,2406,141,351,3581,402,23,417,1061,226,270,358,96,56,83,236,168,2014,943,181,10
03134,164,151,13,13,11,0,0,3,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03136,589,469,120,105,104,11,12,11,1,0,0,41,21,1,0,1,3,1,0,0,0,11,1,1,0,0,0,3,2,0,0,0,0,1,1,0,0,0
03137,820,714,106,98,92,12,0,6,1,0,0,44,10,6,1,3,1,0,1,0,0,7,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
03135,224,206,18,16,16,2,0,5,1,0,0,7,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03138,4520,3761,759,519,460,99,21,27,11,5,5,61,155,59,19,21,126,7,111,1,5,58,7,6,3,6,1,0,19,1,1,3,5,1,56,44,4,0
03139,33969,27617,6352,4155,3019,126,273,196,239,66,43,481,954,1136,570,318,1183,296,843,18,6,760,117,15,52,242,44,22,95,12,11,24,25,68,254,89,61,0
03140,33983,31951,2032,675,609,20,230,10,10,11,6,114,177,66,12,21,754,35,672,1,6,441,22,5,13,137,8,1,159,15,6,7,2,38,162,62,49,0
03081,2683,1771,912,760,742,67,13,20,15,2,1,442,16,18,2,2,96,1,93,0,0,39,5,6,0,4,0,13,1,2,0,0,1,2,14,4,0,3
