codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03001,627,389,238,237,233,50,20,7,0,0,1,130,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
03002,4752,4344,408,197,162,17,0,17,2,8,2,32,66,35,19,8,156,2,152,1,0,49,4,0,1,3,2,2,23,10,0,0,0,1,6,1,0,0
03003,583,532,51,47,47,3,24,0,1,0,1,13,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
03004,984,717,267,231,218,23,1,27,2,1,0,77,1,13,5,0,1,0,0,0,0,33,2,0,1,1,0,1,18,3,2,0,0,0,2,0,0,0
03005,11767,9579,2188,856,815,48,86,11,11,6,4,337,206,41,14,8,808,4,791,2,0,507,7,30,8,30,4,4,402,8,2,0,2,0,17,14,2,0
03006,1350,609,741,710,703,49,1,28,3,4,0,523,2,7,0,0,2,1,1,0,0,18,4,4,0,1,1,0,2,1,0,0,0,1,11,6,0,0
03007,238,196,42,38,38,0,0,0,1,0,2,29,2,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
03008,191,179,12,11,11,0,0,6,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,59675,56703,2972,1201,1109,20,124,24,27,26,12,33,781,92,43,23,770,84,630,4,16,814,41,44,34,117,36,10,394,1,34,23,7,13,186,93,72,1
03010,418,399,19,19,19,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,21357,9629,11728,10671,7825,676,133,222,199,56,39,3081,742,2846,262,133,276,118,124,1,15,538,89,22,36,97,38,28,86,21,8,22,15,25,240,154,32,3
03012,3799,1329,2470,2427,2327,45,7,7,6,0,7,2030,6,100,36,10,19,1,17,1,0,16,3,2,0,4,1,0,1,0,1,0,0,1,8,5,1,0
03013,1457,1362,95,42,41,2,0,5,1,3,0,14,13,1,1,0,43,2,41,0,0,6,0,0,0,0,3,0,1,0,0,0,0,1,4,0,1,0
03014,332067,287166,44901,17594,13623,751,1094,1716,2620,640,408,803,3653,3971,1672,1169,12312,6183,3839,579,700,12282,1836,902,470,3096,503,212,2017,910,308,350,445,527,2678,1357,476,35
03015,19992,15593,4399,1731,1361,49,50,33,37,22,25,790,163,370,119,178,2297,93,2183,6,1,303,24,15,18,104,15,22,63,1,1,6,13,14,68,51,11,0
03016,112,99,13,13,13,0,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,527,470,57,23,23,1,13,0,0,0,0,8,1,0,0,0,30,0,30,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
03018,22518,14673,7845,6345,5112,524,258,282,218,76,23,941,1104,1233,632,114,433,80,308,1,21,850,141,68,32,98,52,24,248,12,8,23,34,29,210,78,38,7
03019,20248,18830,1418,752,650,11,10,29,44,9,1,231,183,102,25,58,144,41,98,0,0,450,36,19,10,67,5,7,233,8,7,4,7,10,72,44,14,0
03020,139,114,25,25,24,2,3,1,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7174,6837,337,60,56,1,21,4,5,0,0,15,5,4,0,0,86,2,80,0,4,79,3,0,2,21,2,0,43,4,2,0,0,1,112,10,100,0
03022,158,146,12,4,3,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
03023,1738,1653,85,54,53,0,35,0,1,1,1,8,7,1,0,0,6,2,2,1,0,25,1,8,0,1,0,0,13,0,0,0,2,0,0,0,0,0
03024,5394,4724,670,405,371,7,90,18,5,17,9,109,90,34,0,29,212,3,203,0,2,42,4,5,3,15,1,1,9,2,1,0,0,0,11,10,0,0
03025,1910,1573,337,281,264,72,3,8,2,19,0,113,10,17,5,10,19,0,19,0,0,34,12,0,0,12,3,0,5,0,1,0,0,1,3,0,0,0
03026,1859,1476,383,307,286,86,7,10,8,2,0,114,15,21,0,6,21,4,16,0,1,54,5,4,4,20,3,1,7,0,1,0,2,3,1,0,0,0
03027,208,149,59,57,57,4,0,2,1,0,0,18,30,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03028,1254,1167,87,61,61,0,18,0,0,1,0,13,25,0,0,0,14,0,8,1,3,12,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0
03030,1189,649,540,497,481,90,1,7,9,2,0,305,7,16,0,0,31,1,30,0,0,12,2,3,0,0,0,6,0,0,1,0,0,0,0,0,0,0
03031,69010,48065,20945,12462,10881,311,943,404,692,199,144,3217,3239,1581,753,443,2089,894,1081,50,9,3190,393,136,136,655,298,130,824,46,66,126,143,100,3196,1017,1536,8
03032,121,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
