codine,Total Población,Total Extranjeros,Total Europa,Total Unión Europea,Reino Unido,Alemania,Total Africa,Marruecos,Total América,Colombia,Ecuador,Total Asia,Resto
03116,1322,77,48,39,14,21,2,1,27,9,17,0,0
03117,592,112,90,72,35,27,20,20,2,0,2,0,0
03118,4815,2395,2224,2123,1053,761,99,91,57,3,35,14,1
03119,17478,1061,470,394,60,57,262,194,288,57,53,41,0
03120,4678,1866,1692,1541,889,498,110,61,56,14,32,8,0
03121,20965,1855,1085,705,209,83,92,46,612,344,69,66,0
03122,40599,1050,392,285,32,49,145,60,438,179,56,75,0
03123,8664,123,51,29,7,14,3,1,65,19,26,4,0
03124,586,37,27,25,5,18,1,0,9,5,0,0,0
03125,537,136,99,96,59,19,30,27,3,1,0,4,0
03127,725,165,159,143,58,20,0,0,5,0,3,1,0
03128,10858,6247,5639,5179,2401,1587,134,114,416,274,31,54,4
03129,1267,57,51,46,9,12,2,1,4,1,0,0,0
03131,312,99,88,82,54,18,7,5,3,0,3,0,1
03132,695,17,15,14,0,11,0,0,2,0,0,0,0
03133,69763,28995,23342,18227,7381,4178,1405,884,3856,1730,749,386,6
03134,170,10,10,8,7,1,0,0,0,0,0,0,0
03135,338,21,18,18,6,3,0,0,3,0,0,0,0
03136,578,42,20,16,9,0,0,0,22,2,19,0,0
03137,885,36,24,23,11,4,4,4,7,1,2,1,0
03138,3897,303,135,85,8,45,56,36,109,64,28,3,0
03139,25073,1789,1124,811,245,128,288,268,342,65,119,35,0
03140,32892,1029,145,54,19,8,197,171,619,278,296,68,0
03901,2044,1069,1003,783,96,538,12,1,51,35,3,3,0
03902,13246,3258,1820,1493,585,555,979,966,443,28,352,16,0
03903,2807,243,170,126,58,38,59,36,13,10,2,1,0
03904,1330,18,14,3,0,11,11,8,2,3,0,0,0
