codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03002,4758,4389,369,181,146,18,0,14,12,2,3,38,37,35,18,7,123,2,119,0,1,47,2,2,4,12,1,2,12,5,0,0,0,1,18,6,4,0
03003,565,526,39,38,38,2,19,0,1,0,0,13,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03004,963,718,245,211,198,17,0,30,3,2,0,60,1,13,4,0,9,7,0,1,0,24,2,0,1,2,5,2,4,1,1,0,0,0,1,0,0,0
03005,12279,9909,2370,675,643,29,46,13,12,4,13,287,154,32,12,8,1287,2,1270,3,1,388,7,29,10,27,4,1,286,7,4,3,1,2,17,9,5,3
03006,1278,563,715,682,675,40,2,32,4,1,1,485,2,7,0,0,0,0,0,0,0,23,4,4,1,6,1,0,2,0,0,0,0,1,10,5,0,0
03007,230,192,38,33,33,0,0,0,1,0,4,19,6,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03008,173,169,4,4,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,58994,55289,3705,1147,1050,12,137,24,49,24,9,50,672,97,47,25,1392,67,1253,4,22,907,45,29,68,160,47,14,298,4,45,23,7,61,256,117,119,3
03010,410,389,21,18,18,0,0,0,2,0,0,7,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
03011,20482,9915,10567,9252,6663,446,124,205,184,52,38,2413,746,2589,338,196,327,143,132,1,21,598,92,18,30,117,47,19,58,16,6,29,22,58,385,170,31,5
03012,2935,1436,1499,1416,1349,28,8,18,10,2,2,1102,5,67,32,10,39,15,23,1,0,24,1,4,1,10,2,0,0,0,0,0,0,4,20,9,0,0
03013,1336,1270,66,31,28,2,0,5,1,0,0,13,3,3,2,0,27,0,27,0,0,8,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0
