codine,Total Población,Total Extranjeros,Total Europa,Total Unión Europea (25),Alemania,Francia,Italia,Reino Unido,Resto de Europa,Bulgaria,Rumanía,Total Africa,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía y Apátridas
03001,627,229,220,215,60,6,0,136,5,0,5,4,4,4,0,0,3,0,0,1,0,0
03002,4723,482,187,82,12,12,1,24,105,0,42,153,140,137,12,1,7,106,0,5,1,0
03003,614,34,28,5,2,0,0,3,23,19,4,0,0,6,0,0,0,5,0,0,0,0
03004,827,243,208,200,18,28,4,97,8,0,0,0,0,35,11,0,5,10,1,0,0,0
03005,10878,1769,752,529,93,11,2,335,223,78,102,376,358,638,9,34,16,551,1,3,0,0
03006,1418,811,755,745,56,25,1,573,10,3,3,6,4,34,7,10,4,7,0,16,13,0
03007,194,25,24,24,0,0,0,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0
03008,213,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,60590,2536,742,191,13,30,28,28,551,88,374,445,293,1254,83,44,118,807,31,95,57,0
03010,422,12,7,5,0,0,1,4,2,0,2,0,0,5,0,5,0,0,0,0,0,0
03011,18469,9800,8985,6218,756,195,149,2575,2767,103,436,133,84,544,112,32,80,120,7,136,104,2
03012,2914,1674,1636,1579,165,5,1,1318,57,1,2,16,15,22,4,0,9,6,0,0,0,0
03013,1528,123,68,48,5,6,1,27,20,3,9,40,37,15,0,0,2,1,0,0,0,0
03014,322431,37416,12574,7773,716,1931,2187,711,4801,652,1716,7081,2734,16510,3581,693,4365,4064,413,1218,680,33
03015,17494,2866,1209,840,39,27,23,580,369,20,58,1217,1198,418,17,1,191,96,0,21,14,1
03016,119,17,17,16,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,453,53,17,15,0,0,1,13,2,0,2,35,35,1,0,0,1,0,0,0,0,0
03018,21898,7112,5686,4038,739,228,165,1193,1648,225,683,282,202,1058,233,19,134,398,16,83,63,3
03019,18821,1364,698,497,19,43,35,296,201,14,49,88,61,531,71,10,66,328,1,47,42,0
03020,160,23,23,23,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7237,280,36,16,0,0,6,2,20,6,5,59,55,142,15,0,19,96,3,43,5,0
03022,210,7,4,3,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,1,1,0
03023,1802,119,42,12,0,0,0,12,30,30,0,3,3,74,3,4,0,65,0,0,0,0
03024,5306,413,241,125,3,8,1,53,116,38,34,126,107,45,0,9,22,8,0,1,0,0
03025,1493,295,269,265,114,9,1,94,4,0,1,7,7,18,0,8,1,5,0,1,0,0
03026,1615,362,236,208,58,10,1,105,28,5,7,21,21,105,0,0,84,6,1,0,0,0
03027,208,48,44,18,0,3,0,10,26,0,26,2,2,2,0,0,0,2,0,0,0,0
03028,1324,69,37,22,0,0,0,7,15,14,1,20,3,12,1,0,0,5,0,0,0,0
03029,563,240,232,228,17,4,0,198,4,0,2,3,3,5,0,0,1,0,0,0,0,0
03030,1113,534,500,483,99,1,4,354,17,3,5,9,8,25,0,0,4,0,0,0,0,0
03031,67627,17908,11011,7605,401,411,584,4076,3406,617,1515,1100,718,4184,660,122,930,1248,111,1609,921,4
