codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03001,632,384,248,247,242,49,17,31,0,0,1,118,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
03002,4707,4335,372,181,149,18,0,16,3,4,2,36,55,32,17,7,143,1,141,1,0,43,4,0,0,4,1,2,16,8,0,0,0,2,5,1,1,0
03003,574,528,46,43,43,3,22,0,1,0,1,12,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
03004,937,697,240,210,198,23,0,30,2,1,0,63,1,12,3,0,2,1,0,0,0,26,2,0,1,1,0,1,15,2,0,0,0,0,2,0,0,0
03005,11780,9679,2101,759,725,41,72,11,11,6,5,297,179,34,10,6,867,2,851,2,0,458,6,28,8,19,2,5,368,7,2,3,2,0,17,14,1,0
03006,1311,600,711,681,675,42,1,33,3,5,0,509,1,6,0,0,2,1,1,0,0,16,4,3,0,2,1,0,2,1,0,0,0,1,12,7,0,0
03007,216,186,30,28,28,0,0,0,0,0,2,22,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
03008,184,176,8,8,8,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,59567,56603,2964,1206,1116,21,120,26,26,28,9,37,791,90,40,27,856,80,723,4,16,719,39,43,36,97,31,9,335,1,29,19,9,11,183,91,72,0
03010,406,386,20,20,20,0,0,0,1,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,21700,9710,11990,11008,8007,669,144,217,206,62,39,3138,778,3001,293,147,266,105,108,3,28,483,78,16,36,82,40,25,69,20,7,23,13,21,231,136,31,2
03012,3693,1354,2339,2297,2204,38,5,7,7,1,4,1932,7,93,35,7,12,1,10,1,0,14,2,2,0,4,1,0,1,0,1,0,0,1,16,12,1,0
03013,1413,1326,87,41,40,2,0,4,1,1,0,20,11,1,1,0,37,0,37,0,0,6,1,1,0,0,1,0,1,0,0,0,0,1,3,0,0,0
03014,328648,288786,39862,14398,10233,552,837,1215,2003,478,275,590,2770,4165,1825,1272,12443,6882,3541,498,637,10124,1504,667,409,2466,463,168,1530,803,238,281,378,560,2851,1485,467,46
03015,19955,15638,4317,1676,1312,38,49,36,41,19,30,756,161,364,126,171,2329,74,2233,5,0,245,18,9,12,83,12,22,55,0,1,5,10,12,67,52,10,0
03016,114,102,12,12,12,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,522,473,49,20,20,1,12,0,0,0,0,6,1,0,0,0,28,0,28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03018,22385,14744,7641,6231,4929,479,239,258,221,81,24,897,1075,1302,688,125,412,87,286,2,17,754,124,62,30,87,47,20,211,12,11,16,28,21,237,83,30,7
03019,20406,19011,1395,775,663,11,9,40,46,9,1,225,191,112,21,68,154,43,100,6,0,401,29,18,13,56,6,5,210,6,6,3,8,10,65,40,9,0
03020,133,114,19,19,18,2,0,1,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7155,6847,308,55,51,1,20,1,6,0,0,13,5,4,0,0,87,1,82,0,4,76,4,0,2,21,2,0,39,2,2,2,0,0,90,10,80,0
03022,155,145,10,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
03023,1746,1645,101,67,65,0,39,0,1,1,1,9,14,2,0,1,12,2,2,1,6,22,1,8,0,0,0,0,11,0,0,0,2,0,0,0,0,0
03024,5398,4729,669,403,371,5,100,15,6,16,4,104,93,32,0,27,218,3,209,0,2,35,4,1,4,13,1,0,8,2,1,0,0,0,13,11,1,0
03025,1899,1583,316,267,252,70,2,7,3,18,0,107,10,15,5,9,20,0,20,0,0,26,11,0,0,10,2,0,2,0,0,0,0,1,3,0,0,0
03026,1926,1525,401,319,294,79,6,11,6,5,0,122,14,25,0,4,20,2,17,0,1,61,6,6,4,22,3,1,6,0,0,0,3,3,1,0,0,0
03027,227,181,46,44,44,5,0,3,1,0,0,16,18,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03028,1208,1137,71,58,58,0,19,0,0,1,0,13,20,0,0,0,9,0,9,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
03030,1196,652,544,507,490,94,1,12,9,1,0,307,11,17,0,0,26,1,25,0,0,11,2,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0
03031,69045,48668,20377,12212,10554,312,924,394,642,180,141,3203,3038,1658,774,499,2165,966,1046,74,20,2800,358,127,120,540,285,120,677,51,70,112,116,104,3192,1002,1527,8
03032,114,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
03033,156,136,20,20,19,2,0,3,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03029,490,267,223,219,217,5,0,2,0,0,0,190,13,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03034,3655,1745,1910,1797,1685,170,19,20,5,2,0,995,9,112,20,2,44,2,41,0,0,24,1,0,0,4,0,0,10,0,0,4,0,0,45,31,0,0
03035,786,740,46,43,40,2,0,1,0,0,0,26,8,3,0,2,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03036,101,99,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03037,501,416,85,79,65,2,0,8,1,0,0,27,0,14,11,1,0,0,0,0,0,6,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0
03038,433,400,33,29,28,0,0,1,0,2,0,22,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
03039,111,94,17,16,16,1,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03040,416,309,107,104,102,10,0,4,0,0,0,73,1,2,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03041,11598,7202,4396,3798,3497,908,36,122,62,38,6,1227,363,301,54,54,273,29,236,0,2,266,30,42,6,92,9,14,17,0,8,3,5,6,49,29,5,10
03042,4690,1640,3050,2844,2572,387,13,55,23,10,3,1631,73,272,146,23,70,7,62,0,1,91,3,6,3,19,0,1,19,0,3,1,4,4,45,34,0,0
03043,3657,3534,123,79,71,0,16,7,1,0,2,25,7,8,0,0,19,0,17,1,0,9,1,0,1,0,0,0,6,0,0,0,1,0,16,4,12,0
03044,6714,5599,1115,608,481,11,98,16,4,18,6,233,48,127,47,60,338,108,225,1,4,141,3,14,3,48,3,1,50,0,1,3,11,2,28,17,3,0
03045,426,257,169,160,155,10,5,6,1,1,0,94,3,5,2,0,6,1,5,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03046,3075,1993,1082,1058,1006,121,0,79,17,7,1,558,20,52,11,1,2,0,0,0,1,21,3,0,0,3,4,0,0,0,0,0,0,2,0,0,0,1
03049,18200,15020,3180,505,294,8,57,24,5,5,8,93,61,211,16,146,2276,49,2212,5,0,369,10,48,13,36,3,0,218,20,1,2,15,0,30,16,11,0
03048,7133,5824,1309,609,570,24,45,19,4,9,3,116,285,39,10,7,133,60,71,0,0,551,41,178,0,7,2,10,296,2,4,1,5,1,16,10,2,0
03047,21540,11309,10231,8336,7344,1138,192,373,219,154,39,2071,1510,992,519,151,896,68,627,3,191,642,115,41,21,285,48,2,30,9,13,5,28,23,354,204,36,3
03050,27356,22766,4590,3565,3204,197,41,670,322,53,40,801,377,361,196,52,294,222,58,1,3,592,171,14,44,91,30,15,34,42,14,12,39,29,139,73,12,0
03051,445,419,26,25,25,1,19,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03052,1229,1191,38,25,13,0,5,1,0,1,0,2,4,12,0,11,9,0,8,1,0,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
03053,9994,8669,1325,872,826,12,12,33,42,5,4,611,17,46,7,26,217,32,184,0,1,182,28,11,9,7,2,19,76,3,2,0,10,2,54,25,27,0
03054,431,366,65,53,50,1,0,1,0,0,0,40,0,3,3,0,10,6,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03075,224,171,53,51,48,4,0,2,2,0,0,19,7,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
03055,8690,6562,2128,1415,1353,49,15,44,24,3,2,890,54,62,7,15,549,27,519,0,1,124,12,7,9,20,3,6,52,2,0,0,3,10,35,24,1,5
03056,11406,10399,1007,282,267,3,23,10,11,9,8,133,58,15,5,4,612,3,592,2,4,80,13,6,5,7,6,1,15,0,5,4,0,2,33,23,7,0
03057,208,186,22,8,6,1,0,1,1,0,0,3,0,2,0,0,8,0,8,0,0,6,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
03058,7229,6108,1121,236,174,3,25,14,2,3,1,37,68,62,2,59,681,8,669,0,1,196,0,3,4,12,1,0,156,2,0,2,11,1,8,8,0,0
03059,28465,25398,3067,642,590,45,3,44,19,7,8,321,33,52,13,1,2036,73,1937,5,0,288,27,27,21,98,2,1,58,18,0,12,2,1,101,85,11,0
