codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03002,4703,4347,356,175,140,18,0,15,6,3,2,40,38,35,19,7,131,2,128,1,0,38,2,2,0,5,1,2,10,10,0,1,0,1,12,6,1,0
03003,549,507,42,39,39,3,16,0,1,0,0,14,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
03004,913,709,204,184,173,20,0,27,3,1,0,47,1,11,2,1,2,1,0,0,0,17,2,0,0,1,0,1,8,0,0,0,0,1,1,0,0,0
03005,11850,9770,2080,606,574,33,56,8,10,4,6,241,148,32,10,9,1082,1,1062,2,2,378,6,31,10,14,1,1,295,4,2,1,2,1,14,10,2,0
03006,1276,593,683,652,644,39,4,31,2,4,0,474,1,8,0,0,2,1,1,0,0,18,4,4,0,2,1,0,2,1,0,0,0,0,11,7,0,0
03007,230,194,36,33,33,0,0,0,1,0,2,24,3,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
03008,185,178,7,6,6,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,59106,56056,3050,1142,1045,13,120,26,30,26,11,44,713,97,48,27,1027,67,905,4,22,695,35,42,50,93,30,8,285,5,26,25,5,18,185,88,80,1
03010,405,390,15,14,14,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03011,18394,9854,8540,7437,5565,339,126,161,173,38,27,1981,744,1872,319,192,304,137,121,1,26,508,76,17,37,86,35,21,65,19,5,22,18,30,288,161,26,3
03012,2761,1396,1365,1302,1225,24,7,5,13,7,2,1050,9,77,48,4,25,4,20,1,0,19,1,4,1,4,2,0,1,0,0,0,0,2,19,7,0,0
03013,1372,1308,64,34,32,1,0,5,1,0,0,19,4,2,1,0,23,0,23,0,0,6,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0
03014,329988,289865,40123,14864,9990,491,810,1148,2106,443,299,646,2536,4874,2064,1637,12758,7551,3358,416,575,9439,1339,441,432,2294,485,173,1127,721,199,263,328,768,3009,1618,435,53
03015,20332,15978,4354,1568,1190,35,44,30,36,24,26,663,148,378,113,188,2462,76,2368,3,2,261,20,4,12,94,16,20,44,5,0,8,12,11,63,47,10,0
03016,113,102,11,10,10,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,496,460,36,12,12,1,7,0,0,0,0,3,1,0,0,0,22,0,22,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
03018,21813,14929,6884,5432,4225,417,190,225,191,70,31,721,939,1207,677,155,410,75,288,4,24,733,122,59,41,74,58,18,160,10,7,11,26,36,304,97,43,5
03019,20425,19205,1220,687,590,14,8,34,32,11,1,178,180,97,14,63,156,44,104,3,0,306,22,12,13,41,5,3,147,7,10,4,7,5,71,48,11,0
03001,664,386,278,274,267,56,3,19,0,0,1,153,4,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
03020,128,105,23,23,23,2,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7102,6799,303,46,39,0,13,1,1,0,0,10,10,7,0,3,81,1,76,0,4,78,4,0,7,25,1,0,35,2,2,0,0,0,98,11,87,0
