codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía
03130,57,48,9,8,8,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03131,380,208,172,160,158,24,0,1,0,0,0,124,0,2,0,0,8,3,4,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0
03132,788,608,180,164,149,50,0,8,2,0,0,28,17,15,0,0,2,0,2,0,0,11,0,0,1,4,1,0,3,0,0,0,0,1,2,0,0,1
03133,101091,46094,54997,39158,30730,3977,2132,752,527,600,403,12354,2024,8428,3099,1969,4281,480,2913,164,407,9975,1441,89,952,2599,460,941,1607,151,212,162,807,275,1556,660,115,27
03134,185,165,20,19,13,0,0,4,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03135,272,229,43,32,31,3,0,12,1,0,1,11,1,1,0,0,7,4,2,0,0,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
03136,662,524,138,117,115,11,1,12,0,0,0,64,19,2,1,0,4,1,3,0,0,17,3,2,0,5,0,0,6,0,0,0,0,0,0,0,0,0
03137,981,770,211,177,170,24,0,10,1,0,0,95,18,7,0,0,15,8,5,0,0,17,3,0,1,0,1,0,0,3,3,0,0,0,0,0,0,2
03138,4858,3697,1161,827,769,220,26,68,12,22,8,94,251,58,13,14,150,25,118,0,7,161,36,8,11,47,1,0,37,0,2,3,7,6,23,17,1,0
03139,34344,26125,8219,5382,4575,356,321,325,158,155,74,1153,1181,807,254,142,1046,101,922,5,3,1627,411,61,106,306,111,40,305,16,39,15,92,64,160,53,23,4
03140,34968,31808,3160,973,866,34,235,114,17,16,11,185,218,107,11,32,661,49,576,1,1,1447,47,13,15,492,16,6,679,19,15,15,5,88,79,60,1,0
03901,3310,1204,2106,1958,1661,905,6,61,18,24,7,423,32,297,12,8,42,17,19,0,1,86,18,3,3,32,0,1,3,1,7,0,5,2,20,10,0,0
03902,22555,11953,10602,8059,7355,1123,49,142,50,26,27,4558,573,704,81,127,1317,16,1292,1,0,1093,46,35,22,67,13,9,793,10,13,19,34,15,131,93,3,2
03903,5147,3029,2118,1931,1831,54,197,24,17,25,2,1271,81,100,18,42,51,11,36,1,0,97,21,0,5,35,3,4,4,0,2,1,7,8,38,17,2,1
03904,1874,1652,222,121,115,3,10,23,5,4,0,46,12,6,0,1,21,1,13,0,1,80,7,6,5,19,10,1,18,2,4,2,1,2,0,0,0,0
