codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03001,749,392,357,345,344,80,17,10,0,0,2,203,10,1,0,0,4,0,0,0,0,5,0,0,0,3,0,0,1,0,0,0,0,0,3,2,0,0
03002,4791,4290,501,251,218,21,0,32,3,11,2,34,85,33,18,6,146,2,143,0,0,89,9,0,3,10,5,2,41,10,0,1,3,1,15,3,0,0
03003,598,528,70,64,64,3,34,0,0,0,1,20,2,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
03004,1105,749,356,280,263,30,1,33,1,2,0,120,2,17,4,0,15,7,5,0,1,53,10,0,0,4,0,1,24,2,2,0,1,0,7,3,0,1
03005,11936,9510,2426,1134,1071,93,104,79,3,3,4,437,225,63,13,5,614,8,593,1,0,657,30,31,18,32,2,4,510,8,4,0,4,2,21,17,0,0
03006,1433,574,859,787,779,61,1,22,2,0,0,590,1,8,0,0,16,13,3,0,0,38,12,7,0,2,1,1,8,1,1,0,0,3,18,6,0,0
03007,233,183,50,42,42,0,0,0,1,0,3,31,1,0,0,0,5,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
03008,204,184,20,17,17,1,3,5,0,0,0,3,2,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03009,60837,56759,4078,2008,1888,42,211,235,33,53,33,63,1126,120,43,26,597,98,438,2,10,1289,114,32,35,162,56,15,661,2,49,31,22,29,179,101,46,5
03010,419,391,28,27,27,0,0,5,1,0,0,8,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,21964,9243,12721,11000,8155,794,132,285,123,81,45,3205,775,2845,234,120,314,115,141,1,12,1082,265,19,64,167,69,40,137,21,26,30,47,86,317,128,35,8
03012,4755,1310,3445,3410,3301,182,9,25,4,5,7,2816,9,109,27,6,3,0,0,2,0,29,4,1,0,4,4,1,1,1,2,3,1,2,3,1,0,0
03013,1527,1373,154,86,85,4,0,6,1,17,0,35,15,1,1,0,49,14,35,0,0,16,1,2,0,1,2,0,4,0,0,0,0,3,3,0,3,0
03014,334678,272246,62432,19721,15664,1417,1343,3356,1045,707,515,1010,3924,4057,1455,1059,12599,4405,5308,559,859,27402,6466,1215,802,6301,1104,504,4765,1142,816,706,1160,1340,2662,1270,351,48
03015,19601,15568,4033,1677,1333,59,46,133,14,17,24,746,133,344,100,161,1766,60,1691,3,0,533,56,16,29,194,16,24,102,2,5,10,32,33,57,39,4,0
03016,129,106,23,23,23,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,515,472,43,15,15,1,0,2,0,0,0,11,1,0,0,0,26,0,25,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03018,24298,14374,9924,7539,6220,817,278,348,102,82,41,1413,1058,1319,528,86,540,130,313,2,25,1580,483,75,50,167,82,44,342,12,31,43,93,42,255,76,50,10
