codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03002,4713,4295,418,187,151,19,0,28,7,2,3,37,33,36,18,6,113,2,107,1,1,97,11,4,2,17,2,4,29,12,0,1,1,1,21,5,3,0
03003,551,516,35,33,33,3,15,0,1,0,0,11,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03004,936,680,256,181,167,20,0,21,1,2,0,45,1,14,4,1,18,11,5,0,0,54,9,0,0,4,3,1,16,0,1,1,9,2,3,2,0,0
03005,12042,9786,2256,654,608,35,40,82,4,4,7,242,125,46,12,9,1006,6,988,1,2,577,15,38,11,33,5,6,430,7,5,1,6,4,19,11,2,0
03006,1298,558,740,670,662,35,1,30,1,6,0,491,1,8,0,0,18,13,4,0,0,38,9,5,1,7,1,0,7,0,0,0,0,3,14,6,0,0
03007,229,191,38,33,33,0,0,0,1,1,3,22,5,0,0,0,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
03008,180,174,6,4,4,0,0,2,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,58977,54837,4140,1247,1128,35,122,203,28,22,9,46,595,119,54,31,1215,104,1027,5,23,1453,97,48,72,197,69,18,618,4,62,56,23,59,219,91,89,6
03010,407,382,25,21,21,0,0,5,0,0,0,7,7,0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03011,20053,9521,10532,8586,6124,471,112,231,99,54,33,2291,656,2462,348,188,398,150,161,1,21,1162,244,22,51,208,103,44,109,21,23,49,48,110,381,142,31,5
03012,2838,1385,1453,1350,1277,26,4,27,6,5,3,1045,6,73,39,4,36,15,20,1,0,43,8,3,1,11,5,0,1,0,1,4,2,4,24,9,0,0
03013,1341,1257,84,38,36,3,0,7,1,1,0,17,3,2,1,0,32,10,22,0,0,14,1,1,0,1,1,0,6,1,0,0,0,1,0,0,0,0
03014,331577,269034,62543,16350,10345,929,717,2415,996,421,282,768,2085,6005,2387,1822,15884,8156,5263,408,657,26702,5096,1055,836,6796,1374,431,3943,945,787,808,932,2241,3546,1656,427,61
03015,20542,16126,4416,1582,1208,49,47,125,22,16,21,622,137,374,95,180,2234,69,2139,3,2,524,55,7,26,207,26,26,69,7,1,14,30,29,74,50,10,2
03016,104,93,11,8,8,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
03017,491,451,40,12,12,2,5,2,0,0,0,2,1,0,0,0,24,0,22,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
03018,21995,14416,7579,5104,3869,388,194,241,91,60,29,707,800,1235,690,156,517,111,320,4,27,1555,385,68,69,164,147,35,274,15,37,39,85,86,389,95,46,14
03019,20537,18937,1600,811,694,40,9,118,23,10,6,188,154,117,22,59,177,44,116,0,6,545,76,12,12,103,8,11,207,9,14,7,17,20,66,34,13,1
03001,661,372,289,272,265,58,1,22,0,0,0,156,3,7,0,1,5,0,2,0,0,9,1,0,0,4,0,0,0,0,0,1,0,0,2,0,1,1
03020,122,100,22,21,21,2,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7113,6755,358,58,46,3,9,8,0,0,1,10,14,12,0,4,68,1,61,0,4,145,7,1,7,42,8,0,67,2,2,2,1,4,87,6,81,0
03022,156,148,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0
03023,1703,1590,113,79,74,2,49,6,0,0,1,6,8,5,0,1,8,1,1,1,4,25,2,6,0,0,2,0,15,0,0,0,0,0,1,0,1,0
03024,5361,4701,660,408,372,2,96,54,7,14,4,82,85,36,3,26,180,4,166,0,0,59,6,4,4,18,5,1,8,3,1,0,0,6,13,4,7,0
03025,1940,1575,365,299,278,61,2,45,9,20,0,84,18,21,5,10,19,0,19,0,0,44,11,0,1,12,4,0,8,2,2,0,2,2,3,0,0,0
03026,1983,1444,539,362,334,86,8,42,4,6,3,117,17,28,7,3,38,6,29,0,1,135,33,4,7,48,2,3,14,0,1,1,7,4,4,0,0,0
03027,178,156,22,19,19,2,0,1,0,0,0,6,9,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03028,1118,1057,61,33,32,1,8,9,0,0,0,5,8,1,0,0,7,0,6,0,0,21,4,0,1,0,5,0,5,0,2,0,0,0,0,0,0,0
03030,1110,623,487,416,395,73,0,23,4,0,0,240,7,21,1,0,23,2,20,0,0,46,17,3,1,8,1,4,1,0,4,0,0,0,1,0,0,1
03031,67558,46619,20939,9533,7820,259,688,438,339,129,115,2305,2148,1713,780,524,2360,924,1203,119,25,5588,928,107,190,1248,656,160,1067,90,177,226,251,299,3439,830,1728,19
03032,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,149,128,21,18,16,3,0,2,0,0,0,8,1,2,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
03029,444,233,211,174,171,6,0,1,2,0,0,148,5,3,1,0,6,5,0,0,0,31,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
03034,3357,1700,1657,1506,1380,89,4,56,5,6,0,808,5,126,28,8,37,6,29,0,0,59,10,3,2,5,1,0,23,1,0,5,0,2,53,14,2,2
03035,742,697,45,39,37,3,0,5,2,0,1,19,4,2,0,1,1,0,1,0,0,4,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0
03036,94,92,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
