codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03079,23634,21592,2042,758,727,39,34,86,17,3,8,16,511,31,8,10,103,34,60,1,2,1051,138,82,19,72,15,8,610,23,4,5,22,6,130,40,78,0
03080,2038,1580,458,393,369,12,7,14,2,19,0,253,21,24,9,14,44,2,41,0,0,19,0,5,1,5,3,0,3,0,0,0,2,0,2,0,0,0
03082,33149,14394,18755,14882,13953,2177,177,569,197,123,38,8511,260,929,177,88,928,65,774,2,1,2373,308,21,56,902,61,40,404,8,27,20,182,207,545,129,206,27
03083,7366,6640,726,402,370,47,11,33,5,8,1,151,39,32,2,9,132,18,114,0,0,186,45,15,7,16,6,6,74,0,8,0,4,4,6,3,1,0
03085,1091,317,774,748,734,117,0,14,0,0,0,493,11,14,3,0,10,2,5,0,0,11,2,4,0,0,0,1,0,0,1,0,0,0,5,0,0,0
03084,710,638,72,65,65,2,0,14,0,0,0,44,1,0,0,0,2,2,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
03086,215,159,56,55,53,0,0,1,0,0,0,44,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03088,7807,6621,1186,574,542,16,12,44,10,10,8,281,102,32,11,2,210,156,53,0,0,383,23,115,10,27,7,1,153,4,7,5,4,14,19,6,6,0
03089,12720,11506,1214,688,642,42,9,38,14,142,3,309,22,46,6,9,38,12,19,0,0,445,35,104,3,42,17,5,193,2,8,1,1,12,43,13,26,0
03903,5043,3060,1983,1778,1649,63,159,25,15,19,4,1132,46,129,30,47,62,11,45,2,0,97,14,3,8,32,3,4,2,0,6,2,4,9,45,18,3,1
03091,604,276,328,307,303,14,22,5,2,0,0,236,2,4,0,0,7,5,1,0,0,14,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03092,9062,8283,779,304,287,11,59,40,2,4,7,115,24,17,4,4,298,6,275,0,8,145,17,5,7,18,15,3,32,8,14,0,2,8,32,12,12,0
