codine,Total Población,Nacidos en el Extranjero,Total Europa,Total Unión Europea (25),Alemania,Francia,Italia,Reino Unido,Resto de Europa,Bulgaria,Rumanía,Total África,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía
03081,2805,1171,941,893,125,28,5,629,48,11,11,69,57,149,79,23,21,10,4,12,9,0
03082,28242,14669,10930,9819,1786,396,130,6025,1111,101,75,858,753,2493,346,27,952,556,10,368,153,20
03083,7494,533,215,187,38,24,4,87,28,2,8,102,74,211,52,4,15,110,6,5,0,0
03084,721,43,25,25,2,11,0,12,0,0,0,9,6,9,2,0,1,5,0,0,0,0
03085,930,612,577,551,112,14,0,350,26,0,10,6,2,26,8,2,4,0,1,3,0,0
03086,178,18,16,16,0,1,0,15,0,0,0,0,0,2,1,0,0,0,0,0,0,0
03088,6053,585,163,117,14,27,7,45,46,9,25,144,42,277,8,78,18,156,2,1,1,0
03089,12727,1016,432,368,41,44,6,151,64,7,14,49,36,497,39,152,46,221,8,38,11,0
03090,18452,2128,1346,1111,159,277,40,322,235,15,30,242,167,507,146,10,58,125,13,30,4,3
03091,515,233,202,185,9,1,0,163,17,11,1,5,0,25,2,0,0,9,0,1,0,0
03092,8148,428,178,131,11,33,3,67,47,27,5,118,106,115,15,2,13,23,5,14,12,3
03093,26233,2218,602,347,58,120,16,61,255,5,123,390,86,1193,51,55,104,875,15,32,25,1
03094,12573,5773,4764,4072,913,163,57,1372,692,51,44,238,87,677,124,3,46,302,12,88,18,6
03095,5834,825,410,272,65,65,5,82,138,5,28,158,122,237,37,6,78,39,0,20,6,0
03096,7500,577,212,134,21,28,6,59,78,25,40,42,30,303,45,21,6,72,0,19,0,1
03097,2117,1000,884,821,129,27,5,580,63,20,10,38,16,75,10,3,7,36,0,2,0,1
03098,718,213,194,163,41,19,3,48,31,4,9,2,1,14,6,0,3,1,0,3,0,0
03099,75009,24905,19949,16458,2888,426,119,10092,3491,780,325,1583,696,2937,155,327,736,1342,18,432,236,4
03100,960,358,311,287,34,24,1,166,24,4,17,30,15,16,12,1,0,0,0,1,0,0
03101,6733,1516,1094,976,278,61,11,428,118,5,19,156,109,250,109,0,35,48,15,15,1,1
03102,10781,1991,1610,1257,272,190,8,570,353,48,62,131,106,220,15,2,20,132,0,29,11,1
03103,354,26,10,9,0,1,0,5,1,0,0,1,0,15,0,11,0,0,0,0,0,0
03104,32388,1401,386,266,34,121,20,36,120,1,19,95,36,871,74,25,491,138,10,49,35,0
03105,7072,682,364,252,8,14,1,215,112,4,5,35,33,277,11,1,42,189,0,6,1,0
03106,793,61,52,40,0,10,0,29,12,0,10,0,0,9,0,0,2,3,2,0,0,0
03107,3353,1200,822,696,86,56,9,394,126,4,52,166,46,202,29,1,15,116,3,8,1,2
03109,3770,482,147,77,6,51,0,5,70,3,36,221,212,112,7,1,24,75,1,2,0,0
03110,532,218,197,178,29,10,1,123,19,0,1,11,11,8,1,0,4,0,0,2,1,0
03111,6645,765,260,197,16,104,2,15,63,25,20,306,247,198,16,54,49,40,0,1,0,0
03112,1022,285,252,224,10,17,1,161,28,4,17,18,12,14,4,0,1,2,0,1,0,0
03113,13807,9100,8514,7125,1073,115,61,4641,1389,89,33,207,170,306,9,3,17,208,1,71,47,2
03114,2361,427,339,329,14,8,3,250,10,3,0,8,0,79,2,0,4,67,1,1,0,0
03115,456,124,103,101,14,6,1,70,2,0,0,18,14,3,0,0,0,1,1,0,0,0
03116,1466,225,181,143,29,34,0,71,38,36,0,5,0,36,7,0,11,14,0,3,0,0
03117,664,204,158,135,40,6,1,78,23,0,4,26,24,19,8,0,0,9,0,1,0,0
03118,8197,5737,5309,5079,996,61,23,3576,230,2,22,217,169,142,23,0,3,69,1,65,21,4
03119,19711,2563,1007,796,118,277,49,125,211,25,49,288,198,1197,435,36,199,170,24,69,14,2
03120,6620,3812,3527,3182,633,25,7,2243,345,72,19,122,55,128,6,0,12,83,0,34,17,1
03121,25494,5274,3549,2780,189,340,88,1576,769,84,67,397,212,1195,279,11,407,78,23,132,74,1
03122,46034,3382,1260,818,149,381,40,60,442,64,96,580,263,1413,440,46,251,253,46,128,71,1
03123,9399,640,410,366,44,50,6,257,44,10,0,16,11,203,15,26,31,98,0,11,9,0
03124,633,106,87,82,26,13,3,25,5,1,0,8,3,9,0,0,4,0,0,2,0,0
03125,619,232,163,151,22,8,2,86,12,1,7,52,46,16,1,0,6,4,0,1,0,0
03127,736,232,198,183,27,24,2,75,15,0,10,9,0,24,4,0,0,12,0,1,0,0
03128,11983,7324,6166,5557,1572,162,48,2736,609,151,63,277,223,767,141,27,372,103,10,113,57,1
03129,1485,208,181,172,42,7,0,77,9,0,5,7,3,17,8,0,3,1,0,3,0,0
03130,35,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03131,328,130,116,114,25,0,0,79,2,0,0,11,8,3,0,0,0,3,0,0,0,0
03132,727,125,106,84,39,3,0,10,22,0,10,4,2,13,0,0,2,4,0,1,0,1
03133,84348,42081,29397,20363,3249,627,375,9642,9034,1065,972,3046,2006,8591,1406,81,2441,1703,115,1026,497,21
03134,167,18,14,11,0,2,0,9,3,0,0,0,0,3,0,0,0,2,0,0,0,1
03135,328,43,28,25,3,9,0,12,3,0,0,8,2,7,0,1,0,3,3,0,0,0
03136,622,92,60,51,2,6,0,39,9,0,7,1,0,31,4,1,3,22,0,0,0,0
03137,932,139,107,95,12,8,1,54,12,0,9,17,4,15,4,0,0,0,3,0,0,0
03138,4490,889,474,307,137,55,5,46,167,12,105,192,140,218,34,6,67,67,0,5,0,0
03139,27983,4583,2716,1842,248,209,78,736,874,78,372,699,631,1083,342,20,162,303,15,82,31,3
03140,34185,2356,590,285,20,117,10,97,305,102,104,380,338,1287,44,5,470,635,8,99,85,0
03901,2404,1409,1307,1048,681,33,13,215,259,8,12,24,4,68,10,1,29,3,11,10,2,0
03902,18051,7521,5449,4637,938,123,32,2979,812,45,155,1029,1009,966,48,12,56,754,6,76,69,1
03903,3319,626,560,377,43,18,11,236,183,91,20,32,23,32,13,2,7,4,0,2,0,0
03904,1368,84,51,41,3,16,3,11,10,4,1,18,13,15,0,0,3,2,0,0,0,0
