codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03002,4703,4298,405,186,151,21,0,26,6,2,2,39,35,35,19,6,119,2,115,1,0,83,10,4,2,8,2,3,29,14,0,1,1,1,17,3,1,0
03003,549,506,43,39,39,3,15,1,1,0,0,11,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
03004,913,684,229,174,162,21,1,22,1,1,0,45,1,12,3,1,12,6,4,0,0,40,6,0,0,4,1,1,17,0,1,1,1,2,3,2,0,0
03005,11850,9739,2111,660,612,36,50,78,3,4,5,234,136,48,11,9,881,4,865,2,2,553,17,37,9,26,3,4,420,4,4,1,7,2,17,11,2,0
03006,1276,575,701,634,626,37,2,28,1,4,0,464,1,8,0,0,19,14,4,0,0,34,10,5,0,3,1,0,7,1,0,0,0,3,14,7,0,0
03007,230,194,36,32,32,0,0,0,1,1,1,23,3,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
03008,185,176,9,6,6,1,0,2,0,0,0,2,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,59106,55209,3897,1291,1180,37,113,201,26,26,11,47,651,111,54,27,1030,95,860,5,23,1366,90,55,70,182,58,11,606,6,54,53,23,42,204,91,73,6
03010,405,384,21,18,18,0,0,5,0,0,0,5,7,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03011,18394,9484,8910,7072,5227,352,114,207,100,42,28,1878,653,1845,329,189,388,144,157,2,26,1095,236,21,48,185,95,44,112,21,21,37,41,102,351,146,27,4
03012,2761,1374,1387,1303,1226,26,6,22,6,6,3,1039,10,77,45,4,26,4,21,1,0,38,9,3,1,7,4,0,1,0,1,4,2,2,20,7,0,0
03013,1372,1286,86,38,36,3,0,7,1,1,0,18,4,2,1,0,34,10,24,0,0,13,2,1,0,1,1,0,5,1,0,0,0,0,1,0,1,0
03014,329988,269731,60257,15954,10436,942,757,2412,903,397,296,738,2321,5518,2187,1688,15576,7909,5223,417,662,25259,5071,1031,763,6200,1315,417,4005,909,739,770,903,1783,3406,1595,460,62
03015,20332,16069,4263,1591,1232,47,42,125,17,19,23,653,132,359,99,172,2120,66,2030,3,2,479,59,7,22,187,19,27,69,6,0,15,28,21,72,47,10,1
03016,113,99,14,11,11,0,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
03017,496,461,35,13,13,1,7,2,0,0,0,2,1,0,0,0,18,0,17,0,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
03018,21813,14382,7431,5106,3888,410,182,252,79,60,32,695,838,1218,672,153,484,108,297,2,23,1481,381,64,65,140,123,38,284,15,32,36,88,78,348,86,42,12
03019,20425,18916,1509,757,644,32,7,106,20,11,2,174,162,113,15,63,181,51,118,2,0,508,72,14,15,88,7,11,207,9,12,7,13,13,62,33,12,1
03001,664,378,286,273,267,59,2,21,0,0,1,150,4,6,0,0,4,0,1,0,0,7,1,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0
03020,128,103,25,23,23,2,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03021,7102,6762,340,54,43,1,10,8,0,0,0,10,13,11,0,3,66,1,59,0,4,135,5,1,7,35,9,0,66,2,2,2,1,3,85,8,77,0
03022,157,147,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0
03023,1710,1593,117,77,72,2,48,6,1,0,1,6,8,5,0,1,14,7,1,1,4,25,1,6,0,0,2,0,15,0,0,0,1,0,1,0,1,0
03024,5372,4690,682,424,387,3,100,58,6,15,5,86,90,37,3,29,179,3,165,0,1,66,5,3,4,19,5,3,12,3,2,0,1,6,13,4,6,0
03025,1923,1585,338,285,260,63,2,39,6,16,0,86,15,25,5,13,15,0,15,0,0,35,10,0,0,11,4,0,3,2,2,0,2,1,3,0,0,0
03026,1919,1427,492,332,307,87,7,32,3,4,3,111,15,25,7,4,38,6,27,0,1,119,28,4,5,50,1,3,8,0,1,0,9,2,3,0,0,0
