codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía
03090,21481,18567,2914,1912,1690,218,38,333,63,29,25,514,82,222,24,89,245,64,158,1,0,683,189,30,30,89,18,10,80,60,19,6,46,64,70,22,0,4
03091,601,278,323,298,294,16,19,4,2,0,0,229,5,4,0,0,6,5,0,0,0,18,5,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0
03092,8725,8067,658,349,333,12,61,40,1,7,11,135,33,16,1,6,142,3,133,0,3,146,25,6,14,13,15,0,26,13,8,0,2,13,19,14,0,2
03093,27008,24265,2743,1105,960,64,19,114,18,70,30,80,505,145,26,89,397,300,85,1,1,1182,64,140,8,94,21,2,767,6,20,3,13,11,59,37,1,0
03094,16958,9343,7615,6170,5451,1073,81,222,70,40,43,1938,169,719,107,40,340,100,150,2,63,979,220,32,27,82,59,31,338,19,25,10,41,23,121,22,23,5
03095,6457,5209,1248,631,489,75,17,71,11,5,11,101,126,142,36,62,240,32,194,1,9,354,40,24,5,116,3,8,60,14,7,26,23,8,23,11,0,0
03096,7709,6963,746,422,404,27,28,32,7,0,9,106,152,18,1,6,68,12,52,0,0,234,63,20,4,9,2,7,34,4,0,13,65,7,21,5,15,1
03097,2566,1118,1448,1337,1301,203,16,33,9,1,1,901,41,36,0,1,34,21,8,1,0,64,12,1,0,6,2,0,28,0,0,0,0,0,12,0,7,1
03098,830,536,294,255,248,46,1,18,4,3,0,118,2,7,2,0,16,0,16,0,0,18,1,1,1,6,1,1,1,0,0,0,2,0,5,0,0,0
03099,84626,50763,33863,28058,25408,2963,1210,485,176,315,75,15969,705,2650,302,573,1782,633,934,35,12,3428,214,885,88,701,47,42,1095,19,33,42,122,57,583,281,20,12
