codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03002,4729,4308,421,193,159,20,0,29,6,3,2,34,44,34,18,6,118,2,114,1,0,94,9,4,2,11,2,3,35,14,0,0,1,4,16,5,1,0
03003,565,518,47,42,42,3,15,1,1,0,0,13,2,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
03004,921,681,240,182,169,20,1,23,0,1,0,51,2,13,4,0,10,5,4,0,0,43,6,0,1,4,1,1,21,1,0,1,1,0,5,2,0,0
03005,11756,9690,2066,686,634,34,54,77,3,6,6,238,133,52,11,8,806,6,787,2,2,554,16,26,12,24,4,5,434,4,3,1,7,2,20,14,2,0
03006,1291,580,711,648,641,43,1,29,1,7,0,476,1,7,0,0,18,14,3,0,0,32,11,4,0,3,1,0,7,1,0,0,0,3,13,7,0,0
03007,221,184,37,32,32,0,0,0,1,1,1,24,2,0,0,0,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
03008,194,181,13,10,9,1,0,5,0,0,0,0,2,1,1,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,59198,55494,3704,1325,1220,37,112,206,25,26,9,44,694,105,48,29,885,92,722,4,18,1294,94,47,68,157,57,18,597,3,55,41,24,27,195,90,59,5
03010,399,375,24,23,23,0,0,5,0,0,0,5,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,21494,9474,12020,10225,7323,638,143,260,128,64,39,2837,707,2902,301,177,379,129,158,4,30,1075,262,17,44,175,85,44,116,24,23,37,41,83,336,141,26,5
03012,3222,1358,1864,1799,1713,31,8,22,3,8,2,1503,9,86,42,1,16,4,10,1,0,32,7,3,0,8,4,0,0,0,1,3,1,2,17,11,1,0
03013,1391,1303,88,43,42,3,0,7,1,1,0,18,10,1,1,0,32,10,22,0,0,12,1,1,0,1,1,0,5,1,0,0,0,0,1,0,1,0
03014,330525,270164,60361,16466,11248,1011,847,2557,870,457,312,748,2671,5218,2100,1535,15515,7758,5246,442,683,24940,5256,1056,741,5912,1261,406,4140,902,751,772,944,1579,3372,1573,477,68
