codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03068,62,50,12,12,12,1,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03069,6807,3440,3367,2762,2529,137,92,181,65,29,42,1228,210,233,63,35,117,25,87,2,0,422,138,1,28,78,42,32,32,3,16,7,20,14,62,20,12,4
03070,4389,2418,1971,1557,1493,32,99,51,14,4,19,1098,34,64,10,13,246,3,238,0,0,153,17,8,10,11,0,2,98,1,1,0,4,0,14,8,1,1
03071,6283,4735,1548,850,837,46,16,25,6,2,2,567,77,13,6,0,321,7,307,1,0,363,169,0,3,95,5,3,51,0,1,1,13,14,14,10,0,0
03072,442,380,62,57,54,1,0,0,0,0,0,46,2,3,1,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
03073,254,239,15,12,12,1,3,0,0,0,0,5,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03074,2463,2035,428,150,138,1,8,92,1,0,1,4,21,12,1,10,157,0,157,0,0,121,4,10,2,8,0,0,74,4,0,2,14,0,0,0,0,0
03075,240,177,63,58,54,8,1,3,1,0,0,17,10,4,4,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
03076,16863,9914,6949,5704,4697,639,396,135,66,53,50,2254,242,1007,315,246,388,46,300,0,11,655,281,9,63,80,27,30,50,8,4,17,36,15,201,140,6,1
03077,3010,1611,1399,1344,1333,119,11,13,6,2,1,829,6,11,1,0,10,1,8,0,0,27,1,5,3,2,0,1,1,0,0,0,0,3,18,0,1,0
03078,1217,575,642,627,618,40,0,6,0,0,0,518,4,9,0,0,0,0,0,0,0,12,0,4,0,0,0,0,8,0,0,0,0,0,3,0,0,0
03079,23683,21572,2111,776,741,43,35,87,15,2,8,12,525,35,9,8,101,38,58,0,1,1116,150,95,20,68,15,9,636,19,7,10,29,8,118,39,68,0
03080,2102,1592,510,434,418,14,7,16,4,16,0,293,24,16,2,12,39,1,37,0,0,35,4,6,7,9,0,0,7,0,0,0,2,0,2,0,0,0
03081,3320,1679,1641,1391,1364,158,9,56,6,12,0,937,17,27,2,1,107,10,96,0,0,121,56,14,1,13,2,21,2,0,2,0,1,4,22,7,0,0
03082,32469,14289,18180,14472,13419,2152,139,519,191,116,35,8259,226,1053,119,101,871,52,742,1,1,2375,332,23,67,887,43,40,424,7,19,20,192,185,439,109,142,23
03083,7429,6737,692,384,355,43,12,31,6,9,0,151,35,29,2,7,124,18,104,0,1,174,47,11,7,12,4,5,72,2,6,0,6,1,10,2,5,0
03084,754,678,76,63,63,1,0,14,0,0,0,44,0,0,0,0,3,2,1,0,0,10,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0
03085,1070,324,746,730,718,114,1,14,0,0,0,479,9,12,3,1,3,2,0,0,0,9,4,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0
03086,215,162,53,51,49,1,0,1,0,0,0,40,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03088,7771,6566,1205,536,511,19,12,40,10,8,6,264,93,25,6,3,221,163,53,0,0,433,24,146,8,33,6,1,168,3,10,4,2,12,15,10,0,0
03089,12873,11583,1290,728,680,49,12,36,18,172,3,318,16,48,5,13,36,10,18,0,0,466,30,119,3,47,17,2,209,3,9,1,1,13,60,18,38,0
03090,23522,20024,3498,2205,1952,227,49,401,93,33,35,576,111,253,28,105,351,117,200,1,1,853,232,30,44,133,28,15,90,69,31,15,47,68,81,23,0,8
03091,609,282,327,302,297,14,25,5,2,0,0,228,5,5,0,0,7,5,1,0,0,17,4,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
03092,9005,8260,745,348,330,12,67,38,3,2,10,131,36,18,4,5,221,7,196,0,8,148,20,6,7,16,14,4,32,12,11,0,4,8,28,14,6,0
03093,26873,24254,2619,1058,921,59,24,104,14,58,27,58,542,137,27,80,434,322,105,0,1,1064,48,88,11,89,29,4,704,8,23,4,15,13,62,38,2,1
03094,18593,10308,8285,6688,5843,1059,78,236,85,49,43,2091,226,845,150,48,376,134,141,1,73,1069,265,18,34,105,66,39,327,18,24,20,43,38,145,43,17,7
03095,6644,5311,1333,643,522,86,16,86,10,5,12,96,145,121,25,55,290,34,238,1,9,367,43,25,7,139,6,10,47,7,2,26,30,9,33,13,1,0
03096,7753,6942,811,466,451,32,34,35,8,2,6,117,167,15,2,5,81,7,71,0,0,245,66,25,6,4,0,6,43,6,0,12,68,5,18,5,12,1
03097,2606,1115,1491,1391,1352,198,13,33,12,1,1,942,38,39,2,0,42,23,11,1,0,44,9,2,1,2,1,0,13,0,0,0,0,0,13,0,1,1
03098,898,567,331,308,303,54,1,20,2,1,0,151,3,5,1,0,4,0,3,1,0,15,0,1,1,5,1,1,0,0,0,0,2,0,4,0,0,0
03099,88714,51416,37298,31221,28222,3075,1411,510,197,392,92,17610,962,2999,646,524,2072,645,1130,35,23,3276,248,634,90,696,64,49,1076,35,36,47,108,70,716,316,38,13
03100,1123,623,500,459,450,35,5,35,0,0,0,278,19,9,0,6,24,15,7,1,0,16,6,1,1,0,0,0,3,0,0,0,0,1,1,1,0,0
03101,7659,5502,2157,1624,1518,357,7,76,15,8,4,720,70,106,5,5,172,30,135,0,0,336,131,4,8,58,6,14,54,1,17,1,12,10,25,5,9,0
03102,11116,8602,2514,2068,1831,341,102,201,15,49,19,726,170,237,12,47,153,13,137,0,0,245,22,7,5,24,3,17,128,0,3,0,3,19,48,29,0,0
03103,332,306,26,14,14,0,0,0,0,0,0,9,1,0,0,0,3,0,0,0,3,6,0,3,1,0,0,0,1,0,0,0,0,0,3,2,1,0
03104,34726,32861,1865,565,440,44,8,128,37,10,19,48,105,125,17,19,114,48,46,3,3,1083,99,11,27,543,47,26,126,58,13,1,23,81,103,66,9,0
03105,7904,6609,1295,914,831,5,58,17,8,9,5,624,54,83,3,73,72,5,64,0,0,293,18,27,3,37,20,2,145,4,0,8,17,1,16,8,8,0
03106,836,713,123,114,110,5,0,7,0,0,1,59,26,4,0,0,2,0,2,0,0,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
03107,4474,2758,1716,1255,1118,91,7,60,10,11,13,630,99,137,33,6,179,69,67,0,28,260,43,17,3,19,30,5,101,1,3,1,13,10,20,2,2,2
03109,4162,3492,670,209,184,5,7,50,2,7,16,30,53,25,0,16,316,7,306,0,0,139,7,9,6,23,3,1,86,0,2,0,0,0,6,4,0,0
03110,746,354,392,360,328,64,0,10,1,0,0,223,0,32,2,1,3,0,2,0,0,27,2,0,3,3,0,3,8,0,1,0,0,3,2,1,0,0
03111,7522,6380,1142,384,350,20,34,121,6,32,16,41,46,34,5,13,486,141,341,1,0,264,14,100,5,60,3,1,56,3,0,9,1,5,8,7,1,0
03112,1338,784,554,534,529,15,6,9,4,5,3,374,40,5,1,0,4,2,1,0,0,14,1,0,3,0,0,1,0,1,0,0,2,5,2,0,0,0
03113,21583,5143,16440,15455,13574,1616,190,160,78,46,8,9027,57,1881,323,57,401,26,346,7,0,328,36,3,14,33,7,19,158,1,9,3,6,10,251,112,5,5
03114,2554,1931,623,534,526,6,3,7,4,25,0,396,6,8,1,1,9,6,1,0,0,75,4,6,0,7,0,0,46,5,0,0,5,0,3,1,0,2
03115,454,292,162,142,141,13,0,6,1,0,0,106,1,1,0,0,16,6,10,0,0,4,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
03116,1559,1325,234,199,191,23,23,23,0,1,2,114,2,8,0,0,3,3,0,0,0,31,5,0,2,10,1,1,7,0,2,0,0,3,1,0,0,0
03117,717,441,276,259,236,63,5,8,1,1,0,126,6,23,0,0,6,0,4,0,0,11,3,2,0,1,0,0,2,0,1,1,0,0,0,0,0,0
03118,12354,2865,9489,8866,8512,1391,16,107,48,37,19,6078,99,354,27,41,342,67,246,4,0,168,35,5,10,14,10,5,33,2,11,2,6,5,107,39,4,6
03119,22554,18788,3766,1569,1314,165,75,363,82,61,20,170,132,255,42,85,333,66,220,3,3,1762,608,60,58,251,57,22,210,99,37,26,130,125,98,38,5,4
03120,7862,2945,4917,4551,4270,660,88,30,11,9,3,3039,40,281,38,41,129,43,64,3,6,165,32,8,4,16,7,9,60,0,4,2,3,10,72,37,1,0
03121,33372,24252,9120,6836,6022,353,163,465,166,74,60,3378,262,814,174,88,557,189,233,0,97,1504,404,18,55,377,90,30,81,43,23,22,151,123,221,109,6,2
