codine,Total Población,Nacidos en el Extranjero,Total Europa,Total Unión Europea (27),Alemania,Francia,Italia,Reino Unido,Bulgaria,Rumanía,Resto de Europa,Rusia,Ucrania,Total África,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía
03063,42704,13660,8901,7543,2680,636,200,1488,517,781,1358,164,325,744,483,3726,692,97,1009,1001,35,281,153,8
03064,6954,964,620,591,31,45,1,397,1,22,29,12,7,239,235,101,6,1,22,18,0,3,0,1
03065,222422,26401,10374,9094,649,1498,278,926,465,4252,1280,308,179,5898,3861,9302,1567,465,2369,2177,152,817,715,10
03066,55289,4078,1082,856,52,207,50,37,51,276,226,31,104,452,285,2394,224,125,1197,423,35,149,110,1
03067,119,4,4,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03068,53,8,7,6,2,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
03069,4945,2257,1836,1687,101,122,34,844,50,104,149,16,25,75,47,320,121,1,48,25,18,24,10,2
03070,3518,1324,982,928,15,48,4,713,71,5,54,6,11,209,207,128,6,9,10,90,0,5,4,0
03071,5969,1300,633,620,39,19,4,418,10,59,13,3,2,269,258,383,178,0,111,52,2,15,9,0
03072,376,7,6,6,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03073,248,6,4,4,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
03074,2271,328,147,140,0,110,0,8,3,2,7,1,5,102,102,79,0,2,7,49,0,0,0,0
03075,215,42,42,39,9,3,0,9,1,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0
03076,15132,5593,4495,3710,576,109,52,1801,277,168,785,140,240,329,265,601,280,0,59,61,5,167,134,1
03077,2501,939,901,892,99,15,6,539,9,6,9,1,0,6,3,28,2,2,0,8,0,4,0,0
03078,1231,650,625,616,50,8,0,509,3,4,9,0,0,3,3,21,0,4,0,11,2,1,0,0
03079,23609,2074,758,728,46,89,20,18,35,502,30,7,7,96,58,1123,153,121,70,655,5,97,43,0
03080,1957,397,330,310,11,13,4,205,3,12,20,2,14,37,32,28,6,5,6,4,3,2,0,0
03081,3002,1370,1139,1114,140,35,5,776,8,11,25,2,2,67,54,147,74,32,16,2,5,17,11,0
03082,29923,16137,12585,11616,1958,440,144,7166,102,126,969,99,81,831,729,2360,366,39,882,415,13,342,112,19
