codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03001,611,362,249,228,222,46,1,31,2,0,0,108,3,6,0,0,10,0,5,0,0,10,1,0,0,2,0,0,0,1,0,0,0,2,1,0,1,0
03002,4794,4329,465,191,157,22,0,31,8,2,3,40,30,34,15,7,132,7,119,0,1,116,9,4,1,26,2,6,35,8,1,0,3,1,26,5,4,0
03003,564,519,45,43,42,2,19,1,1,0,0,14,2,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03004,986,706,280,195,185,18,0,30,6,2,1,53,4,10,2,0,15,7,4,1,0,65,17,0,3,6,7,1,13,1,2,1,4,2,5,2,1,0
03005,12474,9854,2620,757,707,28,46,84,11,4,14,292,147,50,13,9,1180,9,1156,3,0,657,16,48,13,51,3,6,470,11,7,6,6,3,25,15,4,1
03006,1302,542,760,681,673,38,1,25,3,0,1,494,2,8,0,0,18,13,2,0,0,38,9,5,2,5,2,0,6,0,0,1,0,2,23,14,0,0
03007,226,189,37,29,29,0,0,0,1,0,2,18,5,0,0,0,6,1,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
03008,177,167,10,7,7,0,0,3,0,0,0,4,0,0,0,0,1,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03009,59354,54259,5095,1292,1180,37,128,193,38,23,12,57,602,112,53,28,1670,125,1428,5,37,1853,136,51,110,298,89,23,652,4,86,55,36,122,274,115,106,6
03010,406,378,28,21,21,0,0,4,2,0,0,6,7,0,0,0,4,0,3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
03011,20042,9455,10587,8294,5862,446,105,215,98,56,25,2132,621,2432,380,189,437,168,179,0,19,1316,245,25,66,263,120,45,113,19,25,47,58,156,534,151,46,6
03012,3125,1414,1711,1572,1468,43,6,29,7,6,2,1150,4,104,37,12,47,4,40,0,0,61,8,2,2,16,3,1,1,0,1,4,2,14,31,8,0,0
03013,1326,1242,84,36,33,4,0,8,1,1,0,14,2,3,2,0,35,10,25,0,0,13,0,0,1,1,1,0,2,2,1,0,0,1,0,0,0,0
03014,337482,266548,70934,17889,10542,948,721,2460,1164,440,278,862,1858,7347,3012,2267,17517,9258,5696,384,703,31515,5583,1016,1231,8525,1628,439,3800,1038,852,853,1061,3698,3923,1833,452,90
03015,21208,16289,4919,1659,1273,47,42,121,21,17,20,681,146,386,96,185,2484,60,2368,3,1,693,62,6,30,286,31,31,70,11,6,12,37,68,81,50,18,2
03016,109,95,14,11,11,0,0,0,0,0,0,8,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03017,493,462,31,7,7,1,0,2,0,0,0,2,1,0,0,0,21,0,19,1,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
03018,22558,14309,8249,5315,4035,361,182,252,120,68,30,794,748,1280,757,166,569,142,346,3,27,1902,457,83,84,243,199,37,286,22,37,44,79,151,452,93,39,11
03019,20804,19006,1798,865,746,50,13,128,25,13,7,230,134,119,31,56,217,54,142,0,9,651,81,12,15,131,18,13,212,12,11,14,22,42,65,37,7,0
03020,128,99,29,28,28,1,9,2,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03021,7090,6661,429,60,51,5,8,9,0,0,3,10,15,9,0,0,82,2,74,0,4,164,8,1,5,46,10,0,75,3,7,1,0,5,123,10,113,0
03022,156,147,9,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
03023,1690,1590,100,58,54,2,37,5,0,0,1,3,5,4,0,1,11,1,1,2,4,29,2,6,0,0,2,0,19,0,0,0,0,0,2,0,2,0
03024,5435,4723,712,403,361,5,96,52,5,16,3,71,85,42,6,27,217,6,197,0,0,80,6,2,4,38,7,1,6,4,2,0,2,5,12,2,8,0
03025,1965,1621,344,270,249,54,3,42,4,20,0,71,15,21,5,10,16,0,15,0,0,54,10,0,2,15,2,0,12,2,2,1,4,4,4,0,0,0
03026,2159,1526,633,394,366,91,5,46,6,2,3,123,29,28,3,3,39,5,30,1,1,193,57,5,9,61,1,7,14,0,4,2,7,10,7,4,0,0
03027,200,177,23,21,21,4,0,0,0,1,0,7,5,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03028,1099,1016,83,54,53,1,16,10,0,0,0,9,10,1,0,0,9,0,6,0,0,19,3,1,1,0,5,0,6,0,1,0,0,0,1,0,0,0
03029,443,235,208,167,164,5,0,1,0,0,0,141,1,3,2,0,7,6,0,0,0,33,3,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0
03030,1078,615,463,361,345,60,0,20,7,1,0,198,9,16,2,1,25,3,19,0,0,71,18,3,1,21,2,6,1,0,8,0,1,0,5,0,0,1
03031,70450,46459,23991,10553,8619,259,645,462,407,136,105,3090,2112,1934,920,577,2696,1088,1335,147,24,6755,976,104,235,1775,891,163,1078,105,202,269,248,455,3970,785,2046,17
03032,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,136,112,24,21,17,3,0,4,1,0,0,6,0,4,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
03034,3293,1681,1612,1479,1364,52,1,64,5,6,1,860,5,115,30,5,36,5,29,0,0,41,3,3,2,5,0,0,15,1,0,3,0,1,56,25,0,0
03035,726,679,47,35,34,2,0,5,2,0,0,18,5,1,0,0,1,0,1,0,0,10,1,2,0,0,1,0,0,0,1,0,0,4,1,0,1,0
03036,100,97,3,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03037,497,379,118,86,74,4,0,9,4,0,0,35,3,12,8,1,1,0,1,0,0,31,4,1,0,1,1,0,16,0,1,2,3,1,0,0,0,0
03038,396,355,41,35,32,1,0,3,1,3,0,21,0,3,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
03039,103,93,10,9,9,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03040,429,296,133,112,106,12,0,14,0,0,0,57,1,6,0,0,7,3,0,0,0,12,5,0,0,5,0,0,0,0,1,0,0,0,1,0,0,1
03041,11288,7106,4182,2961,2627,532,36,161,43,32,14,840,302,334,118,73,357,46,285,3,0,759,91,45,21,378,16,20,52,1,32,8,33,27,96,48,12,9
03042,4452,1727,2725,2269,1963,269,21,69,16,19,4,1161,69,306,171,33,105,9,79,0,2,224,19,7,14,49,4,5,31,1,3,5,16,27,124,84,5,3
03043,3655,3474,181,99,86,5,17,14,1,2,4,25,2,13,1,2,24,2,19,0,0,42,4,1,2,7,3,1,15,0,1,1,0,5,16,8,7,0
03044,6909,5647,1262,509,407,13,83,44,7,9,8,172,33,102,38,49,482,72,397,0,9,250,14,22,9,97,2,2,70,2,1,9,10,5,21,9,4,0
03045,417,238,179,154,148,9,2,4,0,2,0,84,4,6,2,0,15,12,3,0,0,8,0,0,0,3,0,0,1,0,1,0,0,1,2,0,0,0
03046,3075,1972,1103,950,891,94,3,120,11,15,1,404,19,59,17,5,27,8,11,0,3,103,24,0,1,19,17,2,0,3,1,2,10,2,21,3,0,2
