codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía
03068,44,33,11,11,11,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03069,6137,3110,3027,2446,2254,118,77,161,54,22,55,1095,178,192,34,26,101,26,69,1,0,441,123,3,29,90,42,31,39,0,19,12,16,16,36,11,13,3
03070,4285,2324,1961,1486,1436,26,120,47,13,5,19,1064,17,50,7,7,309,6,302,0,0,156,18,5,9,7,1,1,112,0,0,0,1,0,10,9,1,0
03071,6291,4722,1569,794,778,45,14,22,7,2,1,519,77,16,6,1,322,6,307,5,0,437,217,0,10,124,6,2,44,0,2,2,13,12,16,10,0,0
03072,378,354,24,22,20,0,0,0,0,0,0,17,1,2,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
03073,232,223,9,6,6,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
03074,2362,1966,396,149,138,0,5,102,1,0,2,4,10,11,1,9,130,0,130,0,0,117,2,8,1,9,1,0,76,2,0,2,14,0,0,0,0,0
03075,231,176,55,50,47,9,1,3,0,0,0,11,10,3,3,0,0,0,0,0,0,5,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
03076,16329,9703,6626,5395,4536,663,347,133,66,48,36,2187,231,859,198,241,349,32,288,0,7,694,300,7,69,76,26,36,56,9,8,21,35,16,187,137,3,1
03077,2862,1576,1286,1240,1230,105,10,14,6,3,1,795,10,10,1,0,10,1,8,0,1,26,2,5,2,1,0,1,3,1,0,2,0,0,10,0,1,0
03078,1214,569,645,631,621,41,3,9,0,0,1,512,6,10,0,0,0,0,0,0,0,13,0,4,0,1,0,0,8,0,0,0,0,0,1,0,0,0
03079,24113,21630,2483,976,942,43,35,89,21,2,8,18,711,34,7,9,114,44,66,0,0,1276,158,127,36,88,12,24,704,15,5,9,34,5,117,42,67,0
03080,2096,1572,524,444,419,11,9,15,4,18,0,290,24,25,8,16,40,3,36,0,0,37,10,4,3,6,0,0,9,1,1,0,2,0,3,0,0,0
03081,3235,1687,1548,1291,1265,147,9,47,6,10,0,878,17,26,2,1,92,10,80,0,0,147,69,17,1,18,3,23,4,0,3,0,1,3,16,2,1,2
03082,31593,14069,17524,13616,12623,2024,123,479,164,95,39,7843,202,993,103,92,861,47,749,3,0,2636,370,42,69,977,38,40,477,5,20,16,198,237,390,131,84,21
03083,7516,6820,696,366,337,44,9,29,5,10,0,138,32,29,3,7,117,18,96,0,2,204,65,19,6,13,2,2,78,3,5,1,6,1,9,5,0,0
03084,749,682,67,53,53,2,0,12,0,0,0,35,0,0,0,0,8,2,6,0,0,6,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
03085,1057,324,733,713,702,118,0,15,1,0,0,464,9,11,3,0,4,2,1,0,0,12,3,1,0,0,0,1,0,0,1,0,1,0,4,0,0,0
03086,201,152,49,47,45,0,0,1,0,0,0,41,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03088,7366,6165,1201,500,481,19,11,33,9,4,5,246,84,19,5,1,215,164,50,0,0,473,28,193,11,35,4,0,171,3,5,4,3,5,13,10,0,0
03089,13060,11689,1371,748,693,54,11,37,14,180,4,316,19,55,14,13,30,7,16,0,0,536,31,162,6,54,17,2,229,3,9,1,1,11,57,13,40,0
03090,22510,19340,3170,2052,1810,226,41,371,75,30,27,541,91,242,22,103,271,58,184,2,0,770,217,32,36,101,23,7,85,70,23,8,49,71,73,21,0,4
03091,612,272,340,315,310,17,23,4,2,0,0,237,6,5,0,0,7,5,1,0,0,17,5,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0
03092,8893,8158,735,400,381,13,77,40,2,7,10,154,40,19,5,5,157,5,140,0,4,150,22,4,16,13,13,2,29,14,9,0,2,11,28,18,0,0
03093,27135,24328,2807,1164,1019,63,19,112,21,79,30,84,558,145,22,91,406,302,94,1,1,1179,63,121,10,96,21,2,777,6,14,4,15,15,57,37,0,1
03094,17874,9791,8083,6482,5734,1093,86,230,75,46,42,2084,208,748,109,41,386,122,157,2,75,1060,241,27,25,94,65,35,361,20,21,13,50,28,148,32,30,7
03095,6546,5235,1311,640,501,84,18,76,10,5,11,102,130,139,37,60,269,32,221,1,10,372,53,18,7,122,4,8,61,12,2,29,29,8,30,15,0,0
03096,7771,6987,784,460,442,28,32,31,10,1,8,122,163,18,1,7,89,10,74,1,0,213,59,16,5,3,5,5,36,4,0,13,59,3,21,5,16,1
03097,2616,1113,1503,1381,1345,207,14,34,13,1,1,924,44,36,0,0,42,26,6,1,0,67,13,2,0,5,2,0,28,0,0,0,0,0,12,0,7,1
03098,870,553,317,285,278,53,1,20,4,3,0,137,4,7,2,0,9,0,9,0,0,19,0,1,1,10,0,1,1,0,0,0,2,0,4,0,0,0
03099,86164,51108,35056,29146,26392,3013,1243,490,181,317,88,16713,749,2754,395,561,1864,656,974,34,15,3401,232,815,93,704,54,43,1066,28,37,45,111,68,628,293,28,17
03100,1081,625,456,414,403,34,6,34,0,0,0,245,14,11,0,8,23,16,6,0,0,18,9,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0
03101,7602,5433,2169,1662,1554,388,8,79,10,6,6,757,56,108,5,6,168,27,133,0,0,312,130,1,6,51,4,12,49,2,14,1,14,7,27,5,9,0
03102,11133,8644,2489,2014,1776,342,88,201,13,53,19,709,159,238,10,49,175,13,159,0,0,268,19,8,6,26,5,17,140,0,4,0,6,19,31,16,0,1
03103,323,302,21,10,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,4,2,2,0
03104,34523,32707,1816,575,444,45,8,124,43,6,19,56,99,131,18,14,111,53,44,2,2,1039,94,5,14,533,37,33,117,55,14,2,20,87,91,57,11,0
03105,7689,6573,1116,780,720,7,59,16,7,8,5,533,43,60,2,52,63,3,57,0,0,254,10,35,10,33,18,1,103,9,0,5,17,1,19,8,11,0
03106,844,730,114,103,99,5,0,8,0,1,1,50,23,4,0,0,2,0,2,0,0,8,0,2,0,1,0,0,1,0,2,0,0,0,1,0,0,0
03107,4245,2611,1634,1166,1058,87,4,63,11,13,14,614,87,108,11,7,172,65,58,0,34,277,57,13,9,15,34,4,113,0,4,0,7,6,17,2,3,2
03109,4135,3456,679,219,197,6,3,46,1,6,21,34,68,22,0,14,328,7,317,0,0,128,5,8,7,21,3,0,83,0,0,0,0,0,4,2,0,0
03110,697,340,357,330,303,56,0,10,1,0,0,205,1,27,0,0,4,0,3,0,0,22,1,0,3,3,0,1,8,0,1,0,0,1,1,1,0,0
03111,7335,6217,1118,421,392,17,45,120,7,44,23,44,55,29,3,14,397,114,281,1,0,296,7,120,9,62,4,1,64,2,0,12,1,6,4,3,0,0
03112,1262,762,500,486,483,13,7,12,4,5,1,346,40,3,0,0,5,1,3,0,0,9,1,2,0,0,0,1,0,0,0,0,2,3,0,0,0,0
03113,20510,5118,15392,14444,12813,1539,234,149,78,36,13,8572,55,1631,229,48,405,25,356,4,0,355,40,4,16,32,6,20,178,1,4,4,11,10,184,108,4,4
03114,2576,1936,640,564,559,9,3,8,3,26,0,439,5,5,0,0,7,6,1,0,0,64,2,3,0,5,0,0,40,4,0,0,5,0,3,1,0,2
03115,444,286,158,131,130,12,0,6,1,0,0,97,1,1,0,0,19,6,13,0,0,8,0,0,0,5,1,1,0,0,1,0,0,0,0,0,0,0
03116,1596,1298,298,262,254,30,26,33,0,5,1,140,1,8,0,0,2,1,0,0,0,32,6,2,1,13,0,1,7,0,0,0,0,2,2,0,0,0
03117,734,469,265,242,218,56,3,8,1,0,1,122,4,24,0,0,11,2,8,0,0,12,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
03118,12030,2769,9261,8675,8336,1392,14,97,47,34,18,5974,96,339,30,39,313,51,233,4,0,166,29,6,10,13,11,7,35,2,11,2,6,5,103,35,3,4
03119,21939,18256,3683,1458,1240,165,65,339,74,56,21,163,123,218,45,68,308,61,209,5,2,1827,618,74,75,273,51,24,204,99,39,16,141,136,86,30,4,4
03120,8135,2890,5245,4879,4591,720,106,32,11,14,4,3299,35,288,39,40,139,53,62,1,7,168,23,8,4,17,7,12,75,0,1,2,3,6,59,30,1,0
03121,31760,23134,8626,6454,5748,323,154,461,154,70,50,3239,242,706,129,84,510,173,222,2,86,1453,406,19,45,342,91,45,80,41,19,24,143,120,208,134,4,1
03122,53126,47961,5165,1867,1475,179,104,411,85,30,57,97,284,392,87,80,699,213,369,16,13,2348,598,71,70,404,53,131,345,51,102,44,186,151,249,138,2,2
03123,10054,8977,1077,797,756,47,39,65,19,6,10,529,9,41,7,21,48,2,43,0,0,220,24,32,7,61,2,1,68,0,1,1,0,19,12,9,1,0
03124,652,530,122,108,104,33,0,13,3,0,0,46,0,4,0,0,8,1,4,0,0,6,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
03125,636,386,250,194,192,32,4,11,1,1,0,92,26,2,0,0,46,3,42,0,0,9,0,1,3,4,0,0,0,0,0,1,0,0,1,0,0,0
