codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03078,1198,555,643,603,588,25,1,11,4,2,0,420,7,15,3,1,3,0,2,0,0,21,1,2,0,1,2,2,8,0,0,2,2,0,14,1,0,2
03079,23489,21483,2006,721,682,30,20,87,16,5,10,17,487,39,14,12,136,46,78,0,1,1013,128,68,17,100,25,9,501,24,17,17,31,21,133,43,85,3
03080,2022,1596,426,335,309,10,5,15,1,35,0,196,13,26,10,12,48,3,42,0,0,41,1,3,1,11,7,0,4,5,0,1,1,1,2,1,0,0
03082,27604,14490,13114,8457,7586,850,90,448,143,106,23,4331,203,871,281,155,1128,45,976,1,6,2868,258,29,58,1253,56,37,327,10,32,18,176,425,630,136,217,31
03083,6865,6344,521,193,168,27,3,24,11,0,1,58,16,25,5,8,133,21,106,1,2,180,28,14,11,13,4,6,73,0,6,1,10,5,15,8,5,0
03085,935,319,616,595,576,70,0,13,0,0,0,361,1,19,8,0,9,2,6,0,0,9,3,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0
03084,578,535,43,35,35,0,0,12,0,0,0,17,2,0,0,0,1,1,0,0,0,7,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0
03086,237,180,57,54,53,0,0,2,0,0,0,45,2,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
03088,8165,7078,1087,353,319,17,4,46,19,11,4,96,83,34,10,8,270,191,71,0,7,433,28,76,14,59,7,2,159,9,5,7,15,24,31,15,8,0
03089,12167,11209,958,486,449,29,7,36,12,53,2,232,22,37,4,9,43,15,21,0,0,388,29,61,8,74,22,2,151,2,13,2,0,5,40,9,14,1
03903,4968,3146,1822,1487,1341,51,61,32,12,22,6,905,47,146,34,55,82,8,62,3,3,173,19,3,9,62,6,3,7,1,5,3,19,24,78,20,2,2
03091,470,263,207,188,186,2,15,3,0,0,0,133,0,2,0,0,4,4,0,0,0,15,1,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0
03092,9324,8256,1068,280,256,11,55,39,3,3,8,90,18,24,5,4,609,12,571,0,14,144,20,5,9,17,24,3,21,7,13,0,2,8,35,9,8,0
03090,25352,21484,3868,1960,1630,149,45,371,110,34,22,350,130,330,85,126,607,303,260,3,3,1151,286,34,58,229,26,14,81,67,37,25,43,183,138,56,3,12
03093,25651,23317,2334,884,775,37,42,94,15,31,25,45,454,109,35,43,459,305,140,0,4,900,39,65,17,105,29,6,508,16,17,15,17,25,90,43,17,1
03094,18603,11581,7022,5004,4156,585,99,240,105,49,31,1257,301,848,243,96,558,246,196,4,83,1240,294,32,44,172,93,35,278,32,46,25,48,54,212,59,44,8
03095,6894,5532,1362,583,437,73,27,82,6,4,6,75,103,146,40,57,253,16,213,0,12,481,50,24,21,162,16,13,55,7,4,25,24,49,45,29,0,0
03096,7507,6835,672,297,274,12,17,31,13,1,2,60,105,23,8,7,129,7,119,0,0,227,57,13,6,21,7,2,27,6,4,10,57,13,19,4,9,0
03097,2174,1157,1017,891,863,90,16,41,5,6,2,602,10,28,7,1,52,14,29,1,1,63,7,0,0,2,1,2,18,0,2,0,0,3,11,2,1,0
03099,77414,51631,25783,18585,15583,869,875,524,173,331,87,9155,789,3002,1241,728,2833,693,1696,31,21,3283,282,479,121,747,100,73,819,39,61,61,138,152,1062,413,92,20
03098,736,577,159,125,120,12,0,15,1,0,0,59,5,5,1,1,12,1,10,0,0,20,2,1,3,9,3,0,2,0,0,0,0,0,2,0,0,0
03100,929,556,373,333,320,11,2,28,2,3,0,206,5,13,8,0,17,8,7,1,0,18,9,0,1,3,0,0,0,0,0,0,0,1,5,0,0,0
03101,7699,5735,1964,1281,1170,224,3,96,19,10,8,480,63,111,27,26,207,33,162,0,4,440,115,8,17,87,16,17,49,1,36,6,32,30,35,17,6,1
03102,10128,8327,1801,1343,1171,175,71,176,18,21,5,441,108,172,17,56,161,16,136,0,0,250,16,9,10,31,6,11,110,0,6,2,2,32,47,22,7,0
03103,292,269,23,13,13,2,0,0,0,0,0,4,6,0,0,0,3,1,0,0,1,7,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
03104,34276,32614,1662,479,344,43,11,105,25,6,11,30,74,135,17,24,159,43,78,1,13,900,100,17,26,429,37,8,98,25,12,10,33,73,124,69,21,0
03902,21905,13096,8809,5704,4952,437,56,146,55,40,23,2807,716,752,137,178,1804,10,1776,2,3,1072,62,35,21,110,32,12,624,12,23,20,34,44,225,97,5,4
03105,7966,6661,1305,881,819,18,33,17,13,13,3,590,48,62,7,52,137,17,115,1,1,238,12,20,5,31,13,1,92,3,0,16,17,4,49,10,30,0
03106,693,619,74,67,65,4,4,2,0,0,2,30,8,2,0,0,0,0,0,0,0,6,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
03901,2705,1259,1446,1291,1089,428,7,91,16,13,8,316,34,202,41,2,39,16,18,0,0,85,19,7,1,27,0,5,4,1,5,1,10,0,29,16,0,2
03107,4965,3289,1676,1118,874,50,33,59,21,7,5,321,83,244,111,32,208,74,97,0,25,324,60,17,16,31,31,7,93,2,9,3,14,12,25,2,2,1
03060,122,111,11,8,8,2,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03109,4498,3733,765,226,186,5,13,47,3,8,22,32,36,40,0,16,389,9,378,0,0,148,10,1,7,31,16,1,75,0,2,0,1,1,2,1,0,0
03110,653,365,288,245,207,34,0,10,2,6,0,125,5,38,8,6,7,1,1,0,0,34,5,0,4,6,1,0,3,0,1,1,0,8,2,0,0,0
03111,7869,6783,1086,262,233,13,26,107,5,15,2,12,28,29,5,14,541,116,421,0,0,251,15,64,2,73,9,0,49,4,3,6,8,7,32,15,17,0
03112,1160,723,437,414,399,5,1,12,1,1,0,226,35,15,7,5,4,2,1,0,0,16,5,0,1,3,1,1,0,0,0,1,1,1,3,0,0,0
03113,16963,5169,11794,10407,8734,714,89,169,62,29,12,5723,45,1673,435,87,578,41,506,5,5,410,44,8,22,78,9,18,145,1,8,10,8,19,392,129,4,7
03114,2434,1866,568,484,469,10,2,16,5,14,0,266,8,15,3,6,10,5,4,0,0,67,3,3,4,9,2,0,36,3,0,1,5,0,7,1,2,0
03115,408,284,124,107,104,6,0,3,0,0,0,82,2,3,0,1,13,6,7,0,0,4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
03116,1601,1354,247,207,200,14,22,26,1,4,1,112,5,7,1,0,3,0,1,0,1,36,4,0,2,15,1,0,7,1,1,0,0,4,1,0,1,0
03118,7855,2926,4929,4337,4109,530,18,106,38,17,15,2763,54,228,46,43,289,68,205,4,2,174,29,0,11,25,12,6,30,4,14,5,6,11,126,55,2,3
03904,1986,1701,285,169,153,3,16,16,3,3,3,42,51,16,5,1,51,5,39,0,1,63,4,1,6,19,3,1,16,2,1,2,2,1,2,0,0,0
03120,6034,2985,3049,2646,2424,197,69,34,15,11,2,1706,40,222,56,63,161,28,107,2,8,149,24,6,7,16,1,10,51,1,1,0,7,11,92,21,20,1
03122,58385,52446,5939,1723,1263,146,70,389,86,33,28,76,226,460,113,80,997,336,497,18,33,2682,507,59,106,600,103,73,367,78,122,54,182,271,534,275,79,3
03117,667,417,250,222,198,65,2,13,8,0,0,83,0,24,1,4,1,0,0,0,0,27,10,1,0,3,2,0,4,0,1,1,0,3,0,0,0,0
03119,23915,19851,4064,1371,1070,108,52,320,72,41,17,118,136,301,87,97,512,200,268,2,5,1946,530,48,83,351,51,32,161,70,39,32,133,302,230,135,9,5
03121,32306,25519,6787,3555,2789,151,88,384,211,73,30,1036,203,766,331,142,726,240,325,4,98,1984,456,30,105,495,119,55,74,60,40,39,151,240,513,191,31,9
03123,9845,9100,745,467,435,20,7,54,14,2,5,277,15,32,6,20,22,3,12,2,0,229,31,16,2,96,2,0,44,4,1,1,2,21,27,17,3,0
03124,580,502,78,63,57,11,0,7,2,0,0,25,0,6,2,0,7,1,4,0,0,7,1,0,0,2,0,0,0,2,1,1,0,0,0,0,0,1
03125,584,398,186,121,121,24,3,7,2,0,0,48,5,0,0,0,38,1,35,0,1,26,6,3,0,9,0,0,2,0,0,2,1,1,1,0,0,0
03127,646,400,246,205,200,31,4,19,1,2,0,74,9,5,2,0,16,13,0,0,1,24,4,1,0,3,0,0,9,0,0,1,0,1,1,0,0,0
03128,11112,4958,6154,4503,4176,666,263,170,50,44,9,1984,212,327,101,32,420,28,353,2,11,1006,106,87,25,514,21,4,65,2,6,17,29,48,215,87,33,10
03129,1614,1384,230,163,160,33,0,5,1,2,1,67,17,3,0,1,16,2,12,0,0,45,14,0,2,6,3,0,1,2,1,1,8,0,6,3,0,0
03130,57,41,16,12,12,1,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03131,340,215,125,119,117,12,0,2,0,4,0,84,1,2,0,1,4,1,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
03132,661,554,107,81,75,20,0,1,1,0,0,14,12,6,1,0,3,1,2,0,0,21,4,0,0,1,1,0,5,3,0,0,0,2,2,0,0,0
03133,83337,46018,37319,22157,13918,1110,1392,687,474,444,207,4325,1323,8239,3752,2746,4040,740,2538,122,365,9061,1203,48,707,2886,612,608,1026,123,218,218,654,457,2040,782,198,21
03134,167,153,14,13,9,0,0,2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03136,571,434,137,107,106,13,20,13,1,2,1,31,18,1,0,1,6,1,2,0,0,23,1,1,1,7,0,2,7,0,0,0,0,1,1,0,0,0
03137,846,703,143,106,99,13,1,4,1,3,0,44,6,7,1,3,15,10,1,0,0,21,4,0,1,1,4,0,0,2,2,0,0,1,1,0,0,0
03135,216,190,26,15,15,0,0,10,0,0,0,4,0,0,0,0,8,5,2,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03138,4640,3680,960,568,492,113,23,65,6,8,5,55,150,76,14,24,159,9,136,0,9,174,33,7,5,41,8,4,38,2,2,2,8,12,59,36,9,0
03139,34673,26847,7826,4115,2933,145,263,263,163,73,49,497,834,1182,612,317,1477,341,1092,17,4,1914,386,35,95,462,142,42,304,17,51,34,93,184,315,82,79,5
03140,33964,30962,3002,768,662,36,182,96,12,10,11,124,150,106,18,22,861,65,722,1,10,1197,38,13,21,423,29,6,419,26,18,26,5,124,176,58,51,0
03081,2739,1705,1034,770,748,63,7,38,11,3,2,438,16,22,4,3,113,10,99,0,0,132,39,12,2,23,0,22,1,3,2,0,1,6,11,2,0,8
