codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03001,632,375,257,246,241,51,16,32,0,0,1,115,4,5,0,0,6,0,1,0,0,4,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0
03002,4707,4290,417,194,162,21,0,28,4,4,2,34,52,32,17,6,120,2,116,1,0,88,10,1,3,10,2,3,34,12,0,1,1,2,15,3,1,0
03003,574,526,48,44,44,3,21,1,1,0,1,12,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
03004,937,680,257,200,186,23,1,25,1,1,0,60,1,14,4,0,11,5,4,0,0,42,6,0,1,3,0,1,22,2,0,0,1,0,4,2,0,0
03005,11780,9652,2128,811,760,46,65,77,3,6,6,290,166,51,11,6,726,7,705,2,0,571,19,29,7,30,2,5,444,7,4,1,7,1,20,14,1,0
03006,1311,574,737,668,662,42,1,28,1,7,0,502,1,6,0,0,19,15,3,0,0,33,12,3,0,3,1,0,7,1,1,0,0,3,17,8,0,0
03007,216,185,31,27,27,0,0,0,0,1,1,21,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
03008,184,175,9,7,7,0,0,5,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,59567,55818,3749,1374,1266,40,111,213,20,28,11,45,734,108,47,27,839,97,674,4,18,1331,101,50,55,178,53,18,627,1,59,39,24,29,201,94,68,4
03010,406,379,27,26,26,0,0,5,2,0,0,5,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,21700,9443,12257,10519,7577,671,135,257,126,66,40,3009,692,2942,292,144,344,113,142,4,29,1068,253,17,49,182,87,49,121,24,25,34,37,79,321,126,31,5
03012,3693,1331,2362,2299,2208,38,5,23,4,1,5,1924,8,91,34,5,10,1,7,1,0,35,10,2,0,9,3,0,3,0,1,3,1,0,18,13,1,0
03013,1413,1318,95,45,44,4,0,6,1,2,0,19,11,1,1,0,37,11,26,0,0,12,1,1,0,1,1,0,5,0,0,0,0,1,1,0,0,0
03014,328648,270597,58051,15355,10639,983,789,2494,741,435,285,696,2549,4716,1924,1305,14864,7198,5162,457,703,24582,5236,1072,692,5896,1214,406,4217,908,743,746,985,1381,3189,1465,481,61
03015,19955,15817,4138,1709,1359,59,46,128,24,19,27,741,141,350,111,153,1906,65,1818,3,0,453,53,10,25,168,15,24,78,1,3,12,28,23,70,45,11,0
03016,114,101,13,12,12,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03017,522,471,51,21,21,1,12,2,0,0,0,5,1,0,0,0,26,0,25,0,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
03018,22385,14305,8080,5857,4551,471,229,275,85,76,26,868,959,1306,683,123,489,128,290,1,16,1436,398,59,44,142,96,41,306,15,30,42,98,49,285,76,36,13
03019,20406,18801,1605,825,703,30,8,109,26,9,2,224,168,122,22,65,174,48,109,6,0,549,82,17,14,93,9,13,236,8,8,6,14,15,56,29,8,1
03020,133,112,21,20,19,2,0,2,0,0,0,15,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7155,6824,331,55,49,2,16,8,1,0,0,13,8,6,0,0,68,1,60,0,4,129,7,1,2,29,9,0,64,2,2,5,3,3,79,8,70,0
03022,155,143,12,4,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
03023,1746,1627,119,74,69,2,39,5,1,1,1,9,11,5,0,1,13,3,3,1,5,32,1,7,0,0,2,0,20,0,0,0,2,0,0,0,0,0
03024,5398,4722,676,436,404,3,96,62,6,16,3,104,88,32,1,25,178,3,162,0,2,49,5,1,5,17,1,0,14,2,1,0,1,1,13,9,1,0
03025,1899,1538,361,302,282,70,2,37,5,16,0,106,9,20,5,9,16,0,16,0,0,40,11,0,0,11,3,0,9,0,2,0,2,2,3,0,0,0
03026,1926,1434,492,332,302,73,5,33,6,5,2,118,14,30,1,4,30,7,20,0,1,127,26,7,3,53,3,5,7,0,2,0,7,4,3,0,0,0
03027,227,181,46,41,41,4,0,2,0,1,0,16,17,0,0,0,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
03028,1208,1126,82,63,63,2,16,10,0,0,0,11,20,0,0,0,8,0,8,0,0,11,2,0,1,0,1,0,3,0,2,0,0,0,0,0,0,0
03030,1196,648,548,493,473,87,1,25,7,1,0,293,10,20,0,0,28,3,24,0,0,27,9,5,1,2,0,4,1,0,3,0,0,0,0,0,0,0
03031,69045,46687,22358,11683,9992,353,877,514,357,179,149,3173,2724,1691,776,457,2311,985,1141,68,14,5363,989,143,175,1060,566,201,1180,79,165,185,250,184,2986,824,1456,15
03032,114,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
03033,156,129,27,24,22,3,0,4,0,0,0,9,1,2,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
03029,490,242,248,216,214,5,0,3,0,0,0,187,12,2,1,0,4,4,0,0,0,28,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03034,3655,1717,1938,1797,1688,172,19,55,7,3,0,972,9,109,17,2,45,2,41,0,0,50,3,0,1,6,1,0,23,0,0,5,0,2,46,27,0,0
03035,786,732,54,48,45,3,0,5,0,0,0,27,7,3,0,2,2,1,1,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
