codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03001,627,379,248,238,235,52,19,10,0,0,1,128,6,3,0,0,4,0,1,0,0,5,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0
03002,4752,4308,444,209,174,20,0,30,3,8,2,31,62,35,19,7,132,3,126,1,0,88,10,0,4,9,3,3,38,13,0,2,2,1,15,3,0,0
03003,583,531,52,48,48,3,23,1,1,0,1,13,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
03004,984,704,280,218,203,23,1,22,1,1,0,72,1,15,5,0,10,4,4,0,0,48,6,0,1,3,0,1,24,3,2,0,1,0,4,2,0,0
03005,11767,9579,2188,901,842,52,77,76,4,6,4,329,191,59,14,8,672,8,650,2,0,595,19,30,7,34,6,4,462,7,4,0,7,2,20,14,2,0
03006,1350,586,764,697,690,50,1,21,1,4,0,518,2,7,0,0,18,14,3,0,0,33,11,4,0,2,1,1,7,1,1,0,0,3,16,7,0,0
03007,238,195,43,37,37,0,0,0,1,1,1,28,2,0,0,0,3,1,2,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
03008,191,178,13,10,10,0,0,5,0,0,0,3,2,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03009,59675,56019,3656,1379,1269,40,116,213,22,27,15,41,727,110,46,26,738,99,578,4,19,1328,99,47,52,172,54,18,653,1,58,39,21,25,206,96,70,5
03010,418,392,26,24,24,0,0,5,0,0,0,5,13,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011,21357,9394,11963,10194,7396,675,124,258,121,65,40,2949,662,2798,258,133,364,131,160,2,15,1067,256,20,45,182,75,43,138,24,25,32,39,84,334,141,32,4
03012,3799,1307,2492,2425,2326,45,7,23,3,0,8,2020,7,99,36,8,18,1,15,1,0,39,11,3,0,8,3,0,3,0,1,3,1,1,10,6,1,0
