codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros varones,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,314,25,180,109,297,21,164,112,117,6,54,57,123,4,66,53,611
03002,2398,367,1593,438,2396,358,1518,520,192,30,143,19,206,38,145,23,4794
03003,309,32,212,65,255,33,140,82,26,1,20,5,19,0,13,6,564
03004,506,65,334,107,480,65,315,100,121,9,73,39,125,11,82,32,986
03005,6356,1208,4284,864,6118,1170,3938,1010,1386,313,955,118,1152,282,762,108,12474
03006,653,46,333,274,649,48,331,270,365,13,141,211,381,17,171,193,1302
03007,98,9,55,34,79,6,38,35,4,0,3,1,4,0,3,1,177
03008,113,8,77,28,113,9,72,32,18,0,8,10,16,1,8,7,226
03009,29107,4533,19282,5292,30247,4249,18734,7264,2280,421,1812,47,1962,333,1568,61,59354
03010,198,22,140,36,208,25,121,62,16,3,11,2,7,0,6,1,406
03011,9945,1361,6086,2498,10097,1282,6222,2593,4981,511,2738,1732,5209,469,2989,1751,20042
03012,1595,217,868,510,1530,192,866,472,850,69,377,404,838,64,420,354,3125
03013,668,106,405,157,658,87,383,188,38,5,27,6,29,2,19,8,1326
03014,163385,27301,109212,26872,174097,25662,111088,37347,25116,4284,19434,1398,24361,4119,18514,1728,337482
03015,10694,2155,7074,1465,10514,2040,6694,1780,2513,581,1648,284,2448,551,1621,276,21208
03016,53,3,34,16,56,4,25,27,5,0,3,2,8,0,4,4,109
03017,241,34,181,26,252,42,167,43,18,5,12,1,16,4,11,1,493
03018,11045,1622,7266,2157,11513,1543,7463,2507,3775,478,2432,865,3811,457,2489,865,22558
03019,10471,1903,6961,1607,10333,1758,6619,1956,731,94,517,120,748,106,532,110,20804
03020,71,4,49,18,57,5,32,20,19,1,12,6,8,1,4,3,128
03021,3548,575,2317,656,3542,531,2173,838,206,40,161,5,164,43,112,9,7090
03022,75,3,44,28,81,7,38,36,2,0,2,0,5,0,3,2,156
03023,845,124,549,172,845,109,505,231,42,7,34,1,36,2,30,4,1690
03024,2711,430,1811,470,2724,443,1696,585,355,67,252,36,352,81,231,40,5435
03025,1016,176,663,177,949,175,596,178,136,9,66,61,152,8,91,53,1965
03026,1096,179,724,193,1063,135,661,267,245,20,155,70,258,15,146,97,2159
03027,97,10,54,33,103,18,57,28,14,3,8,3,9,1,7,1,200
