codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,217,24,145,48,204,19,115,70,122,7,88,27,92,2,78,12,421
03002,2060,336,1394,330,2087,350,1300,437,220,35,181,4,150,30,117,3,4147
03003,326,43,215,68,277,28,170,79,38,7,31,0,30,11,19,0,603
03004,290,38,200,52,268,40,180,48,88,15,59,14,91,10,70,11,558
03005,4479,998,2901,580,4432,885,2838,709,641,97,505,39,449,77,347,25,8911
03006,324,53,193,78,290,46,150,94,312,24,183,105,290,7,206,77,614
03007,74,10,48,16,90,17,55,18,7,0,6,1,6,0,5,1,164
03008,117,8,67,42,114,6,68,40,6,1,5,0,4,0,2,2,231
03009,28039,4462,19136,4441,30072,4378,19056,6638,1305,222,1067,16,1116,219,879,18,58111
03010,196,32,126,38,215,36,134,45,10,2,8,0,5,1,4,0,411
03011,4071,823,2892,356,3867,825,2655,387,3285,411,1879,995,3433,404,2153,876,7938
03012,606,100,412,94,614,97,400,117,384,32,266,86,352,28,272,52,1220
03013,672,89,426,157,721,108,431,182,34,5,27,2,25,3,22,0,1393
03014,135538,22720,93355,19463,145884,21232,95952,28700,14867,2161,12136,570,14041,2088,11204,749,281422
03015,6985,1365,4717,903,6911,1248,4486,1177,939,151,756,32,615,137,455,23,13896
03016,59,5,33,21,47,4,27,16,3,0,1,2,2,0,1,1,106
03017,180,26,106,48,192,29,110,53,29,3,25,1,9,2,7,0,372
03018,7074,1329,4823,922,7223,1207,4769,1247,2642,262,1823,557,2575,252,1850,473,14297
03019,8516,1603,5705,1208,8484,1503,5452,1529,460,74,363,23,373,70,292,11,17000
03020,71,9,42,20,83,9,47,27,9,1,8,0,8,1,7,0,154
03021,3481,633,2367,481,3549,591,2254,704,174,34,140,0,110,21,88,1,7030
03022,115,6,77,32,114,6,73,35,3,0,3,0,5,0,4,1,229
03023,839,112,560,167,847,121,488,238,131,27,104,0,122,25,95,2,1686
03024,2464,475,1592,397,2512,426,1589,497,143,15,124,4,97,14,80,3,4976
03025,579,100,409,70,550,76,379,95,116,15,77,24,106,8,83,15,1129
03026,592,92,393,107,611,81,392,138,133,18,96,19,119,17,81,21,1203
03027,85,4,49,32,88,6,42,40,17,1,15,1,9,2,7,0,173
03028,641,83,399,159,654,78,367,209,39,1,38,0,29,9,18,2,1295
03029,155,12,96,47,161,9,86,66,115,9,80,26,100,6,74,20,316
03030,287,36,197,54,294,46,173,75,200,13,105,82,214,26,126,62,581
03031,25199,4079,17663,3457,25482,3699,17551,4232,7362,956,5452,954,6913,900,5085,928,50681
03032,60,3,42,15,72,4,38,30,0,0,0,0,0,0,0,0,132
03033,76,10,46,20,72,8,45,19,13,1,12,0,12,4,8,0,148
03034,767,147,507,113,818,148,526,144,769,90,517,162,784,87,586,111,1585
03035,443,46,306,91,439,53,260,126,4,1,1,2,5,1,4,0,882
03036,44,2,35,7,45,6,31,8,1,0,1,0,3,1,2,0,89
03037,159,15,97,47,174,20,97,57,58,3,48,7,56,8,42,6,333
03038,216,21,143,52,222,17,127,78,8,1,5,2,9,1,7,1,438
03039,71,8,48,15,58,8,34,16,5,2,2,1,3,0,2,1,129
03040,153,16,103,34,143,11,85,47,26,2,17,7,33,7,21,5,296
03041,3423,543,2329,551,3506,567,2246,693,2305,211,1379,715,2171,191,1375,605,6929
03042,726,96,473,157,740,110,436,194,1029,110,678,241,930,114,652,164,1466
03043,1697,275,1123,299,1769,277,1151,341,65,9,52,4,43,3,35,5,3466
03044,2610,504,1780,326,2574,509,1667,398,246,46,195,5,171,42,123,6,5184
03045,128,6,79,43,119,12,70,37,57,5,38,14,60,7,40,13,247
03046,782,146,555,81,787,175,511,101,281,21,173,87,277,33,191,53,1569
03047,5215,1070,3583,562,5055,968,3423,664,6896,511,3776,2609,6487,488,3596,2403,10270
03048,2933,463,1941,529,2934,416,1836,682,1273,153,1083,37,817,166,620,31,5867
03049,7569,1355,5074,1140,7609,1304,4872,1433,788,126,656,6,505,118,380,7,15178
03050,9349,1743,6534,1072,9612,1722,6556,1334,1678,228,1057,393,1741,222,1162,357,18961
03051,204,27,138,39,210,35,119,56,6,1,5,0,8,1,7,0,414
03052,546,79,344,123,599,96,362,141,16,0,16,0,15,2,13,0,1145
03053,3974,733,2684,557,3983,660,2630,693,332,41,266,25,243,38,190,15,7957
03054,206,18,113,75,230,15,107,108,21,1,15,5,18,2,15,1,436
03055,2727,511,1846,370,2724,499,1766,459,267,35,222,10,166,33,127,6,5451
03056,5197,788,3587,822,5334,756,3410,1168,210,37,167,6,166,32,129,5,10531
03057,150,9,96,45,113,16,49,48,15,1,12,2,23,2,19,2,263
03058,2913,539,1993,381,2879,536,1905,438,363,48,313,2,222,48,172,2,5792
03059,12425,2248,8657,1520,12347,2258,8197,1892,1128,172,926,30,732,166,546,20,24772
03060,70,4,44,22,70,0,32,38,6,0,5,1,4,0,3,1,140
03061,615,120,388,107,590,96,363,131,107,21,77,9,78,20,55,3,1205
03062,92,9,54,29,87,9,52,26,41,1,33,7,41,2,35,4,179
03063,14269,2649,9895,1725,14662,2400,9885,2377,4855,630,3281,944,4798,619,3314,865,28931
03064,3072,615,1962,495,3014,546,1887,581,439,94,332,13,338,80,240,18,6086
03065,96317,16852,67819,11646,98740,15981,67587,15172,7831,1246,6424,161,6551,1190,5175,186,195057
03066,25717,4312,17806,3599,26981,4057,17868,5056,1492,265,1204,23,1386,255,1110,21,52698
03067,53,5,28,20,50,3,25,22,0,0,0,0,0,0,0,0,103
03068,25,0,14,11,27,2,9,16,5,0,4,1,8,0,3,5,52
03069,1118,158,814,146,1056,157,707,192,594,72,421,101,609,90,434,85,2174
03070,1030,185,669,176,1098,214,659,225,273,36,220,17,187,38,138,11,2128
03071,2319,362,1568,389,2312,328,1457,527,339,70,238,31,242,43,178,21,4631
03072,163,18,106,39,178,14,100,64,1,0,1,0,2,0,0,2,341
03073,135,25,76,34,120,7,67,46,3,0,3,0,3,0,3,0,255
03074,978,128,674,176,955,126,636,193,87,15,69,3,46,7,39,0,1933
03075,86,9,54,23,84,12,55,17,18,3,13,2,16,2,14,0,170
03076,4550,752,3039,759,4611,694,2978,939,1639,188,1163,288,1415,184,1043,188,9161
03077,758,91,485,182,794,109,463,222,206,19,146,41,178,15,139,24,1552
03078,306,39,199,68,272,27,171,74,149,11,101,37,156,17,115,24,578
03079,10659,1834,7460,1365,10864,1668,7362,1834,778,171,602,5,666,149,510,7,21523
03080,766,150,486,130,767,144,476,147,72,5,56,11,81,8,63,10,1533
03081,830,136,532,162,819,104,517,198,384,62,250,72,367,48,270,49,1649
03082,6756,1192,4729,835,6867,1195,4552,1120,6694,745,4026,1923,6332,679,3944,1709,13623
03083,3372,524,2228,620,3712,501,2291,920,150,25,111,14,166,34,116,16,7084
03084,351,41,224,86,359,60,184,115,13,2,9,2,12,2,8,2,710
03085,174,24,115,35,177,27,111,39,249,19,153,77,237,10,171,56,351
03086,77,6,50,21,83,5,59,19,6,0,5,1,9,0,8,1,160
