codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,353,36,215,102,340,32,209,99,157,14,94,49,156,14,107,35,693
03002,2432,367,1699,366,2378,380,1541,457,299,46,244,9,245,50,185,10,4810
03003,325,44,219,62,294,41,174,79,28,6,19,3,33,7,24,2,619
03004,547,94,363,90,517,84,334,99,168,24,111,33,167,24,104,39,1064
03005,6079,1205,4123,751,5666,1058,3769,839,1389,212,1056,121,1013,162,764,87,11745
03006,762,94,422,246,745,74,460,211,450,37,244,169,467,27,313,127,1507
03007,108,15,66,27,120,16,76,28,23,3,13,7,24,2,17,5,228
03008,108,5,66,37,98,3,57,38,5,0,4,1,3,0,0,3,206
03009,29854,4814,20466,4574,31698,4754,20058,6886,1980,311,1639,30,1710,316,1373,21,61552
03010,211,33,132,46,202,36,125,41,16,0,16,0,8,1,7,0,413
03011,10498,1626,6580,2292,10513,1546,6808,2159,5831,702,3345,1784,6015,647,3712,1656,21011
03012,2162,238,1407,517,2184,283,1474,427,1517,116,984,417,1518,156,1062,300,4346
03013,767,115,484,168,784,116,487,181,80,13,63,4,54,13,37,4,1551
03014,162853,27563,113606,21684,171904,25664,114672,31568,26233,3913,21402,918,24256,3545,19585,1126,334757
03015,9772,1870,6752,1150,9375,1784,6174,1417,2238,443,1635,160,1818,395,1311,112,19147
03016,70,8,41,21,59,4,40,15,10,0,8,2,11,1,9,1,129
03017,244,36,165,43,264,53,158,53,30,5,24,1,18,2,15,1,508
03018,11884,1839,8023,2022,11896,1713,7911,2272,4601,481,3116,1004,4368,470,3025,873,23780
03019,10190,1838,7040,1312,9990,1751,6607,1632,996,158,770,68,869,170,651,48,20180
03020,81,10,52,19,82,11,45,26,15,2,12,1,13,2,11,0,163
03021,3614,628,2445,541,3626,600,2296,730,176,31,142,3,130,27,101,2,7240
03022,93,5,60,28,97,5,56,36,7,3,4,0,7,1,5,1,190
03023,910,134,588,188,901,116,557,228,78,19,57,2,68,6,60,2,1811
03024,2741,467,1852,422,2726,435,1740,551,325,54,247,24,270,38,212,20,5467
03025,970,167,640,163,906,137,618,151,214,24,117,73,218,21,148,49,1876
03026,995,176,657,162,1002,162,649,191,262,44,163,55,267,43,179,45,1997
03027,129,11,86,32,109,10,68,31,49,8,39,2,28,6,22,0,238
03028,657,79,413,165,666,77,363,226,50,6,42,2,47,7,36,4,1323
