codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03029,299,28,179,92,290,22,165,103,140,5,89,46,131,6,87,38,589
03030,621,76,375,170,654,86,376,192,325,34,169,122,330,36,181,113,1275
03031,35796,5066,25354,5376,35238,4592,24516,6130,12316,1488,9193,1635,11091,1352,8291,1448,71034
03032,52,3,35,14,57,3,30,24,1,0,1,0,0,0,0,0,109
03033,97,13,59,25,90,10,61,19,20,1,17,2,15,1,13,1,187
03034,1977,247,1258,472,1999,256,1309,434,1199,119,724,356,1155,97,769,289,3976
03035,415,37,273,105,424,46,244,134,24,1,19,4,34,5,29,0,839
03036,43,3,31,9,56,9,35,12,2,0,1,1,5,1,4,0,99
03037,237,16,170,51,253,19,164,70,59,3,44,12,56,1,43,12,490
03038,224,34,139,51,216,14,129,73,26,8,14,4,24,3,16,5,440
03039,67,6,47,14,56,4,36,16,8,2,3,3,8,0,6,2,123
03040,202,18,134,50,200,21,113,66,54,5,27,22,60,9,34,17,402
03041,6668,814,4142,1712,6553,838,4005,1710,3164,260,1782,1122,3027,285,1792,950,13221
03042,2723,304,1599,820,2676,327,1641,708,1923,185,1072,666,1875,197,1181,497,5399
03043,1837,280,1244,313,1886,303,1210,373,107,18,79,10,87,17,64,6,3723
03044,3442,622,2400,420,3302,638,2161,503,676,97,512,67,545,105,399,41,6744
03045,221,21,134,66,212,25,133,54,91,10,58,23,88,12,62,14,433
03046,1580,253,1017,310,1568,247,1048,273,683,82,391,210,649,58,434,157,3148
03047,15177,1843,9167,4167,14489,1726,8507,4256,9632,776,5332,3524,9077,718,4898,3461,29666
03048,4182,664,2941,577,3874,659,2493,722,1305,185,1062,58,974,190,731,53,8056
03049,9090,1768,6133,1189,8834,1597,5688,1549,1546,371,1147,28,1244,325,892,27,17924
03050,13199,2213,8863,2123,13312,2116,8912,2284,2723,281,1754,688,2717,261,1839,617,26511
03051,209,28,139,42,215,28,130,57,5,0,5,0,8,1,7,0,424
03052,599,102,383,114,632,104,395,133,21,3,18,0,21,1,19,1,1231
03053,5208,831,3619,758,5119,787,3448,884,944,99,664,181,863,107,636,120,10327
03054,248,18,150,80,260,18,130,112,42,5,25,12,47,4,34,9,508
03055,4470,812,3006,652,4275,756,2843,676,1282,183,889,210,1132,158,839,135,8745
03056,5739,864,3986,889,5728,801,3719,1208,442,68,345,29,376,61,286,29,11467
03057,165,9,106,50,134,9,73,52,29,3,19,7,33,4,27,2,299
03058,3480,616,2416,448,3346,568,2290,488,497,76,414,7,394,70,316,8,6826
03059,14647,2708,10204,1735,13962,2615,9276,2071,2085,408,1579,98,1541,391,1079,71,28609
03060,62,2,42,18,67,0,32,35,4,0,4,0,4,0,3,1,129
03061,979,145,658,176,963,144,623,196,330,37,221,72,339,46,241,52,1942
03062,343,23,234,86,331,17,230,84,235,13,163,59,224,9,161,54,674
03063,22105,3812,14911,3382,22359,3427,14962,3970,7008,921,4605,1482,6791,811,4610,1370,44464
03064,3743,699,2465,579,3684,637,2368,679,669,135,461,73,631,115,446,70,7427
03065,115289,19849,82292,13148,114823,18833,78833,17157,16073,2631,13069,373,13193,2488,10289,416,230112
03066,27101,4535,18703,3863,28067,4052,18629,5386,2055,363,1655,37,1886,331,1512,43,55168
03067,54,3,32,19,52,3,31,18,2,0,2,0,2,0,2,0,106
03068,20,0,10,10,24,2,8,14,5,0,3,2,6,0,2,4,44
03069,3125,426,2257,442,3012,469,2120,423,1442,173,1019,250,1452,215,1030,207,6137
03070,2248,341,1605,302,2037,318,1405,314,1084,132,837,115,867,106,671,90,4285
03071,3221,514,2176,531,3070,484,1954,632,798,122,567,109,699,119,490,90,6291
03072,193,23,129,41,185,17,112,56,7,0,5,2,16,1,11,4,378
03073,123,12,77,34,109,3,65,41,3,0,3,0,3,0,3,0,232
03074,1235,194,861,180,1127,191,729,207,175,30,144,1,125,22,102,1,2362
03075,114,7,84,23,117,18,76,23,28,2,24,2,27,1,24,2,231
03076,8241,1201,5289,1751,8088,1124,5229,1735,3369,387,2117,865,3149,353,2125,671,16329
03077,1475,150,981,344,1387,156,928,303,664,59,428,177,590,47,444,99,2862
03078,636,55,404,177,578,65,372,141,320,23,186,111,319,32,212,75,1214
03079,12134,2080,8494,1560,11979,1885,8134,1960,1215,244,962,9,1014,217,786,11,24113
03080,1040,198,663,179,1056,183,672,201,250,42,169,39,263,41,187,35,2096
03081,1632,250,1045,337,1603,233,1024,346,777,114,492,171,748,103,508,137,3235
03082,15844,2302,9935,3607,15749,2199,9854,3696,8673,992,5027,2654,8583,951,5189,2443,31593
03083,3643,587,2413,643,3873,519,2436,918,315,50,227,38,325,69,225,31,7516
03084,374,40,238,96,375,56,209,110,29,2,21,6,30,7,20,3,749
03085,530,53,336,141,527,44,352,131,360,28,226,106,352,21,238,93,1057
03086,100,12,70,18,101,6,69,26,25,1,22,2,26,1,21,4,201
03088,3893,641,2756,496,3473,574,2364,535,676,65,564,47,456,52,378,26,7366
03089,6504,1055,4409,1040,6556,943,4227,1386,682,112,525,45,635,121,473,41,13060
03090,11290,2216,7903,1171,11220,2072,7751,1397,1283,191,871,221,1297,202,904,191,22510
03091,293,24,169,100,319,25,187,107,166,8,102,56,161,7,112,42,612
03092,4413,756,3073,584,4480,756,2946,778,342,46,270,26,310,54,236,20,8893
03093,13553,2407,9390,1756,13582,2383,8889,2310,1487,222,1240,25,1119,209,887,23,27135
03094,9100,1530,6061,1509,8774,1380,5919,1475,3823,413,2308,1102,3850,409,2431,1010,17874
03095,3282,530,2318,434,3264,540,2186,538,638,105,486,47,561,106,412,43,6546
03096,3917,648,2754,515,3854,558,2594,702,374,59,305,10,290,46,232,12,7771
03097,1296,154,716,426,1320,123,793,404,741,65,358,318,732,61,420,251,2616
03098,436,48,307,81,434,47,293,94,162,17,104,41,151,14,107,30,870
03099,43368,6698,27973,8697,42796,6463,27490,8843,17973,1927,11207,4839,16902,1922,11133,3847,86164
03100,526,56,325,145,555,69,339,147,216,19,134,63,225,23,153,49,1081
03101,3802,555,2506,741,3800,536,2422,842,1074,121,668,285,1005,119,661,225,7602
03102,5683,842,3598,1243,5450,687,3400,1363,1320,135,769,416,1013,99,653,261,11133
03103,169,11,109,49,154,13,85,56,11,1,8,2,6,0,5,1,323
03104,17231,3222,12144,1865,17292,3007,11875,2410,688,110,562,16,728,96,614,18,34523
03105,3896,705,2614,577,3793,625,2441,727,598,99,435,64,523,78,404,41,7689
03106,429,48,282,99,415,39,256,120,57,9,35,13,52,1,40,11,844
03107,2168,313,1539,316,2077,300,1441,336,816,85,591,140,754,64,583,107,4245
03109,2132,481,1422,229,2003,434,1269,300,399,121,272,6,337,114,216,7,4135
03110,342,38,205,99,355,41,207,107,176,9,95,72,172,10,105,57,697
03111,3778,683,2672,423,3557,637,2370,550,583,103,473,7,449,96,341,12,7335
03112,643,63,451,129,619,85,398,136,262,23,205,34,242,39,181,22,1262
03113,10482,1072,6229,3181,10028,975,6324,2729,7942,628,4578,2736,7462,546,4813,2103,20510
03114,1346,206,868,272,1230,149,807,274,325,52,206,67,312,35,224,53,2576
03115,223,15,140,68,221,17,129,75,80,5,47,28,75,5,50,20,444
03116,824,118,562,144,772,108,523,141,137,21,90,26,125,15,95,15,1596
03117,348,46,216,86,386,43,235,108,120,8,70,42,128,16,84,28,734
03118,6108,579,3410,2119,5922,536,3611,1775,4713,368,2510,1835,4620,358,2805,1457,12030
03119,10703,1936,7486,1281,11236,1957,7533,1746,1446,255,1096,95,1510,259,1148,103,21939
03120,4131,533,2490,1108,4004,490,2507,1007,2677,265,1518,894,2608,266,1625,717,8135
03121,16115,2380,11154,2581,15645,2371,10544,2730,4038,355,2673,1010,3815,357,2680,778,31760
03122,26404,4913,18854,2637,26722,4729,18705,3288,1943,307,1563,73,2020,301,1625,94,53126
03123,5100,877,3539,684,4954,834,3340,780,499,88,352,59,480,68,361,51,10054
03124,346,34,222,90,306,27,170,109,59,7,40,12,49,2,39,8,652
03125,330,39,227,64,306,39,189,78,138,16,97,25,116,9,82,25,636
03127,407,51,259,97,385,43,215,127,183,19,137,27,148,10,113,25,792
03128,7437,899,4349,2189,7183,812,4356,2015,4992,421,2739,1832,4711,394,2765,1552,14620
03129,900,111,607,182,819,105,545,169,169,15,97,57,152,6,100,46,1719
03130,34,5,17,12,34,3,13,18,4,0,4,0,5,0,4,1,68
03131,193,17,110,66,184,15,114,55,87,4,40,43,83,4,52,27,377
03132,386,43,254,89,356,27,212,117,77,14,49,14,62,6,46,10,742
03133,51781,7218,33461,11102,50011,6697,31990,11324,28401,3136,18811,6454,25926,2857,17146,5923,101792
03134,94,2,56,36,98,7,49,42,9,0,2,7,9,0,4,5,192
03135,136,4,92,40,146,6,89,51,14,0,10,4,18,0,17,1,282
03136,350,27,227,96,314,14,175,125,59,7,40,12,61,6,40,15,664
03137,460,43,280,137,527,50,292,185,93,13,62,18,94,15,66,13,987
03138,2524,390,1757,377,2341,327,1543,471,645,64,499,82,463,57,334,72,4865
03139,16940,2776,11942,2222,16857,2610,11445,2802,3859,459,2933,467,3569,504,2656,409,33797
03140,17559,3034,12174,2351,17663,2808,11620,3235,1610,301,1270,39,1444,275,1128,41,35222
03901,1586,143,895,548,1702,185,1002,515,993,58,463,472,1037,65,575,397,3288
03902,11450,1845,7438,2167,10600,1710,6840,2050,5511,644,3436,1431,4833,570,3099,1164,
03903,2495,440,1674,381,2454,418,1655,381,980,144,664,172,971,144,700,127,
03904,937,156,676,105,869,140,618,111,78,18,54,6,85,16,64,5,
