codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,350,35,222,93,336,27,210,99,146,12,93,41,140,9,100,31,686
03002,2433,375,1692,366,2380,394,1531,455,293,48,237,8,234,49,176,9,4813
03003,328,43,224,61,299,45,174,80,30,5,23,2,33,7,24,2,627
03004,531,80,358,93,516,78,344,94,164,24,109,31,170,23,110,37,1047
03005,6050,1201,4125,724,5606,1074,3717,815,1388,187,1093,108,985,159,750,76,11656
03006,772,99,436,237,728,60,465,203,461,40,257,164,451,19,313,119,1500
03007,112,17,72,23,122,19,76,27,22,3,14,5,21,2,15,4,234
03008,108,6,69,33,103,4,59,40,5,0,5,0,3,0,1,2,211
03009,29916,4837,20516,4563,31782,4803,20150,6829,1890,287,1574,29,1685,342,1321,22,61698
03010,211,32,135,44,211,37,129,45,14,0,14,0,9,0,9,0,422
03011,10513,1679,6640,2194,10426,1594,6755,2077,5888,726,3439,1723,5959,674,3680,1605,20939
03012,2062,247,1364,451,2063,255,1442,366,1424,129,945,350,1411,144,1025,242,4125
03013,768,114,484,170,793,121,489,183,81,13,64,4,54,13,38,3,1561
03014,161602,27062,113223,21317,170148,25271,113896,30981,25005,3477,20661,867,22910,3269,18583,1058,331750
03015,9469,1770,6580,1119,9067,1707,5991,1369,1981,351,1495,135,1612,321,1200,91,18536
03016,70,6,40,24,59,2,43,14,10,0,7,3,11,1,9,1,129
03017,224,31,148,45,246,50,143,53,27,6,19,2,17,2,14,1,470
03018,11823,1825,8048,1950,11709,1714,7833,2162,4496,459,3097,940,4210,475,2931,804,23532
03019,10039,1804,6944,1291,9854,1725,6520,1609,917,139,716,62,808,149,624,35,19893
03020,75,10,46,19,82,10,48,24,12,3,8,1,13,3,10,0,157
03021,3609,623,2454,532,3585,597,2280,708,173,28,143,2,116,17,99,0,7194
03022,97,5,59,33,101,5,61,35,5,2,3,0,6,0,5,1,198
03023,928,136,615,177,909,120,565,224,80,17,61,2,68,6,60,2,1837
03024,2771,477,1877,417,2701,439,1733,529,329,50,259,20,250,43,188,19,5472
03025,901,139,610,152,845,128,577,140,206,20,118,68,197,17,140,40,1746
03026,947,162,633,152,942,150,612,180,235,38,146,51,229,37,154,38,1889
03027,138,12,97,29,120,12,79,29,55,9,44,2,32,6,26,0,258
03028,664,82,417,165,659,74,362,223,50,4,45,1,36,4,29,3,1323
03029,292,22,176,94,279,18,165,96,137,6,85,46,123,6,87,30,571
