codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros varones,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03072,237,30,148,59,220,24,137,59,29,0,17,12,19,1,10,8,457
03071,2974,460,1960,554,2911,446,1802,663,560,74,349,137,547,90,341,116,5885
03073,151,8,105,38,124,10,71,43,6,1,3,2,2,0,1,1,275
03074,1257,213,849,195,1168,199,756,213,175,42,132,1,171,41,127,3,2425
03076,7704,1166,4710,1828,7885,1141,4749,1995,2572,299,1464,809,2669,296,1600,773,15589
03078,604,58,316,230,556,49,310,197,287,12,116,159,295,13,148,134,1160
03079,11669,1932,7937,1800,11652,1774,7637,2241,677,102,557,18,618,99,501,18,23321
03080,973,171,611,191,957,142,586,229,163,25,89,49,182,22,101,59,1930
03082,13704,1998,8457,3249,13977,1939,8525,3513,6077,640,3298,2139,6165,581,3515,2069,27681
03083,3508,565,2325,618,3697,467,2298,932,257,47,170,40,233,30,172,31,7205
03085,541,45,281,215,558,40,315,203,378,16,176,186,399,17,216,166,1099
03084,323,33,197,93,327,25,186,116,16,1,8,7,21,1,13,7,650
03086,115,8,76,31,109,8,76,25,31,0,22,9,26,2,21,3,224
03088,3967,637,2823,507,3636,644,2415,577,540,44,443,53,345,40,264,41,7603
03089,6170,973,4109,1088,6211,878,3915,1418,437,53,327,57,413,48,321,44,12381
03903,2497,392,1573,532,2424,359,1527,538,928,96,517,315,925,110,543,272,4921
03091,241,23,118,100,275,21,140,114,111,5,52,54,117,7,58,52,516
03092,4541,816,3078,647,4626,810,2965,851,448,91,321,36,400,92,275,33,9167
03090,12072,2381,8260,1431,12184,2213,8235,1736,1287,192,848,247,1320,175,909,236,24256
03093,12968,2241,8822,1905,13178,2149,8549,2480,1142,189,932,21,938,170,736,32,26146
03094,10154,1700,6551,1903,9885,1534,6401,1950,4158,411,2387,1360,4259,399,2481,1379,20039
03095,3319,595,2242,482,3298,539,2156,603,489,89,361,39,496,78,374,44,6617
03096,3769,627,2576,566,3779,576,2454,749,265,29,211,25,245,22,207,16,7548
03097,1097,140,560,397,1113,97,583,433,509,27,207,275,508,19,226,263,2210
03099,41273,6291,25620,9362,41402,6051,25319,10032,15376,1594,8635,5147,14899,1566,8666,4667,82675
03098,436,49,298,89,414,41,265,108,148,9,86,53,130,6,81,43,850
03100,497,44,281,172,500,51,269,180,209,7,100,102,198,7,104,87,997
03101,3636,566,2318,752,3701,546,2246,909,801,89,437,275,786,87,459,240,7337
03102,5195,776,3233,1186,5136,674,3063,1399,846,82,432,332,786,72,441,273,10331
03103,193,12,127,54,160,18,96,46,26,0,25,1,10,0,9,1,353
03104,17243,3172,11909,2162,17343,2979,11628,2736,445,49,379,17,446,45,385,16,34586
03902,11148,1829,7001,2318,10481,1757,6353,2371,4678,587,2639,1452,4083,497,2268,1318,21629
03105,3881,653,2588,640,3814,620,2432,762,548,76,355,117,543,70,374,99,7695
03106,396,38,251,107,357,31,203,123,43,3,27,13,42,2,28,12,753
03901,1602,131,803,668,1701,143,880,678,960,36,363,561,1016,47,418,551,3303
03107,2252,384,1538,330,2117,348,1425,344,712,101,460,151,620,65,446,109,4369
03060,60,5,37,18,51,1,28,22,1,0,1,0,2,0,1,1,111
03109,2094,447,1403,244,2073,422,1327,324,309,97,200,12,321,110,201,10,4167
03110,318,33,165,120,317,35,157,125,140,7,48,85,144,6,54,84,635
03111,4006,770,2774,462,3700,687,2430,583,555,139,410,6,411,101,301,9,7706
03112,631,56,401,174,648,92,374,182,259,17,163,79,285,41,182,62,1279
03113,9188,989,4512,3687,8939,856,4624,3459,6553,526,2806,3221,6402,468,3078,2856,18127
03114,1253,183,780,290,1178,153,709,316,258,14,144,100,267,18,156,93,2431
03115,211,15,113,83,199,10,100,89,69,3,24,42,64,2,26,36,410
03116,812,111,546,155,785,113,506,166,110,11,66,33,90,6,54,30,1597
03118,4527,408,2177,1942,4494,396,2237,1861,3033,194,1214,1625,3098,190,1395,1513,9021
03904,961,146,692,123,913,144,630,139,87,7,65,15,94,10,69,15,1874
