codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros varones,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,317,36,203,78,310,24,199,87,113,12,68,33,116,5,90,21,627
03002,2391,385,1650,356,2332,393,1488,451,275,42,225,8,207,42,158,7,4723
03003,329,46,217,66,285,33,174,78,17,3,13,1,17,5,12,0,614
03004,421,63,283,75,406,61,274,71,117,18,82,17,126,19,86,21,827
03005,5625,1130,3805,690,5253,1055,3424,774,1055,130,847,78,714,124,541,49,10878
03006,738,89,422,227,680,60,433,187,414,28,244,142,397,19,281,97,1418
03007,92,11,61,20,102,16,64,22,13,2,7,4,12,1,8,3,194
03008,103,8,63,32,110,4,64,42,1,0,1,0,2,0,0,2,213
03009,29382,4731,20123,4528,31208,4637,19849,6722,1351,238,1092,21,1185,255,914,16,60590
03010,206,31,134,41,216,39,131,46,8,2,6,0,4,1,3,0,422
03011,9282,1553,5903,1826,9187,1395,6046,1746,4822,633,2776,1413,4978,542,3123,1313,18469
03012,1463,189,973,301,1451,191,1008,252,845,80,559,206,829,78,614,137,2914
03013,745,110,464,171,783,125,477,181,69,14,51,4,54,10,40,4,1528
03014,156772,26042,109752,20978,165659,24607,110365,30687,19580,2653,16145,782,17836,2557,14249,1030,322431
03015,9052,1669,6338,1045,8442,1543,5601,1298,1691,262,1346,83,1175,217,896,62,17494
03016,66,7,39,20,53,4,34,15,7,0,5,2,10,1,8,1,119
03017,225,28,155,42,228,45,129,54,39,3,34,2,14,3,11,0,453
03018,10942,1703,7486,1753,10956,1608,7377,1971,3646,336,2544,766,3466,361,2465,640,21898
03019,9539,1723,6539,1277,9282,1587,6121,1574,745,112,586,47,619,123,473,23,18821
03020,77,11,48,18,83,6,51,26,12,3,8,1,11,2,9,0,160
03021,3625,617,2504,504,3612,595,2308,709,177,27,149,1,103,13,90,0,7237
03022,100,5,63,32,110,5,70,35,2,0,2,0,5,0,4,1,210
