codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03072,190,23,132,35,186,23,106,57,3,0,3,0,4,0,3,1,376
03073,131,18,80,33,117,4,69,44,3,0,3,0,1,0,1,0,248
03074,1182,179,825,178,1089,171,716,202,141,25,114,2,81,14,66,1,2271
03075,106,11,72,23,109,17,71,21,20,4,15,1,22,3,18,1,215
03076,7636,1156,4994,1486,7496,1077,4914,1505,2852,354,1853,645,2608,304,1831,473,15132
03077,1268,145,831,292,1233,157,799,277,477,51,313,113,427,46,325,56,2501
03078,633,56,410,167,598,57,404,137,324,27,198,99,326,27,237,62,1231
03079,11825,1986,8362,1477,11784,1826,8048,1910,1005,185,809,11,841,170,662,9,23609
03080,974,189,625,160,983,185,615,183,193,33,137,23,195,33,137,25,1957
03081,1515,230,986,299,1487,208,978,301,664,95,431,138,643,87,460,96,3002
03082,15096,2158,9695,3243,14827,2101,9436,3290,8070,915,4810,2345,7809,887,4815,2107,29923
03083,3650,571,2444,635,3903,535,2458,910,274,45,203,26,296,67,206,23,7553
03084,375,40,250,85,376,60,202,114,30,2,25,3,26,3,20,3,751
03085,503,49,327,127,498,48,337,113,334,25,215,94,323,23,225,75,1001
03086,92,10,59,23,95,2,68,25,19,0,16,3,16,0,14,2,187
03088,3411,541,2405,465,3086,490,2096,500,499,34,435,30,325,33,281,11,6497
03089,6413,1037,4360,1016,6510,939,4218,1353,605,111,454,40,576,120,429,27,12923
03090,10254,1978,7220,1056,10110,1815,7018,1277,1095,170,753,172,1057,167,744,146,20364
03091,273,19,160,94,301,27,176,98,144,7,92,45,140,9,101,30,574
03092,4280,741,2962,577,4331,728,2829,774,267,38,210,19,220,35,169,16,8611
03093,13223,2396,9142,1685,13302,2308,8760,2234,1199,206,975,18,896,159,715,22,26525
03094,7888,1235,5323,1330,7631,1148,5214,1269,3336,339,2030,967,3389,339,2205,845,15519
03095,3124,483,2225,416,3093,496,2086,511,509,73,401,35,432,75,324,33,6217
03096,3828,615,2705,508,3794,555,2564,675,301,38,253,10,229,41,180,8,7622
03097,1237,153,710,374,1266,116,773,377,664,60,339,265,654,52,385,217,2503
03098,381,31,275,75,377,30,268,79,124,8,85,31,109,9,83,17,758
03099,40664,6401,26759,7504,39804,6161,26008,7635,15532,1679,10128,3725,14226,1690,9741,2795,80468
03100,526,57,344,125,535,63,344,128,208,14,142,52,202,17,145,40,1061
03101,3554,512,2374,668,3543,481,2291,771,886,88,579,219,808,83,551,174,7097
03102,5612,819,3602,1191,5266,669,3325,1272,1184,116,712,356,854,80,564,210,10878
03103,167,10,110,47,163,14,85,64,7,1,6,0,5,0,5,0,330
03104,16761,3139,11832,1790,16725,2960,11439,2326,595,98,483,14,603,89,501,13,33486
03105,3769,706,2512,551,3673,620,2337,716,470,96,337,37,401,68,304,29,7442
03106,411,42,270,99,392,35,243,114,47,3,35,9,43,1,36,6,803
03107,2000,276,1442,282,1869,259,1302,308,720,72,534,114,624,56,481,87,3869
03109,2006,468,1330,208,1895,380,1233,282,323,101,219,3,236,74,159,3,3901
03110,310,33,198,79,325,39,197,89,148,7,92,49,148,10,100,38,635
03111,3565,707,2467,391,3417,648,2255,514,448,89,356,3,325,66,254,5,6982
03112,554,49,386,119,536,63,342,131,196,19,161,16,174,30,132,12,1090
03113,8991,920,5585,2486,8552,843,5602,2107,6523,502,3988,2033,6064,438,4126,1500,17543
03114,1270,192,840,238,1197,151,773,273,272,39,188,45,275,37,203,35,2467
03115,230,16,153,61,227,19,143,65,82,6,56,20,72,7,57,8,457
03116,783,121,524,138,739,115,485,139,115,20,78,17,100,8,81,11,1522
03117,345,52,210,83,382,50,235,97,111,11,62,38,119,17,80,22,727
03118,5369,526,3148,1695,5214,504,3330,1380,4059,318,2302,1439,3972,324,2567,1081,10583
03119,10230,1836,7183,1211,10767,1850,7290,1627,1253,229,939,85,1256,213,954,89,20997
03120,3883,515,2432,936,3742,470,2472,800,2444,244,1481,719,2350,242,1587,521,7625
03121,14701,2192,10218,2291,14520,2181,9926,2413,3419,305,2344,770,3288,280,2439,569,29221
03122,24617,4575,17601,2441,24724,4437,17289,2998,1576,263,1254,59,1520,260,1195,65,49341
03123,4916,865,3390,661,4800,791,3243,766,394,83,270,41,393,64,291,38,9716
03124,331,33,215,83,308,30,174,104,45,3,33,9,42,1,36,5,639
03125,355,43,242,70,303,38,190,75,151,15,114,22,113,10,83,20,658
03127,389,48,238,103,369,42,203,124,156,22,112,22,122,7,96,19,758
03128,6764,799,4084,1881,6517,724,4070,1723,4334,338,2465,1531,4066,321,2471,1274,13281
03129,850,108,582,160,775,107,518,150,147,9,94,44,133,10,92,31,1625
03130,34,2,18,14,31,1,13,17,4,0,4,0,6,0,4,2,65
03131,169,12,101,56,170,15,108,47,72,2,33,37,70,4,44,22,339
03132,379,43,240,96,366,30,219,117,62,7,43,12,58,7,45,6,745
03133,48362,6771,31881,9710,45644,6187,29772,9685,25408,2711,17321,5376,22371,2396,15285,4690,94006
03134,91,2,52,37,100,7,52,41,9,1,2,6,9,1,4,4,191
03135,142,6,93,43,155,8,92,55,13,0,10,3,15,0,14,1,297
03136,354,41,219,94,318,19,178,121,50,10,33,7,57,5,42,10,672
03137,438,39,273,126,499,54,276,169,67,7,49,11,71,9,50,12,937
03138,2415,374,1697,344,2273,322,1515,436,569,51,461,57,423,60,316,47,4688
03139,15288,2379,10841,2068,15262,2194,10436,2632,2931,330,2200,401,2632,338,1970,324,30550
03140,17233,3060,11931,2242,17290,2753,11418,3119,1364,275,1065,24,1226,243,946,37,34523
03901,1484,125,870,489,1594,163,966,465,921,49,455,417,965,57,566,342,3078
03902,10670,1719,7139,1812,9668,1623,6356,1689,4951,572,3274,1105,4160,493,2800,867,
03903,2168,388,1476,304,2116,377,1422,317,695,99,495,101,679,108,497,74,
03904,806,146,560,100,755,136,517,102,58,13,39,6,49,9,38,2,
