codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros varones,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03002,2343,365,1547,431,2360,368,1496,496,170,29,123,18,186,32,134,20,4703
03003,292,26,204,62,257,32,145,80,22,2,18,2,20,1,15,4,549
03004,478,69,304,105,435,55,280,100,99,7,53,39,105,4,68,33,913
03005,6062,1137,4142,783,5788,1129,3735,924,1173,219,856,98,907,221,603,83,11850
03006,631,50,305,276,645,56,318,271,327,13,109,205,356,16,154,186,1276
03007,118,12,76,30,112,9,67,36,20,0,11,9,16,2,7,7,230
03008,95,8,53,34,90,6,47,37,4,0,2,2,3,0,1,2,185
03009,28836,4644,19165,5027,30270,4419,18784,7067,1602,262,1309,31,1448,222,1195,31,59106
03010,196,23,130,43,209,23,127,59,11,1,8,2,4,0,3,1,405
03011,9084,1377,5731,1976,9310,1312,5884,2114,4103,452,2370,1281,4437,435,2637,1365,18394
03012,1380,185,723,472,1381,186,748,447,666,43,255,368,699,51,325,323,2761
03013,683,102,419,162,689,89,402,198,36,3,26,7,28,3,16,9,1372
03014,160062,27396,107389,25277,169926,25539,109024,35363,20773,3249,16458,1066,19350,3074,14997,1279,329988
03015,10306,2023,6912,1371,10026,1964,6378,1684,2257,522,1485,250,2097,500,1384,213,20332
03016,57,5,34,18,56,5,25,26,4,0,0,4,7,0,3,4,113
03017,231,36,168,27,265,46,172,47,20,4,15,1,16,2,14,0,496
03018,10702,1654,7041,2007,11111,1569,7252,2290,3415,433,2206,776,3469,419,2307,743,21813
03019,10271,1924,6834,1513,10154,1775,6531,1848,604,99,423,82,616,87,455,74,20425
03001,349,23,183,143,315,19,169,127,146,4,57,85,132,3,62,67,664
03020,65,4,43,18,63,4,37,22,12,0,8,4,11,1,8,2,128
03021,3551,585,2328,638,3551,557,2200,794,163,37,124,2,140,39,96,5,7102
03022,75,4,41,30,82,6,47,29,2,0,2,0,5,0,3,2,157
03023,860,122,557,181,850,108,504,238,56,13,39,4,42,6,34,2,1710
03024,2689,455,1767,467,2683,422,1683,578,349,69,243,37,325,61,222,42,5372
03025,1011,182,647,182,912,172,556,184,141,9,66,66,148,12,81,55,1923
03026,978,169,624,185,941,127,586,228,198,22,103,73,196,10,117,69,1919
03027,91,7,53,31,92,9,57,26,17,1,14,2,7,0,7,0,183
03028,576,51,370,155,561,47,317,197,27,1,24,2,28,4,22,2,1137
03030,544,59,320,165,536,58,284,194,216,13,97,106,220,15,100,105,1080
03031,33195,4827,22360,6008,33636,4444,22272,6920,9050,1316,6547,1187,8586,1237,6218,1131,66831
03032,62,3,44,15,49,3,32,14,0,0,0,0,1,0,1,0,111
03033,72,9,43,20,76,10,43,23,8,0,4,4,8,0,4,4,148
03029,219,18,117,84,214,21,104,89,83,6,38,39,84,8,39,37,433
03034,1614,198,911,505,1676,210,974,492,783,47,364,372,773,43,412,318,3290
03035,390,35,229,126,365,28,210,127,16,1,6,9,19,1,15,3,755
03036,45,3,34,8,57,8,40,9,0,0,0,0,2,0,2,0,102
03037,240,29,154,57,255,30,164,61,42,2,27,13,42,3,24,15,495
03038,211,19,137,55,207,16,108,83,12,0,6,6,16,0,8,8,418
03039,57,4,37,16,42,0,24,18,8,1,5,2,6,0,2,4,99
03040,188,19,114,55,203,26,109,68,40,1,13,26,48,1,21,26,391
03041,5340,731,3324,1285,5539,766,3337,1436,1758,140,975,643,1810,156,1039,615,10879
03042,2002,223,1086,693,2018,240,1066,712,1167,112,526,529,1169,106,558,505,4020
03043,1791,279,1160,352,1859,317,1147,395,56,7,41,8,55,7,42,6,3650
03044,3353,620,2277,456,3303,602,2147,554,529,84,378,67,467,90,332,45,6656
03045,215,12,132,71,199,21,118,60,92,3,56,33,79,5,53,21,414
03046,1483,219,901,363,1421,205,877,339,446,28,191,227,443,23,223,197,2904
03049,9430,1923,6251,1256,9195,1792,5753,1650,1937,558,1344,35,1670,528,1108,34,18625
03048,3682,612,2480,590,3541,553,2247,741,715,87,581,47,545,95,410,40,7223
03047,10491,1638,6645,2208,10313,1430,6539,2344,4569,526,2702,1341,4585,479,2798,1308,20804
03050,13456,2248,8727,2481,14148,2083,9060,3005,2123,270,1312,541,2363,267,1518,578,27604
03051,228,35,155,38,208,22,137,49,12,4,7,1,13,1,11,1,436
03052,618,125,379,114,624,95,390,139,28,7,20,1,22,5,14,3,1242
03053,4988,794,3359,835,4888,745,3128,1015,508,55,307,146,499,65,294,140,9876
03054,218,24,116,78,218,16,107,95,37,3,19,15,29,4,13,12,436
03075,103,6,71,26,102,5,73,24,22,0,17,5,21,1,15,5,205
03055,4353,850,2756,747,4267,738,2669,860,1035,168,575,292,1016,142,600,274,8620
03056,5799,897,3899,1003,5662,792,3630,1240,659,143,479,37,519,127,358,34,11461
03057,127,10,79,38,94,5,46,43,20,4,12,4,19,0,12,7,221
03058,3698,702,2490,506,3494,609,2290,595,583,142,425,16,531,140,375,16,7192
03059,14572,2683,9707,2182,14264,2639,9108,2517,1661,392,1089,180,1516,401,972,143,28836
03061,843,122,531,190,841,135,482,224,200,32,84,84,214,37,102,75,1684
03062,369,24,204,141,344,27,183,134,243,10,118,115,223,10,112,101,713
03063,20185,3340,13556,3289,21383,3100,14144,4139,4198,532,2842,824,4583,460,3186,937,41568
03064,3649,660,2413,576,3653,673,2244,736,553,122,344,87,566,137,351,78,7302
03065,113345,20187,77057,16101,115330,19242,75285,20803,11333,2042,8849,442,10261,1854,7939,468,228675
03066,25697,4071,17174,4452,26923,3783,17053,6087,1129,163,925,41,1081,155,886,40,52620
03067,52,2,34,16,49,2,29,18,2,0,2,0,1,0,1,0,101
03068,30,1,16,13,27,0,12,15,2,0,2,0,8,0,3,5,57
03069,3191,472,2221,498,3101,526,2088,487,1153,143,773,237,1205,171,816,218,6292
03077,1224,122,702,400,1212,117,714,381,442,15,197,230,415,9,223,183,2436
03070,2058,356,1330,372,2006,298,1291,417,776,123,454,199,713,97,440,176,4064
03072,235,36,147,52,213,24,133,56,21,2,14,5,18,1,10,7,448
03071,2926,448,1935,543,2878,429,1805,644,510,68,328,114,514,88,329,97,5804
03073,152,7,105,40,121,11,74,36,8,1,5,2,6,0,5,1,273
03074,1287,224,871,192,1182,207,766,209,200,47,151,2,183,48,132,3,2469
03076,7202,1140,4509,1553,7514,1111,4581,1822,2051,280,1224,547,2221,283,1353,585,14716
03078,567,48,290,229,535,48,290,197,261,5,102,154,273,9,128,136,1102
03079,11747,1913,7925,1909,11676,1752,7591,2333,661,95,551,15,564,80,465,19,23423
03080,997,173,637,187,956,145,586,225,175,28,100,47,182,24,99,59,1953
03082,13441,2003,8359,3079,13619,1978,8229,3412,5643,626,3074,1943,5710,614,3158,1938,27060
03083,3349,506,2243,600,3546,442,2170,934,194,28,141,25,185,22,140,23,6895
03085,468,41,239,188,483,37,270,176,303,13,130,160,327,15,170,142,951
03084,299,24,184,91,307,22,171,114,12,0,5,7,19,0,12,7,606
03086,125,9,78,38,105,4,68,33,33,0,20,13,26,0,18,8,230
03088,3967,675,2793,499,3625,654,2423,548,421,45,346,30,264,39,203,22,7592
03089,6073,961,3994,1118,6104,874,3808,1422,363,50,261,52,353,39,276,38,12177
03903,2457,392,1517,548,2405,349,1504,552,865,100,434,331,867,89,492,286,4862
03091,226,21,108,97,251,21,124,106,88,1,36,51,98,6,47,45,477
03092,4620,837,3093,690,4699,853,2964,882,512,108,364,40,473,116,316,41,9319
03090,12352,2410,8389,1553,12426,2205,8362,1859,1273,174,844,255,1347,155,934,258,24778
03093,12825,2106,8749,1970,13043,2042,8462,2539,1023,168,830,25,809,147,631,31,25868
03094,9366,1666,6018,1682,9182,1457,5941,1784,3221,340,1801,1080,3406,308,1948,1150,18548
03095,3377,602,2270,505,3362,554,2191,617,498,81,377,40,512,76,387,49,6739
03096,3739,623,2533,583,3754,550,2427,777,248,23,207,18,231,19,190,22,7493
03097,994,127,521,346,1041,111,536,394,404,23,156,225,415,17,180,218,2035
03099,37829,5881,23740,8208,38268,5738,23454,9076,11939,1322,6751,3866,11758,1377,6780,3601,76097
03098,385,51,254,80,375,36,244,95,91,8,50,33,91,4,54,33,760
03100,471,34,257,180,494,47,260,187,194,9,78,107,193,9,92,92,965
03101,3698,581,2333,784,3737,535,2313,889,794,87,424,283,804,83,476,245,7435
03102,4960,731,3123,1106,4963,650,2953,1360,671,67,361,243,655,66,363,226,9923
03103,163,13,104,46,145,16,81,48,10,0,9,1,4,0,3,1,308
03104,17162,3124,11751,2287,17371,2923,11590,2858,389,49,322,18,451,55,373,23,34533
03902,10894,1808,6918,2168,10308,1767,6248,2293,4318,563,2490,1265,3707,503,2036,1168,21202
03105,3896,657,2568,671,3822,603,2453,766,535,82,330,123,532,63,368,101,7718
03106,389,33,238,118,344,26,192,126,46,4,25,17,42,1,29,12,733
03901,1392,125,715,552,1534,134,813,587,749,31,286,432,841,37,347,457,2926
03107,2437,413,1657,367,2288,402,1492,394,757,92,488,177,682,89,445,148,4725
03060,62,5,36,21,47,1,23,23,2,0,2,0,1,0,0,1,109
03109,2165,468,1442,255,2157,435,1389,333,305,88,199,18,328,101,212,15,4322
03110,322,34,176,112,309,35,155,119,141,4,55,82,132,3,48,81,631
03111,4028,785,2765,478,3783,721,2458,604,511,131,372,8,400,104,286,10,7811
03112,575,45,362,168,543,69,299,175,214,8,133,73,193,19,116,58,1118
03113,8201,840,4000,3361,8030,723,4059,3248,5533,377,2275,2881,5474,335,2497,2642,16231
03114,1232,170,764,298,1145,144,670,331,247,14,129,104,250,16,140,94,2377
03115,198,15,105,78,195,12,97,86,59,1,22,36,55,2,21,32,393
03116,795,114,532,149,767,110,490,167,103,15,58,30,87,7,54,26,1562
03118,3866,403,1900,1563,3780,363,1940,1477,2379,191,951,1237,2373,158,1087,1128,7646
03904,983,165,693,125,937,144,653,140,100,10,73,17,114,15,85,14,1920
03120,2909,403,1666,840,2888,377,1670,841,1401,145,655,601,1463,152,776,535,5797
03122,28303,5508,19309,3486,28872,5110,19443,4319,1552,227,1239,86,1663,222,1328,113,57175
03117,325,38,178,109,309,29,171,109,101,3,38,60,103,4,53,46,634
03119,11171,2052,7458,1661,11978,1974,7757,2247,1001,156,746,99,1157,162,861,134,23149
03121,15602,2697,10453,2452,15535,2531,10088,2916,2327,301,1492,534,2321,295,1529,497,31137
03123,4909,801,3341,767,4828,807,3118,903,255,21,172,62,255,16,189,50,9737
03124,306,26,201,79,273,28,140,105,37,5,17,15,31,2,14,15,579
03125,293,30,190,73,285,49,157,79,85,8,51,26,82,7,49,26,578
03127,329,28,191,110,311,34,163,114,125,9,73,43,112,3,72,37,640
03128,5041,707,2959,1375,5056,637,2971,1448,2482,228,1278,976,2466,201,1346,919,10097
03129,842,103,541,198,761,94,477,190,101,4,40,57,103,2,54,47,1603
03130,27,0,14,13,23,0,4,19,3,0,1,2,3,0,1,2,50
03131,163,15,80,68,170,21,91,58,61,1,18,42,67,5,28,34,333
03132,357,27,235,95,325,21,201,103,53,3,30,20,46,0,33,13,682
03133,41527,6428,26665,8434,41725,5970,26024,9731,16469,2189,11184,3096,16149,2062,10819,3268,83252
03134,92,8,52,32,76,8,43,25,7,0,0,7,5,0,2,3,168
03136,323,25,203,95,271,28,149,94,62,8,40,14,47,1,36,10,594
03137,408,49,225,134,417,28,229,160,47,7,25,15,54,9,32,13,825
03135,124,5,85,34,108,6,57,45,12,0,8,4,7,0,6,1,232
03138,2212,327,1460,425,2209,310,1379,520,350,33,243,74,356,50,242,64,4421
03139,16777,2754,11522,2501,16830,2583,11086,3161,3073,463,2236,374,3008,438,2200,370,33607
03140,16972,2976,11474,2522,16996,2747,10921,3328,1046,205,797,44,924,197,681,46,33968
03141,1306,174,778,354,1330,164,783,383,428,37,228,163,468,38,276,154,2636
