codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros varones,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,316,28,222,66,271,20,167,84,100,4,75,21,67,0,55,12,587
03002,2250,380,1538,332,2201,367,1399,435,197,36,155,6,134,26,104,4,4451
03003,338,44,220,74,284,31,175,78,16,5,11,0,12,5,7,0,622
03004,323,45,218,60,314,45,209,60,61,11,39,11,59,7,43,9,637
03005,4927,1065,3269,593,4709,951,3056,702,488,63,395,30,327,55,256,16,9636
03006,612,67,350,195,538,44,316,178,285,15,149,121,256,2,171,83,1150
03007,73,8,49,16,91,14,54,23,4,0,3,1,5,0,4,1,164
03008,124,7,76,41,120,9,67,44,3,0,3,0,4,0,2,2,244
03009,29047,4653,19958,4436,30989,4522,19835,6632,1044,155,875,14,861,149,700,12,60036
03010,202,31,134,37,209,30,133,46,9,2,7,0,3,1,2,0,411
03011,7947,1126,4888,1933,8217,1142,5109,1966,4112,380,2146,1586,4540,389,2575,1576,16164
03012,908,121,626,161,874,110,612,152,309,23,214,72,277,22,217,38,1782
03013,709,98,455,156,740,108,446,186,34,5,27,2,25,2,22,1,1449
03014,147984,24823,103297,19864,157927,23295,105445,29187,12432,1694,10123,615,11952,1634,9478,840,305911
03015,7643,1506,5229,908,7261,1353,4729,1179,734,126,590,18,463,115,335,13,14904
03016,60,4,35,21,48,4,29,15,2,0,0,2,1,0,1,0,108
03017,204,30,122,52,198,32,112,54,20,3,16,1,7,3,4,0,402
03018,9408,1544,6410,1454,9568,1448,6432,1688,2451,236,1635,580,2438,235,1693,510,18976
03019,8749,1641,5892,1216,8674,1535,5596,1543,319,43,258,18,255,36,210,9,17423
03020,80,11,49,20,92,10,54,28,9,1,8,0,9,1,7,1,172
03021,3644,658,2506,480,3677,616,2364,697,153,23,130,0,93,15,77,1,7321
03022,110,6,76,28,123,7,81,35,4,0,4,0,5,0,4,1,233
03023,971,148,654,169,960,142,576,242,123,22,100,1,95,17,76,2,1931
03024,2528,462,1682,384,2586,447,1655,484,103,12,89,2,73,10,61,2,5114
03025,616,96,444,76,572,74,396,102,80,13,55,12,74,8,56,10,1188
03026,678,96,471,111,680,85,444,151,117,14,91,12,96,13,71,12,1358
03027,110,6,72,32,105,8,55,42,21,1,19,1,12,2,9,1,215
03028,694,87,445,162,702,94,393,215,35,2,33,0,27,9,18,0,1396
03029,260,21,167,72,249,15,142,92,103,8,73,22,82,6,57,19,509
03030,482,52,302,128,490,61,297,132,191,7,108,76,192,15,121,56,972
03031,32061,4986,22688,4387,32206,4634,22367,5205,6905,821,5036,1048,6709,815,4812,1082,64267
03032,65,4,45,16,73,5,36,32,0,0,0,0,0,0,0,0,138
03033,84,10,55,19,84,11,53,20,9,1,8,0,13,4,9,0,168
03034,1401,227,937,237,1429,206,990,233,632,77,428,127,622,66,472,84,2830
03035,453,47,318,88,450,52,269,129,7,1,5,1,5,1,4,0,903
03036,45,1,37,7,47,6,33,8,1,0,1,0,2,1,1,0,92
03037,220,18,149,53,223,27,133,63,59,3,50,6,45,4,37,4,443
03038,216,20,143,53,227,19,128,80,8,2,4,2,9,2,5,2,443
03039,76,11,49,16,64,9,36,19,4,2,1,1,3,0,2,1,140
03040,169,16,111,42,163,17,94,52,19,1,11,7,22,3,14,5,332
03041,6037,740,3863,1434,6061,763,3840,1458,2613,201,1537,875,2566,201,1593,772,12098
03042,1693,199,1092,402,1623,208,1056,359,960,101,613,246,885,103,612,170,3316
