codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,322,29,222,71,283,26,162,95,108,5,77,26,71,0,51,20,605
03002,2157,350,1487,320,2127,365,1336,426,142,22,116,4,89,17,69,3,4284
03003,338,39,223,76,285,29,171,85,2,0,2,0,2,0,2,0,623
03004,315,42,213,60,309,39,206,64,49,9,30,10,48,6,33,9,624
03005,4769,1037,3162,570,4594,957,2948,689,358,31,311,16,209,36,166,7,9363
03006,571,70,316,185,510,45,301,164,235,13,115,107,230,1,157,72,1081
03007,65,6,43,16,89,15,51,23,3,1,2,0,4,0,4,0,154
03008,122,7,76,39,123,8,70,45,1,0,1,0,5,0,4,1,245
03009,29238,4650,20119,4469,31227,4516,20032,6679,673,92,569,12,561,77,472,12,60465
03010,195,27,129,39,211,31,132,48,6,0,6,0,0,0,0,0,406
03011,7748,1094,4713,1941,8100,1104,5008,1988,4084,400,2064,1620,4554,396,2558,1600,15848
03012,811,111,560,140,778,97,544,137,212,8,158,46,195,14,157,24,1589
03013,719,97,460,162,745,111,450,184,27,3,23,1,22,2,19,1,1464
03014,141607,23764,98444,19399,152022,22301,101164,28557,7995,982,6497,516,7912,978,6215,719,293629
03015,7302,1454,4969,879,7032,1312,4556,1164,437,60,366,11,284,69,207,8,14334
03016,61,4,37,20,52,3,34,15,2,0,0,2,2,0,2,0,113
03017,220,32,134,54,212,34,118,60,21,3,17,1,7,3,4,0,432
03018,8736,1430,5988,1318,8872,1353,5965,1554,1899,170,1245,484,1884,179,1275,430,17608
03019,8514,1617,5705,1192,8462,1515,5429,1518,186,20,154,12,129,14,109,6,16976
03020,83,11,51,21,97,15,52,30,9,1,8,0,9,2,6,1,180
03021,3501,621,2401,479,3549,586,2277,686,64,7,57,0,51,11,38,2,7050
03022,91,3,63,25,105,3,72,30,1,0,1,0,1,0,1,0,196
03023,902,134,591,177,914,129,550,235,45,0,43,2,42,4,37,1,1816
03024,2473,447,1645,381,2546,439,1615,492,60,7,53,0,43,7,36,0,5019
03025,586,89,422,75,552,66,388,98,63,6,47,10,67,7,53,7,1138
03026,673,89,478,106,671,74,446,151,114,6,97,11,83,9,65,9,1344
03027,92,4,57,31,101,6,52,43,1,0,1,0,2,0,1,1,193
03028,693,94,439,160,694,87,391,216,20,2,18,0,9,3,6,0,1387
03029,227,16,142,69,225,13,125,87,70,5,49,16,59,4,44,11,452
03030,469,51,292,126,498,58,301,139,175,7,94,74,185,12,110,63,967
03031,30429,4972,21309,4148,30923,4600,21293,5030,5151,631,3655,865,5220,577,3697,946,61352
03032,61,5,39,17,79,6,38,35,1,0,1,0,0,0,0,0,140
03033,82,9,55,18,82,8,54,20,9,1,8,0,12,4,8,0,164
03034,1203,201,818,184,1231,188,839,204,429,47,303,79,417,46,315,56,2434
03035,456,49,320,87,437,43,268,126,6,1,5,0,4,1,3,0,893
03036,47,2,38,7,46,6,32,8,1,0,1,0,1,0,1,0,93
03037,184,15,115,54,194,26,106,62,21,1,17,3,9,1,7,1,378
03038,199,20,126,53,216,22,120,74,6,2,1,3,5,1,2,2,415
03039,75,9,51,15,67,8,40,19,0,0,0,0,2,0,0,2,142
03040,170,18,117,35,166,19,96,51,19,2,14,3,20,5,12,3,336
03041,5512,698,3545,1269,5539,742,3484,1313,2099,164,1220,715,2028,175,1238,615,11051
03042,1510,164,990,356,1422,190,917,315,761,62,492,207,686,84,472,130,2932
03043,1751,288,1160,303,1827,275,1184,368,42,2,38,2,25,4,16,5,3578
03044,2655,529,1829,297,2588,504,1705,379,113,20,91,2,80,14,64,2,5243
03045,176,12,109,55,179,23,102,54,54,4,39,11,63,15,36,12,355
03046,954,152,668,134,921,170,618,133,186,21,117,48,163,15,119,29,1875
03047,10255,1406,6341,2508,9848,1300,6050,2498,5277,386,2885,2006,5021,377,2746,1898,20103
03048,4259,554,3121,584,3707,524,2452,731,1267,68,1141,58,695,73,566,56,7966
03049,8088,1450,5562,1076,7917,1403,5129,1385,478,49,427,2,247,39,206,2,16005
03050,10077,1802,6976,1299,10316,1706,7083,1527,1220,143,734,343,1308,142,846,320,20393
03051,199,24,130,45,214,41,116,57,1,0,1,0,7,1,6,0,413
03052,572,74,382,116,621,102,378,141,27,0,27,0,17,3,14,0,1193
03053,3984,733,2701,550,3956,660,2633,663,136,12,119,5,87,7,77,3,7940
03054,212,17,124,71,220,13,113,94,2,1,0,1,0,0,0,0,432
03055,2703,497,1862,344,2677,498,1740,439,98,14,82,2,66,16,49,1,5380
03056,5187,825,3558,804,5380,786,3427,1167,112,18,90,4,112,23,86,3,10567
03057,164,10,104,50,123,12,60,51,6,1,4,1,6,0,6,0,287
03058,3242,580,2292,370,2998,566,2013,419,271,18,253,0,123,21,101,1,6240
03059,13009,2360,9163,1486,12645,2368,8465,1812,707,112,575,20,408,91,304,13,25654
03060,85,3,53,29,84,1,41,42,9,0,7,2,8,1,5,2,169
03061,655,129,418,108,602,98,368,136,62,14,46,2,22,8,13,1,1257
03062,108,6,74,28,96,7,58,31,18,1,15,2,13,0,12,1,204
03063,17025,2968,11553,2504,17661,2715,11849,3097,3350,395,2105,850,3506,369,2345,792,34686
03064,3274,637,2152,485,3123,549,2006,568,241,41,190,10,136,32,93,11,6397
03065,100236,17675,71224,11337,101495,16667,69912,14916,4030,536,3383,111,3196,478,2600,118,201731
03066,25934,4283,18148,3503,27169,4051,18202,4916,969,186,772,11,891,148,731,12,53103
03067,59,7,30,22,52,3,28,21,1,0,0,1,1,0,0,1,111
03069,1284,178,909,197,1266,184,837,245,328,42,231,55,340,50,232,58,2550
03070,1111,187,749,175,1144,220,709,215,84,10,69,5,60,12,45,3,2255
03071,2556,410,1735,411,2550,385,1606,559,192,26,141,25,158,26,117,15,5106
03072,147,15,94,38,170,11,93,66,0,0,0,0,2,0,0,2,317
03073,131,22,71,38,128,11,68,49,0,0,0,0,2,0,2,0,259
03074,1049,140,742,167,1040,141,711,188,33,3,30,0,17,3,13,1,2089
03075,95,11,63,21,94,15,64,15,11,1,10,0,7,1,6,0,189
03076,5388,882,3655,851,5344,806,3558,980,1002,111,743,148,893,98,680,115,10732
03077,837,107,535,195,876,124,526,226,94,8,68,18,76,4,63,9,1713
03078,324,39,216,69,310,33,201,76,29,2,23,4,31,3,23,5,634
03079,11040,1909,7799,1332,11100,1789,7548,1763,433,68,364,1,328,61,265,2,22140
03080,802,156,513,133,805,143,510,152,35,3,29,3,33,5,22,6,1607
03081,1136,178,714,244,1171,137,753,281,300,43,184,73,331,38,221,72,2307
03082,13213,1709,8348,3156,13155,1716,8212,3227,6605,541,3710,2354,6383,523,3699,2161,26368
03083,3486,554,2302,630,3867,547,2398,922,108,11,83,14,109,13,79,17,7353
03084,374,46,234,94,376,62,200,114,5,0,5,0,5,1,3,1,750
03085,259,21,155,83,263,19,155,89,120,7,63,50,117,2,69,46,522
03086,88,7,63,18,101,4,74,23,5,0,4,1,10,2,7,1,189
03088,2889,559,1918,412,2656,498,1704,454,160,20,135,5,71,6,64,1,5545
03089,5951,1009,3968,974,6126,922,3892,1312,153,14,132,7,127,9,113,5,12077
03090,8108,1564,5699,845,8090,1484,5500,1106,492,57,354,81,459,63,294,102,16198
03091,157,10,87,60,211,14,104,93,43,3,30,10,42,1,26,15,368
03092,3730,649,2562,519,3802,648,2466,688,86,16,63,7,61,9,50,2,7532
03093,12441,2252,8632,1557,12444,2173,8169,2102,597,60,529,8,346,52,281,13,24885
03094,5082,611,3184,1287,5053,554,3182,1317,2588,161,1374,1053,2746,150,1584,1012,10135
03095,2925,459,2110,356,2826,434,1898,494,310,25,253,32,220,27,169,24,5751
03096,3487,611,2405,471,3487,568,2320,599,61,10,50,1,35,2,33,0,6974
03097,840,96,498,246,887,74,546,267,270,2,119,149,291,7,162,122,1727
03099,30806,5106,20895,4805,30212,4805,19858,5549,6491,543,4595,1353,5267,528,3766,973,61018
03100,396,41,247,108,413,51,241,121,93,6,46,41,103,8,59,36,809
03101,3038,411,2036,591,3114,421,1999,694,476,37,304,135,421,31,279,111,6152
03102,5257,768,3419,1070,4974,626,3167,1181,605,22,389,194,351,21,237,93,10231
03103,182,13,124,45,187,19,104,64,5,2,3,0,3,0,3,0,369
03104,15270,3056,10577,1637,15286,2757,10400,2129,293,44,246,3,304,45,252,7,30556
03105,3237,587,2135,515,3220,553,2017,650,115,14,96,5,81,8,72,1,6457
03106,395,41,256,98,401,43,227,131,13,3,7,3,9,3,5,1,796
03107,1197,156,786,255,1194,159,745,290,316,22,223,71,281,25,196,60,2391
03109,1742,368,1172,202,1722,331,1117,274,106,15,91,0,68,13,55,0,3464
03110,247,38,161,48,234,29,141,64,91,8,66,17,74,8,51,15,481
