codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,322,32,181,109,305,23,176,106,117,6,60,51,121,7,70,44,627
03002,2392,372,1601,419,2360,366,1501,493,210,28,167,15,198,38,142,18,4752
03003,312,38,213,61,271,33,166,72,26,2,22,2,25,2,20,3,583
03004,523,79,340,104,461,69,287,105,134,15,85,34,133,13,84,36,984
03005,6010,1091,4139,780,5757,1075,3779,903,1222,205,897,120,966,182,693,91,11767
03006,683,54,338,291,667,66,318,283,371,11,145,215,370,12,165,193,1350
03007,123,15,78,30,115,12,67,36,23,2,10,11,19,3,7,9,238
03008,101,9,60,32,90,6,54,30,7,0,6,1,5,0,4,1,191
03009,29017,4734,19459,4824,30658,4561,19061,7036,1566,243,1298,25,1406,227,1157,22,59675
03010,205,24,136,45,213,32,128,53,14,0,12,2,5,1,3,1,418
03011,10641,1501,6498,2642,10716,1469,6637,2610,5755,558,3195,2002,5973,561,3489,1923,21357
03012,1894,195,1067,632,1905,212,1116,577,1228,61,629,538,1242,75,705,462,3799
03013,728,116,456,156,729,91,443,195,54,8,44,2,41,10,25,6,1457
03014,161343,27590,109468,24285,170724,25774,110916,34034,23324,3463,18770,1091,21577,3298,17010,1269,332067
03015,10153,1982,6840,1331,9839,1931,6293,1615,2336,512,1576,248,2063,478,1376,209,19992
03016,59,5,36,18,53,3,28,22,5,0,2,3,8,0,5,3,112
03017,246,42,167,37,281,56,179,46,28,5,22,1,29,4,23,2,527
03018,11117,1715,7307,2095,11401,1607,7498,2296,3956,465,2566,925,3889,446,2634,809,22518
03019,10209,1852,6927,1430,10039,1765,6519,1755,718,118,513,87,700,96,524,80,20248
03020,69,2,47,20,70,7,36,27,14,0,10,4,11,1,8,2,139
03021,3585,586,2393,606,3589,574,2235,780,192,34,154,4,145,43,96,6,7174
03022,77,5,42,30,81,4,46,31,6,2,3,1,6,0,4,2,158
03023,854,113,552,189,884,106,529,249,44,8,34,2,41,4,35,2,1738
03024,2688,456,1773,459,2706,451,1680,575,337,57,246,34,333,63,232,38,5394
03025,1012,174,663,175,898,151,572,175,171,12,90,69,166,14,100,52,1910
03026,914,163,588,163,945,153,582,210,176,20,104,52,207,27,124,56,1859
03027,111,12,67,32,97,7,63,27,36,5,27,4,23,0,21,2,208
03028,628,74,394,160,626,69,341,216,40,11,26,3,47,9,33,5,1254
03030,582,82,318,182,607,89,318,200,257,24,111,122,283,36,131,116,1189
03031,34467,4929,23622,5916,34543,4535,23311,6697,10982,1501,8029,1452,9963,1413,7195,1355,69010
03032,64,7,45,12,57,3,36,18,0,0,0,0,0,0,0,0,121
03033,84,13,43,28,84,10,52,22,15,1,9,5,15,1,11,3,168
03029,259,22,135,102,249,19,115,115,122,6,54,62,119,7,56,56,508
03034,1855,234,1062,559,1936,254,1119,563,1023,78,513,432,1034,80,564,390,3791
03035,403,33,248,122,386,34,213,139,22,0,15,7,25,1,19,5,789
03036,47,2,37,8,57,9,39,9,0,0,0,0,2,0,2,0,104
03037,235,32,146,57,264,28,173,63,46,4,25,17,45,2,28,15,499
03038,216,24,135,57,215,14,123,78,17,1,11,5,20,0,13,7,431
03039,60,4,39,17,53,3,34,16,9,2,3,4,8,0,6,2,113
03040,205,28,116,61,214,23,104,87,57,8,20,29,61,1,25,35,419
03041,5765,769,3555,1441,5807,764,3489,1554,2207,185,1217,805,2168,180,1230,758,11572
03042,2312,235,1222,855,2347,251,1217,879,1495,121,676,698,1527,109,751,667,4659
03043,1796,283,1176,337,1874,313,1164,397,69,11,50,8,59,11,40,8,3670
03044,3464,625,2352,487,3298,589,2144,565,639,104,437,98,521,91,351,79,6762
03045,213,13,132,68,208,22,129,57,86,3,54,29,94,7,66,21,421
03046,1589,219,978,392,1549,222,960,367,577,41,270,266,562,36,301,225,3138
03049,9114,1854,6011,1249,8965,1726,5592,1647,1650,472,1143,35,1386,411,946,29,18079
03048,3738,602,2548,588,3632,544,2334,754,885,106,714,65,720,106,546,68,7370
03047,11355,1709,7197,2449,11082,1520,6943,2619,5641,614,3367,1660,5509,532,3294,1683,22437
03050,13280,2268,8703,2309,13801,2090,8967,2744,2179,263,1376,540,2339,241,1552,546,27081
03051,223,31,153,39,214,26,130,58,14,5,9,0,14,1,13,0,437
03052,614,116,380,118,628,107,390,131,24,6,18,0,18,1,15,2,1242
03053,5144,772,3489,883,4999,730,3244,1025,771,70,451,250,714,82,432,200,10143
03054,223,23,130,70,219,17,100,102,39,7,19,13,27,5,12,10,442
03075,112,8,79,25,114,9,81,24,24,1,21,2,28,1,22,5,226
03055,4395,852,2803,740,4268,778,2679,811,1085,161,647,277,1036,158,646,232,8663
03056,5804,903,3925,976,5715,790,3688,1237,565,108,413,44,457,105,316,36,11519
03057,130,9,77,44,102,6,46,50,10,3,7,0,15,1,10,4,232
03058,3674,686,2484,504,3514,631,2331,552,616,123,480,13,549,131,405,13,7188
03059,14381,2675,9680,2026,13947,2550,9037,2360,1693,416,1141,136,1394,373,926,95,28328
03061,890,130,551,209,875,140,496,239,247,27,118,102,255,32,131,92,1765
03062,343,22,201,120,338,25,186,127,223,11,115,97,215,11,113,91,681
03063,20377,3445,13795,3137,21295,3269,14149,3877,4637,575,3165,897,4789,516,3356,917,41672
03064,3612,628,2382,602,3625,647,2249,729,552,135,332,85,548,139,343,66,7237
03065,113510,20242,78290,14978,115137,19239,76597,19301,13136,2396,10239,501,11855,2203,9094,558,228647
03066,26089,4135,17692,4262,27451,3915,17631,5905,1311,206,1065,40,1271,194,1033,44,53540
03067,56,2,38,16,48,2,27,19,2,0,2,0,2,0,2,0,104
03068,25,0,17,8,27,0,15,12,1,0,1,0,7,0,5,2,52
03069,3226,505,2215,506,3039,515,2067,457,1356,180,896,280,1312,178,912,222,6265
03077,1320,133,797,390,1312,120,820,372,523,21,277,225,489,9,303,177,2632
03070,2156,372,1394,390,2055,300,1328,427,890,124,568,198,777,83,517,177,4211
03072,239,29,150,60,210,22,125,63,31,0,17,14,28,2,12,14,449
03071,3036,481,1999,556,2949,447,1825,677,602,89,373,140,578,92,369,117,5985
03073,146,13,93,40,128,13,71,44,8,1,3,4,6,1,4,1,274
03074,1253,207,852,194,1164,202,748,214,184,37,146,1,161,37,121,3,2417
03076,7743,1171,4783,1789,7856,1105,4802,1949,2645,305,1550,790,2676,280,1644,752,15599
03078,574,56,312,206,521,48,299,174,254,10,108,136,260,12,137,111,1095
03079,11730,1954,8016,1760,11726,1781,7750,2195,767,129,621,17,695,114,563,18,23456
03080,984,177,620,187,963,142,588,233,172,25,100,47,188,19,109,60,1947
03082,14499,2040,8890,3569,14568,2011,8838,3719,6894,673,3765,2456,6807,632,3867,2308,29067
03083,3502,560,2325,617,3724,472,2319,933,283,43,196,44,253,38,182,33,7226
03085,536,42,282,212,544,36,321,187,377,15,181,181,384,11,222,151,1080
