codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros varones,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,377,31,225,121,353,29,214,110,168,9,94,65,169,10,109,50,730
03002,2451,381,1682,388,2380,391,1510,479,284,45,224,15,233,48,172,13,4831
03003,315,44,210,61,295,39,180,76,31,6,22,3,37,7,26,4,610
03004,582,94,387,101,536,77,351,108,178,19,119,40,172,18,112,42,1118
03005,6110,1191,4149,770,5791,1098,3828,865,1347,214,1001,132,1044,178,773,93,11901
03006,724,74,377,273,709,68,398,243,422,24,197,201,432,22,250,160,1433
03007,116,15,72,29,115,16,71,28,25,3,14,8,20,2,11,7,231
03008,100,6,59,35,93,2,55,36,8,0,6,2,7,0,3,4,193
03009,29762,4892,20157,4713,31331,4718,19646,6967,1916,282,1604,30,1656,274,1365,17,61093
03010,205,29,127,49,219,37,134,48,13,0,13,0,8,0,8,0,424
03011,10864,1611,6728,2525,10806,1568,6808,2430,6103,663,3488,1952,6209,628,3764,1817,21670
03012,2302,245,1427,630,2323,279,1490,554,1634,115,993,526,1643,148,1074,421,4625
03013,763,115,486,162,740,101,457,182,86,13,70,3,54,13,37,4,1503
03014,162212,27639,111817,22756,172117,25973,113466,32678,25438,3844,20544,1050,23865,3594,19040,1231,334329
03015,9850,1914,6736,1200,9521,1832,6189,1500,2202,470,1559,173,1836,431,1270,135,19371
03016,71,8,40,23,60,5,37,18,13,0,8,5,13,1,9,3,131
03017,234,35,161,38,274,57,168,49,25,5,18,2,21,1,19,1,508
03018,11934,1839,7882,2213,12122,1748,7953,2421,4723,508,3097,1118,4600,515,3101,984,24056
03019,10247,1865,7015,1367,10045,1771,6609,1665,871,140,648,83,809,139,613,57,20292
03020,82,11,51,20,80,10,45,25,19,2,16,1,14,2,12,0,162
03021,3598,614,2425,559,3602,594,2258,750,193,32,157,4,145,34,109,2,7200
03022,84,2,54,28,94,3,52,39,5,1,4,0,7,0,5,2,178
03023,917,135,595,187,900,108,551,241,79,17,60,2,61,7,51,3,1817
03024,2701,461,1792,448,2758,473,1719,566,336,59,246,31,339,72,242,25,5459
03025,1016,183,668,165,909,147,606,156,185,18,102,65,187,19,125,43,1925
03026,939,169,621,149,944,155,594,195,192,28,123,41,199,33,128,38,1883
03027,121,11,77,33,101,7,61,33,46,9,34,3,25,4,19,2,222
03028,644,80,407,157,651,72,363,216,41,6,32,3,59,11,43,5,1295
03029,309,33,175,101,297,21,166,110,159,13,85,61,140,8,89,43,606
03030,642,95,361,186,663,86,380,197,322,35,155,132,329,32,175,122,1305
