codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros varones,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03002,2379,379,1575,425,2350,362,1491,497,190,30,144,16,188,29,137,22,4729
03003,306,32,212,62,259,33,146,80,24,3,17,4,21,1,15,5,565
03004,494,73,317,104,427,57,276,94,108,10,60,38,111,7,73,31,921
03005,5979,1105,4095,779,5777,1106,3746,925,1140,217,822,101,916,207,622,87,11756
03006,647,54,308,285,644,63,306,275,339,14,113,212,349,15,144,190,1291
03007,115,11,76,28,106,9,62,35,20,0,12,8,17,2,7,8,221
03008,101,11,58,32,93,5,53,35,6,0,5,1,5,0,4,1,194
03009,28804,4653,19195,4956,30394,4499,18887,7008,1494,246,1221,27,1402,218,1151,33,59198
03010,195,22,132,41,204,24,124,56,13,0,11,2,5,1,3,1,399
03011,10713,1451,6535,2727,10781,1414,6600,2767,5797,536,3204,2057,5994,542,3418,2034,21494
03012,1626,181,854,591,1596,186,894,516,920,36,400,484,918,48,470,400,3222
03013,688,102,428,158,703,89,425,189,40,5,28,7,38,11,20,7,1391
03014,160456,27544,107960,24952,170069,25666,109574,34829,21587,3291,17174,1122,19916,3080,15551,1285,330525
03015,10188,1993,6839,1356,9950,1976,6313,1661,2231,500,1478,253,2069,491,1359,219,20138
03016,62,5,37,20,57,5,26,26,4,0,0,4,7,0,3,4,119
03017,240,35,178,27,277,57,173,47,24,6,17,1,22,3,17,2,517
03018,10677,1690,6988,1999,11062,1588,7235,2239,3415,451,2186,778,3469,427,2334,708,21739
03019,10319,1920,6884,1515,10163,1783,6551,1829,689,102,490,97,683,95,508,80,20482
03001,356,24,184,148,333,24,182,127,153,5,60,88,156,5,80,71,689
03020,66,4,44,18,63,6,34,23,12,0,8,4,9,1,6,2,129
03021,3554,574,2356,624,3554,556,2213,785,166,32,130,4,134,38,89,7,7108
03022,74,4,39,31,84,5,47,32,2,1,1,0,5,0,4,1,158
03023,852,117,552,183,860,109,513,238,48,12,32,4,44,7,35,2,1712
03024,2682,453,1761,468,2682,429,1681,572,334,66,233,35,318,66,217,35,5364
03025,1008,185,647,176,912,164,563,185,151,10,74,67,150,12,81,57,1920
03026,953,164,600,189,964,144,590,230,186,15,100,71,209,19,122,68,1917
03027,101,10,56,35,101,9,64,28,21,2,15,4,13,0,12,1,202
03028,586,60,367,159,578,55,315,208,27,4,21,2,27,6,19,2,1164
03030,555,58,315,182,562,65,286,211,236,10,102,124,255,22,110,123,1117
03031,33131,4843,22505,5783,33511,4445,22313,6753,9215,1382,6708,1125,8581,1267,6219,1095,66642
03032,64,4,44,16,50,3,32,15,0,0,0,0,1,0,1,0,114
03033,80,11,45,24,78,10,45,23,11,0,7,4,8,0,4,4,158
