codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros varones,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03002,2357,368,1561,428,2401,380,1511,510,174,30,126,18,195,32,141,22,4758
03003,306,32,213,61,259,36,141,82,22,1,18,3,17,0,12,5,565
03004,505,67,329,109,458,58,303,97,121,9,69,43,124,9,81,34,963
03005,6260,1169,4254,837,6019,1163,3878,978,1299,275,912,112,1071,264,705,102,12279
03006,640,47,321,272,638,46,316,276,347,13,128,206,368,13,159,196,1278
03007,117,13,74,30,113,9,71,33,20,0,9,11,18,2,8,8,230
03008,93,8,52,33,80,6,38,36,2,0,1,1,2,0,0,2,173
03009,28866,4551,19130,5185,30128,4311,18650,7167,1967,336,1582,49,1738,289,1403,46,58994
03010,202,23,141,38,208,26,126,56,15,3,9,3,6,0,5,1,410
03011,10187,1374,6166,2647,10295,1302,6286,2707,5187,501,2788,1898,5380,460,3027,1893,20482
03012,1461,189,786,486,1474,189,814,471,723,47,297,379,776,56,368,352,2935
03013,668,99,411,158,668,84,394,190,39,6,27,6,27,1,18,8,1336
03014,162191,27405,108348,26438,172696,25580,110399,36717,23398,3923,18136,1339,22543,3703,17261,1579,334887
03015,10510,2089,6994,1427,10293,2001,6551,1741,2388,550,1567,271,2298,501,1541,256,20803
03016,57,6,34,17,56,4,25,27,4,0,2,2,8,0,4,4,113
03017,238,33,178,27,255,43,169,43,23,6,16,1,18,5,12,1,493
03018,10911,1642,7182,2087,11379,1561,7398,2420,3623,472,2326,825,3674,434,2428,812,22290
03019,10435,1946,6903,1586,10279,1765,6607,1907,708,104,495,109,716,102,519,95,20714
03001,325,22,189,114,307,22,167,118,124,4,62,58,126,3,64,59,632
03020,73,5,50,18,58,5,31,22,20,1,12,7,8,1,4,3,131
03021,3538,576,2313,649,3530,539,2176,815,187,43,141,3,156,39,112,5,7068
03022,74,3,43,28,77,5,36,36,3,0,3,0,6,0,3,3,151
03023,852,124,556,172,833,101,505,227,50,9,39,2,33,2,28,3,1685
03024,2699,441,1787,471,2703,425,1685,593,340,70,238,32,324,69,217,38,5402
03025,1001,181,649,171,941,179,582,180,138,12,66,60,148,11,88,49,1942
03026,1061,179,688,194,1031,139,645,247,233,22,136,75,233,12,137,84,2092
03027,106,12,61,33,126,20,78,28,21,3,15,3,14,1,12,1,232
03028,571,52,373,146,547,40,320,187,28,4,20,4,38,3,32,3,1118
03030,545,60,327,158,550,56,312,182,216,13,101,102,217,13,111,93,1095
03031,34250,4822,22985,6443,34471,4487,22599,7385,10126,1377,7358,1391,9469,1340,6840,1289,68721
03032,60,5,43,12,45,2,26,17,0,0,0,0,0,0,0,0,105
03033,73,5,49,19,67,9,39,19,10,0,7,3,9,0,5,4,140
03029,253,22,132,99,237,23,118,96,110,5,54,51,103,8,50,45,490
03034,1615,192,919,504,1707,221,969,517,789,46,367,376,806,59,402,345,3322
03035,377,33,221,123,347,19,204,124,16,0,7,9,17,1,13,3,724
03036,47,2,37,8,50,5,37,8,1,0,1,0,1,0,1,0,97
03037,242,29,151,62,241,25,153,63,46,2,31,13,44,2,28,14,483
03038,207,19,134,54,202,17,112,73,16,0,9,7,19,0,12,7,409
03039,59,5,36,18,47,1,28,18,7,1,4,2,6,0,2,4,106
03040,187,20,108,59,231,32,115,84,46,2,18,26,64,1,23,40,418
03041,5415,756,3399,1260,5590,737,3439,1414,1813,165,1057,591,1832,168,1093,571,11005
03042,2106,250,1150,706,2170,248,1170,752,1253,125,580,548,1299,121,632,546,4276
03043,1799,279,1168,352,1872,311,1157,404,64,7,46,11,67,10,50,7,3671
03044,3382,613,2294,475,3351,597,2175,579,562,92,399,71,505,102,344,59,6733
03045,220,15,141,64,200,16,124,60,97,7,61,29,84,4,57,23,420
03046,1516,221,919,376,1462,203,914,345,491,36,225,230,472,28,249,195,2978
03049,9714,1966,6458,1290,9324,1835,5790,1699,2180,602,1541,37,1798,555,1197,46,19038
03048,3762,627,2524,611,3611,573,2287,751,751,98,607,46,579,96,435,48,7373
03047,11480,1695,7216,2569,11245,1511,6993,2741,5388,575,3164,1649,5331,543,3122,1666,22725
03050,13796,2270,8892,2634,14553,2051,9309,3193,2330,335,1424,571,2603,311,1670,622,28349
03051,211,32,140,39,204,20,136,48,7,2,5,0,10,1,9,0,415
03052,606,115,377,114,614,93,378,143,23,6,16,1,16,2,13,1,1220
03053,5149,790,3487,872,4975,740,3204,1031,580,55,376,149,535,68,337,130,10124
03054,236,24,132,80,213,12,108,93,46,6,21,19,31,3,13,15,449
03075,111,3,80,28,106,8,77,21,29,0,23,6,27,2,20,5,217
03055,4307,811,2740,756,4332,760,2724,848,965,139,530,296,996,144,581,271,8639
03056,5868,877,3935,1056,5643,789,3585,1269,785,159,587,39,592,158,401,33,11511
03057,106,8,61,37,81,4,37,40,13,3,6,4,15,0,8,7,187
03058,3722,733,2494,495,3575,645,2322,608,588,153,419,16,579,159,401,19,7297
03059,14627,2661,9720,2246,14325,2570,9138,2617,1812,411,1193,208,1675,392,1121,162,28952
03061,852,112,546,194,885,136,514,235,221,25,102,94,246,34,125,87,1737
03062,354,30,184,140,336,27,184,125,226,18,92,116,212,10,110,92,690
03063,20419,3262,13657,3500,21747,3120,14308,4319,4320,502,2964,854,4821,543,3326,952,42166
03064,3740,647,2478,615,3730,675,2307,748,624,116,396,112,662,142,417,103,7470
03065,115151,20081,77932,17138,117366,19305,76275,21786,12787,2128,10067,592,11622,2044,8930,648,232517
03066,25639,4005,17013,4621,26979,3756,16862,6361,1309,201,1062,46,1370,196,1095,79,52618
03067,52,2,31,19,54,5,28,21,3,0,2,1,3,1,2,0,106
03068,24,1,13,10,23,0,12,11,1,0,1,0,4,0,2,2,47
03069,3440,543,2365,532,3275,534,2240,501,1304,187,866,251,1333,174,934,225,6715
03077,1306,131,729,446,1238,115,702,421,484,19,201,264,447,10,217,220,2544
03070,2105,336,1347,422,2086,305,1344,437,799,104,460,235,799,104,489,206,4191
03072,227,27,140,60,225,33,133,59,20,1,11,8,24,3,14,7,452
03071,3082,465,2040,577,2967,447,1880,640,648,75,441,132,594,91,386,117,6049
03073,140,5,97,38,109,11,67,31,4,0,3,1,6,0,5,1,249
03074,1362,241,924,197,1218,229,780,209,238,61,172,5,203,51,148,4,2580
03076,7492,1176,4673,1643,7856,1135,4831,1890,2293,333,1358,602,2465,301,1542,622,15348
03078,616,58,309,249,582,49,314,219,306,10,119,177,323,7,162,154,1198
03079,11747,1865,7895,1987,11742,1734,7548,2460,693,92,577,24,623,82,514,27,23489
03080,1030,164,672,194,992,138,618,236,198,27,120,51,223,32,128,63,2022
03082,13681,2044,8632,3005,13923,1996,8501,3426,5864,693,3370,1801,5961,678,3388,1895,27604
03083,3342,514,2209,619,3523,430,2169,924,200,29,144,27,196,21,149,26,6865
03085,474,46,246,182,461,41,251,169,311,21,137,153,305,17,155,133,935
03084,284,17,177,90,294,21,166,107,12,0,3,9,18,0,10,8,578
03086,127,9,81,37,110,4,68,38,33,0,19,14,24,0,14,10,237
03088,4292,729,3029,534,3873,707,2596,570,542,49,446,47,350,43,274,33,8165
03089,6069,933,3977,1159,6098,882,3752,1464,399,45,289,65,392,37,291,64,12167
03903,2520,369,1580,571,2448,359,1518,571,891,93,453,345,907,94,505,308,4968
03091,220,19,111,90,250,18,123,109,92,1,40,51,103,3,51,49,470
03092,4637,811,3115,711,4687,840,2934,913,590,128,418,44,506,126,330,50,9324
03090,12662,2377,8598,1687,12690,2214,8488,1988,1403,217,923,263,1493,222,1014,257,25352
03093,12770,2073,8698,1999,12881,1916,8380,2585,1053,168,850,35,846,143,665,38,25651
03094,9425,1656,6176,1593,9178,1497,5975,1706,3053,337,1804,912,3236,335,1887,1014,18603
03095,3460,590,2331,539,3434,547,2201,686,533,79,400,54,545,74,405,66,6894
03096,3757,626,2519,612,3750,561,2384,805,275,33,216,26,248,26,196,26,7507
03097,1074,140,553,381,1100,118,565,417,475,32,190,253,474,17,212,245,2174
03099,38360,5854,24044,8462,39054,5724,23895,9435,12428,1469,6955,4004,12476,1538,7152,3786,77414
03098,379,48,247,84,357,43,228,86,77,3,42,32,57,3,30,24,736
03100,446,35,248,163,483,44,262,177,173,7,73,93,188,11,90,87,929
03101,3809,578,2433,798,3890,569,2413,908,859,89,492,278,890,102,523,265,7699
03102,5057,712,3150,1195,5071,637,2985,1449,786,64,409,313,762,63,406,293,10128
03103,152,12,96,44,140,16,76,48,11,0,9,2,9,0,5,4,292
03104,17039,2993,11666,2380,17237,2788,11410,3039,439,50,370,19,459,57,381,21,34276
03902,11236,1855,7077,2304,10669,1776,6489,2404,4547,589,2607,1351,4026,537,2235,1254,21905
03105,4026,664,2679,683,3940,615,2514,811,639,94,416,129,625,78,418,129,7966
03106,375,28,230,117,318,25,174,119,39,1,22,16,30,0,23,7,693
03901,1276,129,650,497,1429,140,757,532,636,26,242,368,748,40,307,401,2705
03107,2541,443,1714,384,2424,401,1607,416,757,99,494,164,722,91,484,147,4965
03060,66,4,39,23,56,5,25,26,4,0,3,1,6,0,4,2,122
03109,2240,441,1527,272,2258,444,1461,353,352,81,249,22,380,104,253,23,4498
03110,334,37,181,116,319,32,174,113,142,5,56,81,131,3,53,75,653
03111,4069,766,2789,514,3800,690,2463,647,523,130,380,13,413,95,302,16,7869
03112,599,50,366,183,561,57,321,183,220,11,128,81,215,16,135,64,1160
03113,8617,831,4296,3490,8346,736,4240,3370,5888,345,2536,3007,5768,343,2637,2788,16963
03114,1263,173,768,322,1171,132,691,348,270,18,135,117,278,17,161,100,2434
03115,198,16,106,76,210,16,105,89,61,2,23,36,64,3,26,35,408
03116,826,128,535,163,775,112,495,168,111,14,64,33,100,8,67,25,1601
03118,3964,403,1960,1601,3891,368,2004,1519,2463,176,1014,1273,2491,151,1165,1175,7855
03904,1024,173,720,131,962,150,670,142,121,10,91,20,118,13,95,10,1986
03120,3044,418,1755,871,2990,395,1732,863,1534,166,754,614,1557,165,841,551,6034
03122,28864,5420,19681,3763,29521,5019,19884,4618,1809,253,1445,111,1946,245,1557,144,58385
03117,341,46,193,102,326,24,181,121,111,5,48,58,112,1,57,54,667
03119,11538,2093,7660,1785,12377,1997,7963,2417,1274,206,952,116,1401,207,1028,166,23915
03121,16225,2688,10900,2637,16081,2529,10470,3082,2811,326,1883,602,2700,292,1832,576,32306
03123,4968,787,3371,810,4877,782,3131,964,301,28,196,77,286,24,202,60,9845
03124,306,26,200,80,274,27,149,98,36,4,16,16,31,1,15,15,580
03125,302,33,198,71,282,49,162,71,95,10,57,28,86,10,51,25,584
03127,335,27,200,108,311,28,169,114,129,11,74,44,112,5,67,40,646
03128,5541,762,3215,1564,5571,672,3204,1695,2934,280,1507,1147,2889,237,1528,1124,11112
03129,851,101,561,189,763,96,473,194,92,6,35,51,100,3,55,42,1614
03130,30,1,16,13,27,0,5,22,9,0,3,6,5,0,2,3,57
03131,163,13,86,64,177,23,99,55,60,0,22,38,65,3,34,28,340
