codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros varones,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,196,22,118,56,181,18,103,60,162,14,92,56,156,10,103,43,377
03002,2150,330,1457,363,2147,350,1337,460,285,46,231,8,236,48,177,11,4297
03003,286,35,194,57,249,33,144,72,29,8,18,3,35,7,25,3,535
03004,376,72,248,56,356,59,232,65,186,24,125,37,166,19,109,38,732
03005,4728,973,3116,639,4711,915,3021,775,1352,203,1019,130,1030,164,770,96,9439
03006,310,53,181,76,283,49,147,87,462,34,235,193,469,26,288,155,593
03007,84,12,53,19,98,14,62,22,25,5,12,8,23,2,15,6,182
03008,97,6,56,35,93,3,55,35,6,0,4,2,5,0,1,4,190
03009,27863,4557,18683,4623,29857,4464,18501,6892,1969,303,1633,33,1728,283,1426,19,57720
03010,195,34,115,46,206,38,124,44,13,0,13,0,5,0,5,0,401
03011,4743,921,3274,548,4562,936,3068,558,5923,667,3395,1861,6104,629,3735,1740,9305
03012,652,125,425,102,676,132,418,126,1596,116,1010,470,1613,157,1083,373,1328
03013,682,103,415,164,707,99,432,176,88,14,70,4,53,13,36,4,1389
03014,136439,23700,91541,21198,147648,22270,94507,30871,26028,3942,21107,979,24303,3610,19513,1180,284087
03015,7641,1463,5165,1013,7625,1391,4907,1327,2338,484,1669,185,1994,447,1413,134,15266
03016,57,7,31,19,49,4,31,14,13,0,8,5,13,1,10,2,106
03017,203,30,138,35,247,55,144,48,25,5,19,1,19,3,15,1,450
03018,7240,1322,4860,1058,7546,1245,4862,1439,4699,502,3132,1065,4521,491,3080,950,14786
03019,9315,1707,6344,1264,9216,1628,5981,1607,973,158,736,79,856,158,642,56,18531
03020,60,8,36,16,66,8,32,26,17,2,14,1,13,2,11,0,126
03021,3425,591,2284,550,3482,569,2179,734,183,26,153,4,139,30,107,2,6907
03022,78,2,49,27,82,4,45,33,5,2,3,0,6,1,3,2,160
03023,836,116,533,187,836,101,501,234,82,19,61,2,66,6,58,2,1672
03024,2386,413,1571,402,2420,401,1485,534,341,64,247,30,327,55,250,22,4806
03025,783,147,537,99,701,119,473,109,203,20,110,73,205,20,132,53,1484
03026,746,136,501,109,744,123,470,151,196,29,124,43,202,39,129,34,1490
03027,77,3,44,30,79,2,43,34,47,9,35,3,27,5,21,1,156
03028,605,72,377,156,604,67,319,218,52,7,43,2,56,11,41,4,1209
03029,148,19,87,42,149,13,71,65,147,8,85,54,136,8,89,39,297
03030,311,53,209,49,329,52,202,75,304,34,147,123,317,34,166,117,640
03031,23279,3493,15948,3838,24045,3188,16032,4825,12576,1511,9300,1765,11298,1409,8299,1590,47324
03032,57,4,40,13,56,3,32,21,1,0,1,0,0,0,0,0,113
03033,83,14,43,26,79,13,44,22,21,1,16,4,16,1,14,1,162
03034,770,119,536,115,839,151,539,149,1212,103,720,389,1183,96,765,322,1609
03035,386,38,248,100,385,38,216,131,20,1,15,4,30,1,28,1,771
03036,42,3,29,10,50,7,30,13,2,0,1,1,4,0,4,0,92
03037,183,17,122,44,206,20,130,56,63,2,47,14,62,3,48,11,389
03038,193,25,123,45,182,11,109,62,17,2,11,4,22,0,17,5,375
03039,62,5,45,12,47,4,30,13,10,2,5,3,10,0,8,2,109
03040,148,13,107,28,143,16,77,50,55,4,30,21,67,10,35,22,291
03041,3501,564,2339,598,3541,560,2227,754,3218,259,1761,1198,3109,285,1776,1048,7042
03042,808,121,538,149,813,130,464,219,1943,177,1030,736,1924,200,1151,573,1621
03043,1722,259,1156,307,1804,288,1142,374,91,21,64,6,86,22,60,4,3526
03044,2797,532,1907,358,2756,525,1773,458,657,98,483,76,547,104,394,49,5553
03045,129,11,76,42,111,11,65,35,90,7,60,23,93,12,67,14,240
03046,929,173,655,101,958,205,633,120,699,77,395,227,671,58,446,167,1887
03047,5580,1068,3829,683,5456,997,3635,824,9666,781,5199,3686,9207,720,4886,3601,11036
