codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03002,2344,365,1555,424,2369,369,1496,504,169,31,120,18,190,33,137,20,4713
03003,294,29,205,60,257,35,144,78,17,1,14,2,18,0,14,4,551
03004,493,72,313,108,443,56,290,97,107,10,58,39,114,5,75,34,936
03005,6172,1171,4183,818,5870,1136,3770,964,1248,249,890,109,965,242,632,91,12042
03006,645,46,318,281,653,56,318,279,350,13,124,213,375,18,160,197,1298
03007,115,13,74,28,114,12,66,36,19,0,10,9,20,4,9,7,229
03008,94,9,50,35,86,5,43,38,2,0,1,1,2,0,1,1,180
03009,28806,4600,19083,5123,30171,4378,18674,7119,1731,289,1403,39,1600,269,1294,37,58977
03010,198,23,135,40,209,26,127,56,14,2,9,3,5,0,4,1,407
03011,9947,1374,6050,2523,10106,1307,6234,2565,4954,484,2671,1799,5225,465,2970,1790,20053
03012,1427,187,756,484,1411,180,771,460,703,46,279,378,728,48,341,339,2838
03013,671,100,408,163,670,83,396,191,39,5,27,7,26,1,18,7,1341
03014,160595,27338,107345,25912,170982,25523,109350,36109,21592,3535,16851,1206,20714,3368,15903,1443,331577
03015,10398,2062,6978,1358,10144,1985,6449,1710,2294,525,1528,241,2181,499,1455,227,20542
03016,54,4,33,17,50,4,23,23,3,0,1,2,6,0,4,2,104
03017,237,31,179,27,254,41,167,46,24,4,19,1,18,3,14,1,491
03018,10756,1632,7077,2047,11239,1571,7307,2361,3470,438,2239,793,3535,410,2336,789,21995
03019,10324,1924,6849,1551,10213,1754,6569,1890,637,95,448,94,662,89,492,81,20537
03001,346,21,181,144,315,21,164,130,145,3,55,87,134,3,58,73,661
03020,65,4,41,20,57,3,32,22,11,0,5,6,10,1,6,3,122
03021,3562,585,2333,644,3551,550,2189,812,178,41,135,2,146,40,102,4,7113
03022,77,5,44,28,79,6,41,32,2,0,2,0,4,0,2,2,156
03023,866,126,560,180,837,101,504,232,57,12,41,4,39,2,34,3,1703
03024,2689,449,1765,475,2672,424,1668,580,334,65,233,36,317,64,218,35,5361
03025,1011,180,649,182,929,173,570,186,151,13,69,69,161,12,93,56,1940
03026,1005,170,654,181,978,132,613,233,213,22,122,69,217,14,124,79,1983
03027,89,6,52,31,89,8,56,25,17,1,14,2,6,0,6,0,178
03028,566,51,364,151,552,39,313,200,18,3,13,2,30,2,25,3,1118
03030,556,58,320,178,554,59,296,199,225,10,96,119,230,15,101,114,1110
03031,33581,4832,22553,6196,33977,4463,22380,7134,9415,1323,6830,1262,8882,1246,6443,1193,67558
03032,59,4,41,14,49,3,31,15,0,0,0,0,0,0,0,0,108
03033,74,7,46,21,75,9,44,22,9,0,5,4,7,0,3,4,149
03029,228,17,119,92,216,17,108,91,94,4,42,48,89,5,44,40,444
03034,1634,192,908,534,1723,220,983,520,808,51,356,401,813,52,416,345,3357
03035,384,34,230,120,358,23,211,124,16,1,6,9,19,1,15,3,742
03036,43,2,34,7,51,7,37,7,0,0,0,0,1,0,1,0,94
03037,241,33,149,59,249,28,155,66,44,2,28,14,46,4,28,14,490
03038,205,19,132,54,208,19,110,79,15,0,9,6,16,0,10,6,413
03039,55,4,34,17,41,0,24,17,7,1,4,2,6,0,2,4,96
03040,190,19,114,57,220,29,115,76,45,1,17,27,62,1,27,34,410
03041,5264,736,3284,1244,5504,745,3370,1389,1665,140,939,586,1725,144,1028,553,10768
03042,2039,243,1111,685,2091,242,1106,743,1189,126,539,524,1238,116,590,532,4130
03043,1792,279,1155,358,1859,303,1158,398,61,7,43,11,60,7,46,7,3651
03044,3380,616,2292,472,3322,589,2161,572,578,96,408,74,496,93,340,63,6702
03045,221,13,143,65,197,20,118,59,103,5,67,31,84,4,57,23,418
03046,1498,229,900,369,1427,206,880,341,460,33,199,228,452,27,230,195,2925
03049,9602,1947,6380,1275,9262,1816,5751,1695,2050,560,1454,36,1704,523,1142,39,18864
03048,3708,615,2494,599,3549,563,2257,729,713,85,580,48,548,93,416,39,7257
03047,10900,1651,6842,2407,10733,1462,6703,2568,4902,531,2847,1524,4908,484,2912,1512,21633
03050,13565,2260,8775,2530,14328,2066,9151,3111,2151,293,1310,548,2440,272,1576,592,27893
03051,218,33,149,36,210,23,135,52,12,3,9,0,14,2,11,1,428
03052,609,114,379,116,605,91,380,134,24,6,17,1,15,2,11,2,1214
03053,5016,777,3362,877,4864,738,3120,1006,526,59,316,151,498,69,304,125,9880
03054,223,25,120,78,212,13,102,97,45,4,24,17,30,3,14,13,435
03075,104,5,71,28,105,7,76,22,25,0,20,5,27,2,21,4,209
03055,4319,829,2740,750,4312,757,2688,867,979,149,539,291,994,137,576,281,8631
03056,5822,901,3896,1025,5634,792,3599,1243,729,159,534,36,549,140,375,34,11456
03057,118,9,71,38,90,4,42,44,16,4,8,4,19,0,12,7,208
03058,3698,705,2481,512,3528,631,2299,598,584,143,426,15,559,154,389,16,7226
03059,14640,2660,9760,2220,14317,2611,9111,2595,1779,414,1174,191,1618,408,1051,159,28957
03061,850,119,529,202,868,131,501,236,215,29,89,97,240,38,115,87,1718
03062,356,24,198,134,329,27,180,122,229,12,107,110,201,8,105,88,685
03063,20245,3288,13578,3379,21488,3102,14177,4209,4142,502,2820,820,4570,483,3170,917,41733
03064,3689,655,2440,594,3694,678,2279,737,573,115,361,97,614,138,388,88,7383
03065,114332,20148,77510,16674,116293,19284,75657,21352,12021,2063,9459,499,10793,1895,8345,553,230625
03066,25549,4017,17014,4518,26855,3754,16897,6204,1162,159,964,39,1150,166,932,52,52404
03067,52,2,33,17,49,2,28,19,2,0,2,0,1,0,1,0,101
03068,29,1,16,12,24,0,12,12,2,0,2,0,4,0,2,2,53
03069,3231,493,2226,512,3150,511,2134,505,1187,162,785,240,1245,155,866,224,6381
03077,1256,128,701,427,1218,111,717,390,452,18,189,245,418,7,220,191,2474
03070,2069,345,1324,400,2062,318,1308,436,790,113,455,222,766,105,462,199,4131
03072,241,35,147,59,230,35,136,59,22,2,10,10,24,3,12,9,471
03071,2974,444,1971,559,2919,438,1839,642,555,66,367,122,532,88,343,101,5893
03073,144,4,103,37,114,11,72,31,7,0,5,2,6,0,6,0,258
03074,1310,226,892,192,1179,214,757,208,209,52,153,4,179,47,128,4,2489
03076,7358,1175,4602,1581,7700,1126,4717,1857,2164,307,1288,569,2350,299,1442,609,15058
03078,585,49,295,241,547,47,296,204,276,5,108,163,290,9,138,143,1132
03079,11720,1903,7886,1931,11683,1745,7546,2392,641,82,540,19,566,72,472,22,23403
03080,1009,171,641,197,977,140,605,232,184,29,102,53,208,31,113,64,1986
03082,13528,2050,8454,3024,13696,1984,8279,3433,5699,657,3161,1881,5718,623,3151,1944,27224
03083,3342,517,2218,607,3533,441,2169,923,183,27,137,19,185,21,143,21,6875
03085,529,52,263,214,522,36,281,205,361,24,152,185,368,16,183,169,1051
03084,293,18,186,89,303,21,173,109,12,0,5,7,19,0,13,6,596
03086,122,7,77,38,107,3,68,36,32,0,17,15,26,0,16,10,229
