codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,312,35,209,68,299,25,193,81,109,12,72,25,104,5,84,15,611
03002,2317,377,1598,342,2284,389,1452,443,251,43,203,5,175,34,134,7,4601
03003,350,47,241,62,303,34,191,78,33,5,28,0,26,7,19,0,653
03004,413,66,280,67,388,59,263,66,105,18,72,15,110,17,78,15,801
03005,5392,1122,3624,646,5057,1001,3311,745,880,120,704,56,588,106,445,37,10449
03006,707,77,424,206,645,59,412,174,380,21,237,122,356,15,257,84,1352
03007,82,9,54,19,97,14,63,20,10,0,7,3,9,0,7,2,179
03008,117,9,71,37,111,5,65,41,6,1,5,0,2,0,0,2,228
03009,29562,4744,20432,4386,31369,4623,20156,6590,1474,241,1212,21,1304,258,1025,21,60931
03010,209,34,137,38,221,40,135,46,10,2,8,0,3,1,2,0,430
03011,8446,1392,5413,1641,8397,1329,5510,1558,4192,553,2377,1262,4379,504,2722,1153,16843
03012,1165,160,781,224,1132,155,778,199,555,57,372,126,516,51,376,89,2297
03013,736,108,464,164,765,119,467,179,56,13,39,4,42,9,30,3,1501
03014,155204,25735,109226,20243,164176,24228,110149,29799,18579,2583,15320,676,17009,2500,13619,890,319380
03015,8535,1629,5927,979,8012,1507,5264,1241,1359,228,1078,53,926,207,677,42,16547
03016,66,9,36,21,50,4,32,14,4,0,2,2,8,1,6,1,116
03017,229,32,148,49,220,43,126,51,40,5,33,2,14,4,10,0,449
03018,10563,1672,7293,1598,10591,1567,7188,1836,3354,321,2375,658,3187,317,2315,555,21154
03019,9205,1677,6292,1236,8998,1543,5928,1527,607,99,472,36,475,93,367,15,18203
03020,78,9,50,19,91,10,53,28,8,1,7,0,11,3,8,0,169
03021,3650,641,2530,479,3632,604,2339,689,184,32,151,1,105,18,86,1,7282
03022,109,6,72,31,113,5,72,36,3,0,3,0,5,0,4,1,222
03023,943,124,652,167,943,133,572,238,110,20,90,0,107,21,85,1,1886
03024,2639,479,1752,408,2610,425,1687,498,194,22,165,7,133,15,114,4,5249
03025,710,107,506,97,675,89,471,115,121,13,79,29,117,8,89,20,1385
03026,768,109,522,137,780,110,508,162,160,19,113,28,149,21,104,24,1548
03027,124,10,86,28,111,10,69,32,39,5,32,2,23,5,18,0,235
03028,693,96,436,161,687,93,387,207,46,4,42,0,37,12,23,2,1380
03029,287,21,187,79,272,18,165,89,127,8,87,32,108,7,77,24,559
03030,510,51,314,145,534,74,321,139,229,17,124,88,236,28,143,65,1044
03031,34038,5114,24348,4576,33454,4648,23535,5271,8941,1122,6712,1107,8174,1059,6084,1031,67492
03032,57,3,40,14,67,3,36,28,0,0,0,0,0,0,0,0,124
03033,85,10,54,21,80,9,50,21,13,2,11,0,10,2,8,0,165
03034,1673,243,1111,319,1707,244,1179,284,908,99,599,210,902,95,663,144,3380
03035,436,43,298,95,438,52,261,125,9,1,6,2,8,1,7,0,874
03036,47,2,37,8,55,7,39,9,2,0,2,0,4,1,2,1,102
03037,238,20,163,55,249,26,158,65,66,4,54,8,62,6,49,7,487
03038,218,24,142,52,223,19,127,77,8,2,5,1,9,1,6,2,441
03039,81,12,52,17,59,5,39,15,8,2,4,2,6,0,5,1,140
03040,183,19,125,39,180,21,109,50,34,4,23,7,43,10,27,6,363
03041,6066,767,3931,1368,5869,753,3739,1377,2593,213,1569,811,2367,199,1499,669,11935
03042,1948,233,1255,460,1860,240,1211,409,1215,127,781,307,1121,133,773,215,3808
03043,1784,282,1201,301,1836,285,1207,344,84,16,62,6,65,9,53,3,3620
03044,3048,545,2152,351,2914,580,1920,414,407,63,323,21,296,63,223,10,5962
03045,199,14,129,56,193,23,117,53,71,7,51,13,76,12,50,14,392
03046,1217,174,849,194,1204,217,819,168,428,34,277,117,413,50,293,70,2421
03047,12943,1627,7912,3404,12247,1507,7416,3324,7659,545,4286,2828,7106,539,3930,2637,25190
03048,4340,631,3150,559,3839,614,2511,714,1397,165,1190,42,905,187,681,37,8179
03049,8586,1532,5918,1136,8280,1439,5400,1441,1019,178,833,8,686,171,508,7,16866
03050,11667,2038,8030,1599,11973,2029,8133,1811,1997,242,1286,469,2061,227,1412,422,23640
