codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros varones,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,389,35,223,131,360,25,215,120,176,11,93,72,172,10,105,57,749
03002,2424,378,1660,386,2367,381,1512,474,263,39,208,16,226,40,171,15,4791
03003,311,40,212,59,287,35,174,78,35,4,28,3,37,8,24,5,598
03004,577,91,376,110,528,76,339,113,177,19,113,45,170,17,110,43,1105
03005,6112,1146,4178,788,5824,1110,3816,898,1341,205,996,140,1068,190,775,103,11936
03006,722,66,372,284,711,67,380,264,417,20,183,214,432,21,234,177,1433
03007,119,16,75,28,114,15,67,32,26,3,14,9,21,2,11,8,233
03008,104,8,62,34,100,4,58,38,10,0,8,2,9,0,5,4,204
03009,29690,4911,20046,4733,31147,4696,19494,6957,1885,267,1582,36,1585,267,1296,22,60837
03010,205,25,135,45,214,33,128,53,16,0,16,0,6,0,5,1,419
03011,10998,1587,6748,2663,10966,1553,6887,2526,6225,633,3524,2068,6361,631,3827,1903,21964
03012,2364,253,1421,690,2391,288,1490,613,1700,123,981,596,1716,152,1070,494,4755
03013,767,118,484,165,760,108,467,185,88,12,71,5,57,14,39,4,1527
03014,162536,27757,111524,23255,172142,25967,113086,33089,25582,3792,20651,1139,24022,3536,19171,1315,334678
03015,9955,1952,6755,1248,9646,1873,6239,1534,2312,524,1592,196,1951,463,1327,161,19601
03016,69,8,41,20,60,5,36,19,11,0,7,4,12,1,8,3,129
03017,236,36,165,35,279,59,173,47,21,5,14,2,21,2,17,2,515
03018,12065,1826,7930,2309,12233,1738,7976,2519,4863,502,3159,1202,4732,526,3131,1075,24298
03019,10254,1847,7009,1398,10055,1758,6634,1663,854,131,629,94,834,133,635,66,20309
03020,81,7,53,21,76,8,44,24,19,1,17,1,14,2,12,0,157
03021,3602,603,2430,569,3620,590,2277,753,186,32,149,5,149,39,105,5,7222
03022,84,4,52,28,90,4,53,33,4,1,3,0,6,0,5,1,174
03023,901,126,592,183,891,107,545,239,70,15,53,2,53,6,43,4,1792
03024,2692,454,1782,456,2733,458,1690,585,336,57,246,33,348,72,245,31,5425
03025,1016,181,676,159,918,152,611,155,177,16,98,63,178,17,117,44,1934
03026,954,164,634,156,948,149,605,194,199,23,129,47,211,28,142,41,1902
03027,139,17,89,33,109,7,70,32,57,11,40,6,33,3,25,5,248
03028,628,73,397,158,643,69,359,215,39,6,30,3,58,10,42,6,1271
03029,300,31,162,107,283,22,154,107,155,11,75,69,140,10,85,45,583
03030,650,87,363,200,665,86,370,209,330,34,152,144,336,32,173,131,1315
03031,36800,4931,25648,6221,36191,4549,24702,6940,13577,1569,9956,2052,12160,1468,8851,1841,72991
03032,55,3,40,12,55,3,34,18,1,0,1,0,0,0,0,0,110
03033,103,16,53,34,99,18,57,24,23,1,15,7,20,3,15,2,202
03034,2076,249,1218,609,2131,269,1293,569,1270,105,677,488,1267,102,752,413,4207
03035,404,31,253,120,396,33,222,141,23,1,16,6,24,0,21,3,800
03036,47,3,35,9,59,8,40,11,0,0,0,0,3,0,3,0,106
03037,242,23,161,58,276,27,181,68,65,5,42,18,65,4,44,17,518
03038,207,26,129,52,210,10,124,76,14,1,9,4,20,0,15,5,417
03039,68,6,44,18,57,5,33,19,11,2,7,2,11,0,7,4,125
03040,204,20,132,52,220,26,109,85,53,3,28,22,70,4,31,35,424
03041,6935,846,4114,1975,6873,847,4027,1999,3419,266,1800,1353,3288,270,1783,1235,13808
03042,2858,306,1535,1017,2840,313,1575,952,2046,181,997,868,2021,177,1107,737,5698
03043,1809,291,1200,318,1886,300,1202,384,87,19,62,6,79,14,58,7,3695
03044,3443,616,2366,461,3276,604,2139,533,641,92,465,84,498,83,352,63,6719
03045,230,17,142,71,220,22,142,56,94,4,61,29,101,8,72,21,450
03046,1720,252,1085,383,1692,255,1090,347,732,67,388,277,701,52,435,214,3412
03047,14972,1860,8715,4397,14578,1685,8395,4498,9399,776,4954,3669,9099,712,4749,3638,29550
03048,3995,660,2726,609,3820,598,2465,757,1135,148,905,82,901,135,694,72,7815
03049,9092,1823,6057,1212,8942,1656,5695,1591,1635,445,1153,37,1342,371,942,29,18034
03050,13705,2319,8994,2392,14004,2162,9221,2621,2688,261,1685,742,2746,260,1835,651,27709
03051,224,30,151,43,220,30,131,59,12,3,9,0,13,1,12,0,444
03052,607,111,381,115,630,107,388,135,17,2,15,0,18,0,17,1,1237
03053,5343,828,3630,885,5230,773,3441,1016,993,103,620,270,919,102,601,216,10573
03054,237,20,141,76,241,16,116,109,50,7,25,18,46,3,30,13,478
03055,4643,825,3040,778,4440,725,2894,821,1381,192,884,305,1277,155,865,257,9083
03056,5859,876,4025,958,5732,792,3708,1232,555,82,433,40,447,86,317,44,11591
03057,159,8,99,52,124,6,63,55,29,3,21,5,34,1,26,7,283
03058,3625,664,2470,491,3452,613,2313,526,613,118,480,15,505,103,391,11,7077
03059,14492,2704,9920,1868,13947,2584,9158,2205,1793,398,1287,108,1417,377,966,74,28439
03060,52,3,33,16,57,0,27,30,3,0,3,0,4,0,3,1,109
03061,1008,145,646,217,988,150,614,224,351,37,205,109,355,43,233,79,1996
03062,385,23,242,120,373,24,240,109,271,12,163,96,253,13,164,76,758
03063,21897,3679,14608,3610,22558,3373,14886,4299,6483,789,4177,1517,6514,701,4317,1496,44455
03064,3666,674,2386,606,3696,659,2322,715,612,138,381,93,603,134,393,76,7362
03065,114873,20210,80531,14132,115714,19298,78034,18382,14987,2606,11905,476,13012,2433,10045,534,230587
03066,26770,4376,18271,4123,27766,3969,18089,5708,1703,276,1379,48,1546,258,1244,44,54536
03067,55,3,35,17,49,2,29,18,2,0,2,0,1,0,1,0,104
03068,31,0,20,11,28,1,15,12,4,0,2,2,6,0,2,4,59
03069,3578,518,2493,567,3354,537,2309,508,1750,225,1173,352,1703,227,1182,294,6932
03070,2342,379,1593,370,2217,320,1490,407,1127,140,800,187,977,103,706,168,4559
03071,3223,522,2139,562,3104,488,1935,681,778,127,506,145,719,118,473,128,6327
03072,231,27,149,55,214,21,135,58,31,0,16,15,33,3,21,9,445
03073,137,12,89,36,124,10,73,41,6,0,4,2,6,1,4,1,261
03074,1300,213,894,193,1161,190,758,213,197,37,159,1,144,23,119,2,2461
03075,120,7,85,28,118,14,78,26,29,2,24,3,29,1,24,4,238
03076,8612,1238,5355,2019,8526,1132,5342,2052,3507,381,2063,1063,3378,329,2120,929,17138
03077,1542,141,981,420,1495,150,963,382,728,41,435,252,662,34,452,176,3037
03078,650,54,386,210,588,54,362,172,325,17,167,141,326,22,198,106,1238
03079,11828,1997,8176,1655,11788,1817,7874,2097,907,163,729,15,805,162,632,11,23616
03080,1050,187,671,192,1026,156,635,235,241,34,150,57,247,30,159,58,2076
03081,1664,229,1032,403,1637,210,1024,403,823,90,501,232,800,91,523,186,3301
03082,16560,2305,9981,4274,16423,2186,9896,4341,9134,964,4965,3205,8970,879,5115,2976,32983
03083,3595,573,2390,632,3828,497,2374,957,335,49,238,48,320,52,224,44,7423
03084,371,42,231,98,358,34,208,116,33,6,21,6,34,4,22,8,729
03085,526,46,296,184,545,40,342,163,362,20,191,151,380,12,241,127,1071
03086,111,10,76,25,106,7,71,28,28,1,19,8,29,2,22,5,217
03088,4110,649,2914,547,3693,629,2495,569,663,48,533,82,454,45,354,55,7803
03089,6387,1004,4323,1060,6457,911,4127,1419,653,91,506,56,588,90,449,49,12844
03090,11935,2404,8229,1302,11899,2191,8109,1599,1514,226,1003,285,1511,212,1036,263,23834
03091,287,21,150,116,311,22,167,122,159,5,85,69,154,6,90,58,598
03092,4474,771,3081,622,4536,787,2939,810,360,59,272,29,309,66,218,25,9010
03093,13299,2357,9103,1839,13393,2318,8701,2374,1325,201,1093,31,1001,183,788,30,26692
03094,9707,1681,6282,1744,9428,1480,6192,1756,3998,428,2296,1274,4068,388,2466,1214,19135
