date,value
2013,1.03535218067701
2014,-25.7141340129553
2015,-3.48795654349225
2016,-12.1602606828112
2017,-22.1229238681393
2018,1.68886001948685
2019,1.28819333546258
2020,0.924952701282322
2021,4.40533222245365
