codine,T2002,T2003,T2004,T2005,T2006,T2007,T2008,T2009,T2010,T2011,T2012,T2013,T2014,T2015,T2016,T2017,T2018,T2019,T2020,T2021,P2013,P2014,P2015,P2016,P2017,P2018,P2019,P2020,P2021,VIA2013,VIA2014,VIA2015,VIA2016,VIA2017,VIA2018,VIA2019,VIA2020,VIA2021
03015,32,97,172,335,580,708,858,942,1015,717,768,805,790,756,685,663,637,689,708,688,4.81770833333333,2.86458333333333,-1.5625,-10.8072916666667,-13.671875,-17.0572916666667,-10.2864583333333,-12.0496894409938,-12.9113924050633,4.81770833333333,-1.86335403726709,-4.30379746835443,-9.39153439153439,-3.21167883211679,-3.92156862745098,8.16326530612245,2.75761973875181,-2.82485875706215
03016,4,3,4,10,14,14,18,18,23,23,21,21,11,10,9,9,7,8,8,9,0,-47.6190476190476,-52.3809523809524,-57.1428571428571,-57.1428571428571,-66.6666666666667,-61.9047619047619,-61.9047619047619,-18.1818181818182,0,-47.6190476190476,-9.09090909090909,-10,0,-22.2222222222222,14.2857142857143,0,12.5
03017,3,3,9,12,13,10,12,13,13,14,12,11,8,6,5,3,3,3,3,3,-8.33333333333333,-33.3333333333333,-50,-58.3333333333333,-75,-75,-75,-72.7272727272727,-62.5,-8.33333333333333,-27.2727272727273,-25,-16.6666666666667,-40,0,0,0,0
03018,575,707,723,970,1193,1287,1386,1408,1441,1417,1458,1463,941,897,706,721,733,784,821,862,0.342935528120719,-35.4595336076817,-38.477366255144,-51.5775034293553,-50.5486968449931,-49.7256515775034,-46.2277091906722,-43.8824333561176,-8.39532412327311,0.342935528120719,-35.6801093643199,-4.67587672688629,-21.2931995540691,2.12464589235128,1.66435506241332,6.95770804911324,4.71938775510205,4.99390986601705
03019,28,62,99,184,296,347,391,408,418,335,328,278,231,225,218,178,193,218,238,250,-15.2439024390244,-29.5731707317073,-31.4024390243902,-33.5365853658537,-45.7317073170732,-41.1585365853659,-33.5365853658537,-14.3884892086331,8.22510822510823,-15.2439024390244,-16.9064748201439,-2.59740259740259,-3.11111111111111,-18.348623853211,8.42696629213484,12.9533678756477,9.1743119266055,5.04201680672269
03020,17,17,16,19,22,24,23,25,25,24,24,22,17,15,15,17,16,14,14,13,-8.33333333333333,-29.1666666666667,-37.5,-37.5,-29.1666666666667,-33.3333333333333,-41.6666666666667,-36.3636363636364,-23.5294117647059,-8.33333333333333,-22.7272727272727,-11.7647058823529,0,13.3333333333333,-5.88235294117646,-12.5,0,-7.14285714285714
03021,0,2,2,2,2,7,11,13,13,13,15,15,15,13,14,10,10,10,10,11,0,0,-13.3333333333333,-6.66666666666667,-33.3333333333333,-33.3333333333333,-33.3333333333333,-33.3333333333333,-26.6666666666667,0,0,-13.3333333333333,7.69230769230769,-28.5714285714286,0,0,0,10
03022,0,2,2,2,2,3,3,3,3,3,3,2,3,1,0,0,0,3,3,2,-33.3333333333333,0,-66.6666666666667,-100,-100,-100,0,50,-33.3333333333333,-33.3333333333333,50,-66.6666666666667,-100,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,0,-33.3333333333333
03023,0,0,0,6,12,12,13,13,15,13,13,10,8,9,5,5,6,4,3,4,-23.0769230769231,-38.4615384615385,-30.7692307692308,-61.5384615384615,-61.5384615384615,-53.8461538461539,-69.2307692307692,-70,-50,-23.0769230769231,-20,12.5,-44.4444444444444,0,20,-33.3333333333333,-25,33.3333333333333
03024,3,8,14,32,53,64,77,90,102,108,111,114,109,104,82,87,85,71,73,66,2.70270270270271,-1.8018018018018,-6.30630630630631,-26.1261261261261,-21.6216216216216,-23.4234234234234,-36.036036036036,-35.9649122807018,-39.4495412844037,2.70270270270271,-4.3859649122807,-4.58715596330275,-21.1538461538462,6.09756097560975,-2.29885057471265,-16.4705882352941,2.8169014084507,-9.58904109589041
03025,2,15,34,51,94,118,130,139,133,121,118,116,113,107,95,87,83,65,70,72,-1.69491525423729,-4.23728813559322,-9.32203389830508,-19.4915254237288,-26.271186440678,-29.6610169491525,-44.9152542372881,-39.6551724137931,-36.283185840708,-1.69491525423729,-2.58620689655173,-5.30973451327434,-11.214953271028,-8.42105263157895,-4.59770114942529,-21.6867469879518,7.69230769230769,2.85714285714286
03026,32,41,56,84,105,134,152,164,117,129,138,156,114,122,119,115,122,113,128,140,13.0434782608696,-17.3913043478261,-11.5942028985507,-13.768115942029,-16.6666666666667,-11.5942028985507,-18.1159420289855,-17.9487179487179,22.8070175438596,13.0434782608696,-26.9230769230769,7.01754385964912,-2.45901639344262,-3.36134453781513,6.08695652173913,-7.37704918032787,13.2743362831858,9.375
