year,value
2013,-1.03535218067701
2014,-24.9450136795236
2015,-27.5628989861059
2016,-36.3714393004667
2017,-50.4479373424173
2018,-49.6110723673623
2019,-48.9619655597876
2020,-49.0177338855262
2021,-28.3467943678079
