codine,Hombres menores de 16 años,Hombres de 16 a 64 años,Hombres de 65 y más años,Mujeres menores de 16 años,Mujeres de 16 a 64 años,Mujeres de 65 y más años
03001,4,75,21,0,55,12
03002,36,155,6,26,104,4
03003,5,11,0,5,7,0
03004,11,39,11,7,43,9
03005,63,395,30,55,256,16
03006,15,149,121,2,171,83
03007,0,3,1,0,4,1
03008,0,3,0,0,2,2
03009,155,875,14,149,700,12
03010,2,7,0,1,2,0
03011,380,2146,1586,389,2575,1576
03012,23,214,72,22,217,38
03013,5,27,2,2,22,1
03014,1694,10123,615,1634,9478,840
03015,126,590,18,115,335,13
03016,0,0,2,0,1,0
03017,3,16,1,3,4,0
03018,236,1635,580,235,1693,510
03019,43,258,18,36,210,9
03020,1,8,0,1,7,1
03021,23,130,0,15,77,1
03022,0,4,0,0,4,1
03023,22,100,1,17,76,2
03024,12,89,2,10,61,2
03025,13,55,12,8,56,10
03026,14,91,12,13,71,12
03027,1,19,1,2,9,1
03028,2,33,0,9,18,0
03029,8,73,22,6,57,19
03030,7,108,76,15,121,56
03031,821,5036,1048,0,0,0
03032,0,0,0,0,0,0
03033,1,8,0,4,9,0
03034,77,428,127,66,472,84
03035,1,5,1,1,4,0
03036,0,1,0,1,1,0
03037,3,50,6,4,37,4
03038,2,4,2,2,5,2
03039,2,1,1,0,2,1
03040,1,11,7,3,14,5
03041,201,1537,875,201,1593,772
03042,101,613,246,103,612,170
03043,5,41,2,2,28,5
03044,36,149,3,32,97,4
03045,6,41,10,11,38,10
03046,26,149,63,29,153,43
03047,475,3449,2431,473,3311,2282
03048,127,1160,68,128,629,60
03049,72,557,5,77,312,5
03050,197,972,397,215,1112,384
03051,0,1,0,0,5,0
03052,1,27,0,3,16,0
03053,19,186,7,22,109,6
03054,0,9,2,0,7,0
03055,25,143,5,28,77,4
03056,24,124,3,22,106,3
03057,1,13,3,2,20,2
03058,44,314,1,34,160,3
03059,153,773,32,145,436,17
03060,0,6,2,0,4,1
03061,13,54,3,11,25,1
03062,1,20,4,0,19,1
03063,553,3007,1026,532,3127,969
03064,71,240,14,53,162,14
03065,903,5048,142,844,3965,146
03066,237,980,16,221,943,14
03067,0,0,1,0,0,1
03068,0,4,1,0,3,5
03069,56,325,79,69,314,71
03070,26,124,10,18,79,10
03071,50,181,33,26,154,18
03072,0,0,0,0,0,2
03073,0,0,0,0,2,0
03074,17,68,2,10,30,0
03075,2,11,0,0,11,0
03076,160,992,239,151,918,158
03077,14,97,26,11,89,13
03078,5,52,13,5,51,8
03079,141,531,3,123,435,2
03080,6,44,6,5,37,7
03081,54,223,89,47,272,72
03082,707,4449,2560,660,4300,2353
03083,18,90,15,18,102,18
03084,0,5,0,1,4,1
03085,16,132,68,9,145,48
03086,0,4,1,0,6,0
03088,24,184,5,10,113,3
03089,44,239,12,43,199,10
03090,85,401,97,102,386,111
03091,6,51,16,2,49,13
03092,17,97,7,13,66,4
03093,112,732,10,113,429,17
03094,194,1616,1145,193,1803,1077
03095,34,249,35,33,171,27
03096,27,107,5,17,86,1
03097,9,166,154,14,181,144
03098,11,47,13,11,39,8
03099,896,6775,2025,866,5887,1417
03100,9,82,44,10,90,35
03101,57,402,157,45,355,130
03102,41,558,264,36,390,128
03103,2,2,0,2,3,0
03104,71,333,4,66,341,11
03105,30,159,7,27,127,8
03106,7,10,2,3,11,2
03107,38,254,75,27,224,56
03109,22,117,0,17,75,1
03110,7,69,18,8,65,17
03111,31,159,4,23,70,1
03112,16,53,2,11,47,2
03113,246,1732,1037,235,1869,821
03114,5,77,11,5,72,12
03115,3,30,7,1,30,5
03116,16,50,2,12,45,3
03117,5,49,19,8,46,7
03118,111,986,573,140,1045,447
03119,154,465,63,142,466,68
03120,132,837,323,127,840,239
03121,146,925,223,135,983,185
03122,146,616,40,143,578,50
03123,25,97,9,19,102,5
03124,3,26,5,3,25,3
03125,11,54,19,9,46,13
03127,13,61,18,12,56,16
03128,235,2140,1492,244,2235,1246
03129,6,32,11,4,33,8
03130,0,3,0,0,2,1
03131,1,22,24,4,30,13
03132,4,12,1,4,10,2
03133,1566,12244,4914,1400,11669,4298
03134,0,2,4,0,4,0
03135,0,11,1,0,10,0
03136,5,19,1,4,24,6
03137,1,18,6,0,12,4
03138,26,219,16,28,140,17
03139,163,1179,272,171,941,218
03140,144,631,13,142,576,18
03901,39,339,241,38,418,214
03902,293,2125,481,212,1346,340
03903,24,150,19,19,100,18
03904,4,27,0,2,11,1
