codine,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
03070,350,267,460,741,962,1287,1815,1951,1959,1975,2104,2123,1667,1665,1443,1489,1556,1598
03071,2,462,581,721,881,1233,1417,1497,1499,1492,1497,1449,1180,1107,1038,1024,1087,1242
03072,2,2,3,3,2,7,19,23,71,62,64,64,59,48,45,39,46,44
03073,50,2,6,5,6,4,5,6,13,12,12,16,14,8,10,14,13,10
03074,18,127,133,201,181,222,285,300,328,343,341,350,345,346,385,383,388,441
03075,1895,24,34,39,32,42,43,55,59,63,58,61,52,53,54,43,52,56
03076,170,2618,3054,3823,4795,5460,6142,6518,6615,6812,6885,6784,5321,5241,5026,4272,4514,4758
03077,60,250,384,597,734,904,1113,1254,1322,1373,1390,1401,1012,966,880,857,870,931
03078,761,134,305,471,563,650,623,639,631,639,651,637,514,582,592,534,566,629
03079,68,1235,1444,1487,1688,1846,2241,2229,1985,1779,1712,1683,1462,1295,1225,1225,1207,1316
03080,631,105,153,219,266,388,527,513,498,504,488,459,360,345,347,357,392,421
03081,12988,757,751,1106,1264,1307,1489,1525,1565,1628,1623,1629,1116,978,919,896,912,953
03082,217,15029,13026,14465,15428,15879,16910,17256,17414,17883,18104,18023,13701,12242,11680,11353,11417,11825
03083,10,261,316,460,565,570,627,640,562,645,655,647,536,490,418,379,368,396
03084,237,11,25,32,40,56,57,59,61,68,67,61,42,37,35,31,31,30
03085,15,418,486,584,605,657,713,712,707,726,742,767,761,777,793,630,729,616
03086,231,11,15,17,32,35,44,51,59,55,57,58,57,57,55,59,58,57
03088,280,339,424,548,612,824,1071,1132,1144,1130,1117,1102,972,885,749,685,819,892
03089,951,547,757,936,1073,1181,1279,1317,1270,1234,1241,1147,876,850,798,716,745,791
03090,85,1182,1300,1658,1903,2152,2340,2580,2748,2858,3025,2444,2719,2607,2654,2620,2667,2896
03091,147,137,178,218,264,284,313,327,332,317,313,318,225,228,203,186,207,195
03092,943,204,247,356,453,487,564,652,635,678,669,725,769,848,957,985,1056,1096
03093,5334,1413,1635,1998,1963,2095,2528,2606,2597,2450,2326,2283,2167,2080,1990,1832,1812,1899
03094,530,6028,4500,5504,6154,6725,7252,7673,7854,7875,8066,8279,8460,8417,8241,6627,6221,6289
03095,96,549,606,695,802,941,1129,1199,1223,1228,1230,1145,1050,985,1000,1010,1000,1078
03096,561,243,367,476,417,530,636,664,637,689,686,510,553,510,475,479,474,523
03097,11758,668,794,947,1177,1318,1408,1473,1490,1463,1442,1422,1038,1017,871,819,901,949
03098,196,129,175,208,206,233,288,313,305,321,337,344,296,278,197,182,157,134
03099,897,17866,18438,24324,27310,29758,33654,34875,35876,37143,38283,39022,31028,30275,27977,23697,24308,24904
03100,956,270,284,337,383,410,414,441,461,487,503,503,423,407,414,387,340,361
03101,8,1146,1169,1411,1506,1694,1969,2079,2068,2077,2153,2073,1703,1587,1622,1598,1589,1749
03102,597,1417,1566,1829,1848,2038,2207,2333,2382,2373,2340,2304,1482,1632,1541,1326,1486,1548
03103,196,9,11,22,9,12,13,17,17,22,24,29,20,36,22,14,13,20
03104,22,826,991,1081,1199,1198,1394,1416,1365,1318,1191,1166,1004,891,845,840,887,898
03105,597,358,548,692,802,871,1059,1121,1319,1311,1299,1295,1074,1091,1029,1067,1155,1264
03106,174,35,39,52,75,90,104,109,115,118,120,121,97,85,73,88,76,69
03107,165,674,890,1115,1229,1344,1499,1570,1570,1644,1721,1805,1363,1332,1369,1439,1481,1479
03109,199,232,315,468,474,559,695,736,768,734,721,690,648,630,601,633,684,732
03110,84,184,213,206,261,296,338,348,375,382,393,369,310,284,271,273,266,273
03111,4324,288,415,636,697,773,956,1032,1060,1056,1055,1095,991,966,951,911,943,936
03112,117,131,200,273,305,370,442,504,527,563,578,584,506,544,545,407,440,435
03113,66,5940,6890,9009,11096,12587,14225,15404,15851,16463,16883,16551,13669,12955,12427,11007,11283,11656
03114,77,182,286,415,485,547,609,637,658,619,589,559,548,525,516,497,493,548
03115,112,76,76,114,142,154,140,155,172,161,150,151,129,133,141,114,112,125
03116,2395,128,138,188,216,215,239,262,213,195,214,213,179,200,180,190,210,211
03117,1061,134,153,188,201,230,245,248,254,267,262,217,223,232,219,204,214,223
03118,1866,3302,4202,5701,7096,8031,8920,9333,9421,9589,9762,9862,6387,6131,4496,4752,5037,4954
03119,1855,1358,1650,1989,2171,2509,2800,2956,2895,2926,2909,2936,2420,2259,2225,2158,2415,2675
03120,1050,2498,2944,3808,4271,4794,5176,5285,5186,5000,4718,4126,3983,3844,3253,2864,2869,3091
03121,123,2597,3168,4700,5952,6707,7579,7853,8015,8339,8566,8672,5777,5600,5089,4648,5121,5511
03122,37,1573,1983,2433,2866,3096,3640,3963,4113,3935,3954,4015,3633,3259,3240,3215,3511,3755
03123,136,257,452,564,674,787,921,979,972,953,962,959,584,544,536,510,552,587
03124,165,65,80,89,103,87,94,108,107,100,98,85,69,70,68,68,66,67
03125,6247,152,182,234,271,264,263,254,271,265,245,253,205,186,158,167,175,181
03127,57,176,190,227,260,278,307,331,342,345,354,354,265,253,226,237,232,241
03128,99,7592,6344,7234,7885,8400,9328,9703,9829,9787,9621,9414,6790,6366,5557,4948,5520,5823
03129,17,94,149,193,240,280,311,321,329,352,354,361,254,247,223,204,172,192
03130,6,6,6,6,10,10,12,9,10,10,10,5,5,2,7,6,10,14
03131,10,94,105,129,150,142,167,170,170,173,183,188,124,116,122,128,126,125
03132,21,33,49,78,78,120,141,139,164,164,177,184,151,140,137,99,103,96
03133,42,36091,32541,40188,46337,47779,54282,54327,53332,53570,54869,55989,41434,37843,33665,32618,32033,33207
03134,36,10,11,13,14,18,18,18,15,17,15,18,13,13,10,12,13,11
03135,303,22,33,35,28,28,35,32,35,35,35,36,22,18,18,19,18,13
03136,1789,59,57,87,96,107,119,120,132,149,151,95,104,113,107,109,120,120
03137,1029,41,55,107,134,138,175,187,184,169,167,172,116,100,87,101,106,119
03138,1069,446,576,789,835,992,1119,1108,1077,1111,1159,1034,911,865,759,706,759,830
03139,3258,2944,3369,4229,4738,5563,6782,7428,7897,6157,6617,7064,6890,6796,6341,6081,6352,6824
03140,243,1524,1845,2168,2186,2590,2970,3054,2908,2740,2633,2601,2289,2155,2053,1970,2032,2276
03901,37,1289,1276,1378,1721,1886,2013,2030,2073,2097,2109,2071,2025,1976,1895,1590,1553,1384
03902,0,4797,5726,7389,8583,9111,9950,10344,10609,10807,11079,11155,8908,8761,8295,8025,8178,8573
03903,0,330,436,589,824,1374,1759,1951,2110,2193,2146,1977,1895,1853,1816,1732,1695,1798
03904,0,45,39,58,69,107,135,163,172,182,193,201,190,181,218,214,214,239
