codine,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,P2013,P2014,P2015,P2016,P2017,P2018,P2019,P2020,P2021,VIA2013,VIA2014,VIA2015,VIA2016,VIA2017,VIA2018,VIA2019,VIA2020,VIA2021
03026,32,41,56,84,105,134,152,164,117,129,138,156,114,122,119,115,122,113,128,140,-13.04,-17.39,-11.59,-13.77,-16.67,-11.59,-18.12,-17.95,22.81,13.04,-26.92,7.02,-2.46,-3.36,6.09,-7.38,13.27,9.38
03027,1,3,3,12,10,10,18,18,18,18,26,6,18,16,14,6,6,11,6,8,76.92,-30.77,-38.46,-46.15,-76.92,-76.92,-57.69,0,-55.56,-76.92,200,-11.11,-12.5,-57.14,0,83.33,-45.45,33.33
03028,0,0,2,7,7,16,16,16,16,16,16,16,13,13,9,7,7,11,11,6,0,-18.75,-18.75,-43.75,-56.25,-56.25,-31.25,-31.25,-53.85,0,-18.75,0,-30.77,-22.22,0,57.14,0,-45.45
03029,82,119,153,170,198,208,209,218,230,233,235,235,202,190,126,137,153,165,147,165,0,-14.04,-19.15,-46.38,-41.7,-34.89,-29.79,-37.45,-18.32,0,-14.04,-5.94,-33.68,8.73,11.68,7.84,-10.91,12.24
03030,225,247,285,310,354,357,395,417,373,380,394,398,305,307,272,231,244,216,202,237,-1.02,-22.59,-22.08,-30.96,-41.37,-38.07,-45.18,-49.25,-22.3,1.02,-23.37,0.66,-11.4,-15.07,5.63,-11.48,-6.48,17.33
03031,2346,3012,2944,3606,4076,4539,4949,5282,5492,5627,5780,5912,3217,3203,2137,2222,2322,2643,3119,3389,-2.28,-44.34,-44.58,-63.03,-61.56,-59.83,-54.27,-47.24,5.35,2.28,-45.59,-0.44,-33.28,3.98,4.5,13.82,18.01,8.66
03032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,0,0,2,2,2,7,7,9,11,14,14,14,12,8,9,8,7,5,5,5,0,-14.29,-42.86,-35.71,-42.86,-50,-64.29,-64.29,-58.33,0,-14.29,-33.33,12.5,-11.11,-12.5,-28.57,0,0
03034,251,455,697,926,1065,1144,1257,1296,1339,1379,1385,926,1097,995,753,795,828,861,882,907,33.14,-20.79,-28.16,-45.63,-42.6,-40.22,-37.83,-4.75,-17.32,-33.14,18.47,-9.3,-24.32,5.58,4.15,3.99,2.44,2.83
03035,5,6,3,7,7,10,19,28,25,28,27,25,25,26,25,18,18,20,18,16,7.41,-7.41,-3.7,-7.41,-33.33,-33.33,-25.93,-28,-36,-7.41,0,4,-3.85,-28,0,11.11,-10,-11.11
03036,0,0,0,1,1,1,1,4,3,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03037,13,24,28,39,40,37,40,39,45,41,44,31,28,27,30,28,32,33,38,40,29.55,-36.36,-38.64,-31.82,-36.36,-27.27,-25,22.58,42.86,-29.55,-9.68,-3.57,11.11,-6.67,14.29,3.13,15.15,5.26
03038,8,5,9,11,12,25,26,26,27,20,24,24,27,22,21,18,21,23,21,19,0,12.5,-8.33,-12.5,-25,-12.5,-4.17,-12.5,-29.63,0,12.5,-18.52,-4.55,-14.29,16.67,9.52,-8.7,-9.52
03039,1,6,7,12,12,12,12,12,14,13,13,8,10,10,8,8,7,8,5,4,38.46,-23.08,-23.08,-38.46,-38.46,-46.15,-38.46,-37.5,-60,-38.46,25,0,-20,0,-12.5,14.29,-37.5,-20
03040,17,21,36,46,72,91,83,74,77,75,80,87,79,73,55,51,61,67,61,52,-8.75,-1.25,-8.75,-31.25,-36.25,-23.75,-16.25,-29.89,-34.18,8.75,-9.2,-7.59,-24.66,-7.27,19.61,9.84,-8.96,-14.75
03041,908,1168,1068,1224,1444,1545,1710,1755,1838,1887,1941,1943,1228,1227,962,915,844,866,881,954,-0.1,-36.73,-36.79,-50.44,-52.86,-56.52,-55.38,-54.66,-22.31,0.1,-36.8,-0.08,-21.6,-4.89,-7.76,2.61,1.73,8.29
03042,697,902,1033,1284,1576,1838,2090,2166,2214,2257,2311,2313,1629,1631,1177,1117,1194,1176,1238,1237,-0.09,-29.51,-29.42,-49.07,-51.67,-48.33,-49.11,-46.48,-24.06,0.09,-29.57,0.12,-27.84,-5.1,6.89,-1.51,5.27,-0.08
03043,0,0,2,7,7,14,29,33,31,37,36,34,27,25,20,23,27,26,23,24,5.56,-25,-30.56,-44.44,-36.11,-25,-27.78,-32.35,-11.11,-5.56,-20.59,-7.41,-20,15,17.39,-3.7,-11.54,4.35
03044,9,23,36,145,219,258,272,283,277,283,277,195,249,233,216,154,176,167,178,180,29.6,-10.11,-15.88,-22.02,-44.4,-36.46,-39.71,-8.72,-27.71,-29.6,27.69,-6.43,-7.3,-28.7,14.29,-5.11,6.59,1.12
03045,47,44,49,73,76,80,86,99,110,112,110,109,98,94,93,90,90,89,89,87,0.91,-10.91,-14.55,-15.45,-18.18,-18.18,-19.09,-18.35,-11.22,-0.91,-10.09,-4.08,-1.06,-3.23,0,-1.11,0,-2.25
03046,122,201,294,481,592,656,733,776,791,798,800,790,608,558,483,432,411,407,414,422,1.25,-24,-30.25,-39.63,-46,-48.63,-49.13,-47.59,-30.59,-1.25,-23.04,-8.22,-13.44,-10.56,-4.86,-0.97,1.72,1.93
