codine,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,P2013,P2014,P2015,P2016,P2017,P2018,P2019,P2020,P2021,VIA2013,VIA2014,VIA2015,VIA2016,VIA2017,VIA2018,VIA2019,VIA2020,VIA2021
03103,2,2,2,3,4,6,6,8,8,8,8,8,4,2,4,3,2,4,6,6,0,-50,-75,-50,-62.5,-75,-50,-25,50,0,-50,-50,100,-25,-33.33,100,50,0
03104,6,9,9,31,32,38,43,55,49,48,43,44,27,23,24,25,29,31,57,55,-2.33,-37.21,-46.51,-44.19,-41.86,-32.56,-27.91,29.55,103.7,2.33,-38.64,-14.81,4.35,4.17,16,6.9,83.87,-3.51
03105,17,52,99,220,310,366,445,544,617,638,637,641,492,530,484,497,526,599,591,651,-0.63,-22.76,-16.8,-24.02,-21.98,-17.43,-5.97,-7.8,32.32,0.63,-23.24,7.72,-8.68,2.69,5.84,13.88,-1.34,10.15
03106,14,22,23,27,37,48,51,52,58,62,64,62,54,46,38,46,33,32,34,41,3.13,-15.63,-28.13,-40.63,-28.13,-48.44,-50,-45.16,-24.07,-3.13,-12.9,-14.81,-17.39,21.05,-28.26,-3.03,6.25,20.59
03107,122,155,268,383,465,509,598,629,630,644,647,666,420,395,350,361,363,339,335,324,-2.94,-35.09,-38.95,-45.9,-44.2,-43.89,-47.6,-49.7,-22.86,2.94,-36.94,-5.95,-11.39,3.14,0.55,-6.61,-1.18,-3.28
03109,0,3,5,5,13,18,28,34,38,30,35,28,27,25,26,30,31,34,30,24,20,-22.86,-28.57,-25.71,-14.29,-11.43,-2.86,7.14,-11.11,-20,-3.57,-7.41,4,15.38,3.33,9.68,-11.76,-20
03110,86,95,106,122,152,176,200,210,229,231,231,221,184,173,155,142,134,136,143,140,4.33,-20.35,-25.11,-32.9,-38.53,-41.99,-41.13,-35.29,-23.91,-4.33,-16.74,-5.98,-10.4,-8.39,-5.63,1.49,5.15,-2.1
03111,1,3,3,15,28,37,41,44,45,41,42,41,24,14,18,17,16,12,15,12,2.38,-42.86,-66.67,-57.14,-59.52,-61.9,-71.43,-63.41,-50,-2.38,-41.46,-41.67,28.57,-5.56,-5.88,-25,25,-20
03112,53,86,126,159,199,248,309,354,363,384,393,395,335,361,347,258,255,231,211,218,-0.51,-14.76,-8.14,-11.7,-34.35,-35.11,-41.22,-46.58,-34.93,0.51,-15.19,7.76,-3.88,-25.65,-1.16,-9.41,-8.66,3.32
03113,1546,2355,3211,4668,6134,7134,8070,8705,8840,9181,9334,9083,7249,6665,6291,5564,5648,5846,5734,5511,2.69,-22.34,-28.59,-32.6,-40.39,-39.49,-37.37,-36.87,-23.98,-2.69,-20.19,-8.06,-5.61,-11.56,1.51,3.51,-1.92,-3.89
03114,53,94,158,250,333,374,422,442,449,401,361,327,301,271,278,263,257,270,282,284,9.42,-16.62,-24.93,-22.99,-27.15,-28.81,-25.21,-13.76,-5.65,-9.42,-7.95,-9.97,2.58,-5.4,-2.28,5.06,4.44,0.71
03115,34,41,42,71,72,86,93,100,121,109,104,101,82,88,92,74,75,85,93,90,2.88,-21.15,-15.38,-11.54,-28.85,-27.88,-18.27,-7.92,9.76,-2.88,-18.81,7.32,4.55,-19.57,1.35,13.33,9.41,-3.23
03116,14,29,38,71,97,118,128,141,129,114,116,114,80,86,78,96,109,114,123,137,1.72,-31.03,-25.86,-32.76,-17.24,-6.03,-1.72,7.89,71.25,-1.72,-29.82,7.5,-9.3,23.08,13.54,4.59,7.89,11.38
03117,35,46,59,76,93,111,116,122,124,126,128,99,104,106,96,78,82,86,87,88,22.66,-18.75,-17.19,-25,-39.06,-35.94,-32.81,-12.12,-15.38,-22.66,5.05,1.92,-9.43,-18.75,5.13,4.88,1.16,1.15
03118,1053,1579,2416,3658,4679,5311,5882,6138,6187,6262,6304,6364,3980,3781,2651,2803,2973,2853,2880,3122,-0.95,-36.87,-40.02,-57.95,-55.54,-52.84,-54.74,-54.75,-21.56,0.95,-37.46,-5,-29.89,5.73,6.06,-4.04,0.95,8.4
03119,60,79,110,128,142,153,163,163,166,172,179,178,122,116,97,87,90,105,128,132,0.56,-31.84,-35.2,-45.81,-51.4,-49.72,-41.34,-28.09,8.2,-0.56,-31.46,-4.92,-16.38,-10.31,3.45,16.67,21.9,3.13
03120,889,1305,1675,2262,2651,3033,3315,3375,3310,3124,2926,2512,2424,2336,1929,1661,1643,1779,1924,2136,14.15,-17.16,-20.16,-34.07,-43.23,-43.85,-39.2,-23.41,-11.88,-14.15,-3.5,-3.63,-17.42,-13.89,-1.08,8.28,8.15,11.02
03121,209,401,703,1582,2285,2826,3146,3280,3395,3440,3465,3473,1737,1601,1274,897,966,1066,1109,1257,-0.23,-49.87,-53.8,-63.23,-74.11,-72.12,-69.24,-68.07,-27.63,0.23,-49.99,-7.83,-20.42,-29.59,7.69,10.35,4.03,13.35
03122,32,42,41,51,58,70,78,85,85,88,87,88,71,70,68,67,67,66,76,78,-1.15,-18.39,-19.54,-21.84,-22.99,-22.99,-24.14,-13.64,9.86,1.15,-19.32,-1.41,-2.86,-1.47,0,-1.49,15.15,2.63
03123,7,69,174,258,337,415,465,532,547,549,545,549,282,246,247,251,259,278,263,290,-0.73,-48.26,-54.86,-54.68,-53.94,-52.48,-48.99,-52.09,2.84,0.73,-48.63,-12.77,0.41,1.62,3.19,7.34,-5.4,10.27
03124,5,15,27,25,34,35,40,48,43,40,37,35,28,29,28,27,26,26,25,18,5.41,-24.32,-21.62,-24.32,-27.03,-29.73,-29.73,-28.57,-35.71,-5.41,-20,3.57,-3.45,-3.57,-3.7,0,-3.85,-28
03125,59,65,74,89,90,89,94,94,103,110,104,98,60,54,45,45,46,50,48,45,5.77,-42.31,-48.08,-56.73,-56.73,-55.77,-51.92,-51.02,-25,-5.77,-38.78,-10,-16.67,0,2.22,8.7,-4,-6.25
03127,58,65,65,78,83,84,84,94,102,104,108,111,93,85,75,79,76,80,73,78,-2.78,-13.89,-21.3,-30.56,-26.85,-29.63,-25.93,-34.23,-16.13,2.78,-16.22,-8.6,-11.76,5.33,-3.8,5.26,-8.75,6.85
03128,2401,2893,2399,2786,3109,3372,3768,3948,3998,4016,3965,3951,2572,2408,1958,1692,1957,2064,2092,2277,0.35,-35.13,-39.27,-50.62,-57.33,-50.64,-47.94,-47.05,-11.47,-0.35,-34.9,-6.38,-18.69,-13.59,15.66,5.47,1.36,8.84
03129,9,21,49,75,100,116,122,123,125,147,150,155,107,103,96,89,68,68,69,75,-3.33,-28.67,-31.33,-36,-40.67,-54.67,-54.67,-55.48,-29.91,3.33,-30.97,-3.74,-6.8,-7.29,-23.6,0,1.47,8.7
03130,,5,5,5,9,9,9,9,9,9,9,4,3,1,6,5,8,9,9,8,55.56,-66.67,-88.89,-33.33,-44.44,-11.11,0,125,166.67,-55.56,-25,-66.67,500,-16.67,60,12.5,0,-11.11
03131,54,51,59,79,97,97,120,124,126,131,138,141,93,83,86,90,86,88,87,93,-2.17,-32.61,-39.86,-37.68,-34.78,-37.68,-36.23,-38.3,0,2.17,-34.04,-10.75,3.61,4.65,-4.44,2.33,-1.14,6.9
03132,0,0,4,8,8,23,25,29,29,29,31,33,26,25,25,20,19,15,16,19,-6.45,-16.13,-19.35,-19.35,-35.48,-38.71,-51.61,-51.52,-26.92,6.45,-21.21,-3.85,0,-20,-5,-21.05,6.67,18.75
03133,7381,9135,7815,9832,10902,11636,12550,12749,12725,12994,13121,13172,7338,5995,4427,4431,4437,4533,4725,4743,-0.39,-44.07,-54.31,-66.26,-66.23,-66.18,-65.45,-64.13,-35.36,0.39,-44.29,-18.3,-26.16,0.09,0.14,2.16,4.24,0.38
03134,7,7,7,8,9,12,12,13,10,11,9,9,7,5,5,6,7,7,5,9,0,-22.22,-44.44,-44.44,-33.33,-22.22,-22.22,-44.44,28.57,0,-22.22,-28.57,0,20,16.67,0,-28.57,80
03135,6,7,11,13,11,11,12,12,12,14,14,14,7,4,4,5,7,5,4,2,0,-50,-71.43,-71.43,-64.29,-50,-64.29,-71.43,-71.43,0,-50,-42.86,0,25,40,-28.57,-20,-50
03136,9,14,18,38,40,48,60,60,65,73,69,42,45,44,42,42,41,34,27,39,39.13,-34.78,-36.23,-39.13,-39.13,-40.58,-50.72,-35.71,-13.33,-39.13,7.14,-2.22,-4.55,0,-2.38,-17.07,-20.59,44.44
03137,11,11,26,54,72,73,91,101,97,90,84,86,50,44,40,44,44,43,38,46,-2.38,-40.48,-47.62,-52.38,-47.62,-47.62,-48.81,-55.81,-8,2.38,-41.86,-12,-9.09,10,0,-2.27,-11.63,21.05
03138,8,16,27,45,59,75,84,91,94,99,102,94,82,74,63,64,61,53,55,53,7.84,-19.61,-27.45,-38.24,-37.25,-40.2,-48.04,-41.49,-35.37,-7.84,-12.77,-9.76,-14.86,1.59,-4.69,-13.11,3.77,-3.64
03139,245,449,523,728,858,996,1103,1130,1175,585,642,710,617,608,499,467,481,499,576,593,-10.59,-3.89,-5.3,-22.27,-27.26,-25.08,-22.27,-18.87,-3.89,10.59,-13.1,-1.46,-17.93,-6.41,3,3.74,15.43,2.95
03140,19,25,50,94,130,159,184,185,184,182,181,187,149,126,110,100,114,122,121,137,-3.31,-17.68,-30.39,-39.23,-44.75,-37.02,-32.6,-35.29,-8.05,3.31,-20.32,-15.44,-12.7,-9.09,14,7.02,-0.82,13.22
03901,96,138,157,217,312,374,429,431,428,428,437,437,441,434,412,355,368,326,305,299,0,0.92,-0.69,-5.72,-18.76,-15.79,-25.4,-30.21,-32.2,0,0.92,-1.59,-5.07,-13.83,3.66,-11.41,-6.44,-1.97
03902,585,1183,1991,2962,3528,3910,4282,4489,4595,4674,4777,4699,3315,3163,2812,2613,2675,2850,2949,2923,1.63,-30.6,-33.79,-41.13,-45.3,-44,-40.34,-37.24,-11.83,-1.63,-29.45,-4.59,-11.1,-7.08,2.37,6.54,3.47,-0.88
03903,58,101,166,240,349,804,1048,1169,1296,1370,1298,1161,1116,1082,1045,985,928,948,958,930,10.55,-14.02,-16.64,-19.49,-24.11,-28.51,-26.96,-17.48,-16.67,-10.55,-3.88,-3.05,-3.42,-5.74,-5.79,2.16,1.05,-2.92
03904,0,0,7,13,21,36,45,45,48,53,48,51,50,48,50,38,39,43,39,41,-6.25,4.17,0,4.17,-20.83,-18.75,-10.42,-23.53,-18,6.25,-1.96,-4,4.17,-24,2.63,10.26,-9.3,5.13
