codine,Total Población,Total Extranjeros,Total Europa,Total Unión Europea (27),Resto de Europa,Total Africa,Total América,Total Asia,Oceanía y Apátridas,% Total Extranjeros,% Total Europa,% Total Unión Europea (27),% Resto de Europa,% Total Africa,% Total América,% Total Asia,% Oceanía y Apátridas
03061,1761,516,433,412,21,66,16,1,0,29.3,24.59,23.4,1.19,3.75,0.91,0.06,0
03062,459,258,250,247,3,1,7,0,0,56.21,54.47,53.81,0.65,0.22,1.53,0,0
03063,42704,12693,8771,7492,1279,572,3123,224,3,29.72,20.54,17.54,3,1.34,7.31,0.52,0.01
03064,6954,953,587,562,25,280,86,0,0,13.7,8.44,8.08,0.36,4.03,1.24,0,0
03065,222422,23732,9184,8255,929,5600,8136,803,9,10.67,4.13,3.71,0.42,2.52,3.66,0.36,0
03066,55289,3471,851,665,186,342,2139,139,0,6.28,1.54,1.2,0.34,0.62,3.87,0.25,0
03067,119,3,3,3,0,0,0,0,0,2.52,2.52,2.52,0,0,0,0,0
03068,53,12,12,12,0,0,0,0,0,22.64,22.64,22.64,0,0,0,0,0
03069,4945,2127,1816,1674,142,54,238,19,0,43.01,36.72,33.85,2.87,1.09,4.81,0.38,0
03070,3518,1287,940,905,35,220,122,5,0,36.58,26.72,25.72,0.99,6.25,3.47,0.14,0
03071,5969,1233,633,628,5,250,337,13,0,20.66,10.6,10.52,0.08,4.19,5.65,0.22,0
03072,376,7,7,7,0,0,0,0,0,1.86,1.86,1.86,0,0,0,0,0
03073,248,4,3,3,0,0,1,0,0,1.61,1.21,1.21,0,0,0.4,0,0
03074,2271,222,40,33,7,104,78,0,0,9.78,1.76,1.45,0.31,4.58,3.43,0,0
03075,215,42,42,39,3,0,0,0,0,19.53,19.53,18.14,1.4,0,0,0,0
03076,15132,5460,4571,3792,779,325,388,174,2,36.08,30.21,25.06,5.15,2.15,2.56,1.15,0.01
03077,2501,904,885,877,8,2,17,0,0,36.15,35.39,35.07,0.32,0.08,0.68,0,0
03078,1231,650,626,621,5,3,21,0,0,52.8,50.85,50.45,0.41,0.24,1.71,0,0
03079,23609,1846,678,660,18,54,1023,91,0,7.82,2.87,2.8,0.08,0.23,4.33,0.39,0
03080,1957,388,325,305,20,36,27,0,0,19.83,16.61,15.59,1.02,1.84,1.38,0,0
03081,3002,1307,1139,1119,20,52,105,11,0,43.54,37.94,37.28,0.67,1.73,3.5,0.37,0
03082,29923,15879,12837,11894,943,709,2062,261,10,53.07,42.9,39.75,3.15,2.37,6.89,0.87,0.03
03083,7553,570,318,299,19,73,175,3,1,7.55,4.21,3.96,0.25,0.97,2.32,0.04,0.01
03084,751,56,46,46,0,4,6,0,0,7.46,6.13,6.13,0,0.53,0.8,0,0
03085,1001,657,645,634,11,2,10,0,0,65.63,64.44,63.34,1.1,0.2,1,0,0
03086,187,35,34,34,0,1,0,0,0,18.72,18.18,18.18,0,0.53,0,0,0
03088,6497,824,327,311,16,193,299,5,0,12.68,5.03,4.79,0.25,2.97,4.6,0.08,0
03089,12923,1181,619,581,38,34,474,54,0,9.14,4.79,4.5,0.29,0.26,3.67,0.42,0
03090,20364,2152,1604,1443,161,157,378,12,1,10.57,7.88,7.09,0.79,0.77,1.86,0.06,0
03091,574,284,265,261,4,1,18,0,0,49.48,46.17,45.47,0.7,0.17,3.14,0,0
03092,8611,487,242,237,5,125,112,8,0,5.66,2.81,2.75,0.06,1.45,1.3,0.09,0
