id,codine,nombre_codine,p2002,e2002,p2003,e2003,p2004,e2004,p2005,e2005,p2006,e2006,p2007,e2007,p2008,e2008,p2009,e2009,p2010,e2010,p2011,e2011,p2012,e2012,p2013,e2013,p2014,e2014,p2015,e2015,p2016,e2016,p2017,e2017,p2018,p2018,p2019,e2019
30,03030,03030 Benidoleig,967,360,972,383,995,414,1044,465,1113,534,1139,557,1221,614,1275,655,1261,621,1305,651,1315,666,1333,677,1189,540,1196,544,1117,491,1080,436,1110,455,1095,433
31,03031,03031 Benidorm,61352,10371,64267,13614,64956,14275,67492,17115,67627,17908,69058,20248,70280,22287,71034,23407,71198,23874,72062,24649,72991,25737,73768,26205,69010,20945,69045,20377,66642,17796,66831,17636,67558,18297,68721,19595
32,03032,03032 Benifallim,140,1,138,0,132,0,124,0,127,0,125,0,115,1,109,1,114,1,115,2,110,1,123,0,121,0,114,1,114,1,111,1,108,0,105,0
33,03033,03033 Benifato,164,21,168,22,173,25,165,23,175,27,188,32,194,33,187,35,199,37,201,41,202,43,198,46,168,30,156,20,158,19,148,16,149,16,140,19
34,03034,03034 Benijófar,2434,846,2830,1254,3138,1553,3380,1810,3541,1980,3707,2140,3900,2280,3976,2354,4004,2395,4153,2476,4207,2537,3514,1792,3791,2057,3655,1910,3163,1419,3290,1556,3357,1621,3322,1595
35,03035,03035 Benilloba,893,10,903,12,891,9,874,17,847,14,843,26,837,38,839,58,821,50,811,47,800,47,794,45,789,47,786,46,769,41,755,35,742,35,724,33
36,03036,03036 Benillup,93,2,92,3,93,4,102,6,98,3,101,4,102,3,99,7,98,6,97,2,106,3,110,2,104,2,101,2,100,2,102,2,94,1,97,2
37,03037,03037 Benimantell,378,30,443,104,447,114,487,128,468,109,466,94,472,98,490,115,514,125,512,122,518,130,487,93,499,91,501,85,494,82,495,84,490,90,483,90
38,03038,03038 Benimarfull,415,11,443,17,455,17,441,17,433,15,441,33,440,38,440,50,414,39,408,31,417,34,423,34,431,37,433,33,427,31,418,28,413,31,409,35
39,03039,03039 Benimassot,142,2,140,7,137,8,140,14,137,15,131,15,125,16,123,16,129,20,129,21,125,22,113,13,113,17,111,17,99,15,99,14,96,13,106,13
40,03040,03040 Benimeli,336,39,332,41,355,59,363,77,389,103,429,131,427,131,402,114,413,122,420,120,424,123,435,132,419,118,416,107,384,87,391,88,410,107,418,110
41,03041,03041 Benissa,11051,4127,12098,5179,11405,4476,11935,4960,12424,5400,12690,5641,13140,6098,13221,6191,13369,6327,13536,6478,13808,6707,13932,6733,11572,4375,11598,4396,11000,3733,10879,3568,10768,3390,11005,3645
42,03042,"03042 Benitachell/Poble Nou de Benitatxell, el",2932,1447,3316,1845,3425,1959,3808,2336,4276,2762,4773,3225,5216,3640,5399,3798,5488,3867,5568,3942,5698,4067,5720,4081,4659,3022,4690,3050,4104,2459,4020,2336,4130,2427,4276,2552
43,03043,03043 Biar,3578,67,3550,83,3574,108,3620,149,3647,141,3693,171,3694,181,3723,194,3703,177,3738,177,3695,166,3689,157,3670,128,3657,123,3647,108,3650,111,3651,121,3671,131
44,03044,03044 Bigastro,5243,193,5421,321,5601,417,5962,703,6303,933,6588,1154,6761,1258,6744,1221,6757,1204,6788,1201,6719,1139,6730,1167,6762,1160,6714,1115,6724,1095,6656,996,6702,1074,6733,1067
45,03045,03045 Bolulla,355,117,357,116,364,117,392,147,390,149,399,154,415,164,433,179,423,183,454,196,450,195,448,202,421,180,426,169,412,170,414,171,418,187,420,181
46,03046,03046 Busot,1875,349,1998,463,2127,558,2421,841,2643,1038,2847,1181,3021,1281,3148,1332,3257,1370,3314,1411,3412,1433,3429,1414,3138,1139,3075,1082,2975,964,2904,889,2925,912,2978,963
47,03047,03047 Calp,20103,10298,22446,12421,23653,13383,25190,14765,26382,15761,27768,17033,29228,18349,29666,18709,29909,18873,29718,18615,29550,18498,29442,18263,22437,11150,21540,10231,19591,8150,20804,9154,21633,9810,22725,10719
48,03048,03048 Callosa d'en Sarrià,7966,1962,8060,2172,7957,2090,8179,2302,7939,2087,8008,2234,8224,2498,8056,2279,7888,2121,7894,2073,7815,2036,7371,1618,7370,1605,7133,1309,7146,1278,7223,1260,7257,1261,7373,1330
49,03049,03049 Callosa de Segura,16005,725,16375,1028,16471,1293,16866,1705,17366,2199,17423,2250,17425,2288,17924,2790,18008,2889,17979,2885,18034,2977,17992,2954,18079,3036,18200,3180,18497,3485,18625,3607,18864,3754,19038,3978
50,03050,"03050 Campello, el",20393,2528,21761,3277,22380,3419,23640,4058,24674,4598,25055,4795,26043,5268,26511,5440,26941,5481,27345,5473,27709,5434,28184,5719,27081,4518,27356,4590,27384,4487,27604,4486,27893,4591,28349,4933
51,03051,"03051 Campo de Mirra/Camp de Mirra, el",413,8,414,6,428,14,416,16,409,14,414,14,426,16,424,13,420,18,438,20,444,25,435,23,437,28,445,26,440,27,436,25,428,26,415,17
52,03052,03052 Cañada,1193,44,1179,47,1176,31,1198,34,1203,34,1203,37,1217,41,1231,42,1238,44,1235,35,1237,35,1249,39,1242,42,1229,38,1245,46,1242,50,1214,39,1220,39
53,03053,03053 Castalla,7940,223,8193,349,8532,575,8977,942,9331,1193,9673,1405,10021,1663,10327,1807,10513,1921,10541,1907,10573,1912,10579,1937,10143,1485,9994,1325,9859,1129,9876,1007,9880,1024,10124,1115
54,03054,03054 Castell de Castells,432,2,465,18,475,39,482,48,487,62,517,80,505,78,508,89,493,91,516,99,478,96,483,102,442,66,431,65,449,70,436,66,435,75,449,77
55,03055,03055 Catral,5380,164,5596,282,5884,433,6642,947,7530,1631,8105,2029,8629,2348,8745,2414,8926,2537,9092,2639,9083,2658,8648,2113,8663,2121,8690,2128,8551,1984,8620,2051,8631,1973,8639,1961
56,03056,03056 Cocentaina,10567,224,10673,282,10907,376,10992,430,11143,534,11209,624,11383,752,11467,818,11534,881,11601,925,11591,1002,11558,1024,11519,1022,11406,1007,11432,1152,11461,1178,11456,1278,11511,1377
57,03057,03057 Confrides,287,12,325,41,301,38,286,34,256,21,303,48,279,42,299,62,276,54,315,67,283,63,243,37,232,25,208,22,207,29,221,39,208,35,187,28
58,03058,03058 Cox,6240,394,6355,556,6377,585,6477,692,6464,650,6414,638,6642,755,6826,891,6957,1004,7029,1033,7077,1118,7135,1166,7188,1165,7229,1121,7193,1107,7192,1114,7226,1143,7297,1167
59,03059,03059 Crevillent,25654,1115,26260,1556,26632,1860,27323,2446,27815,2957,28172,3217,28432,3492,28609,3626,28738,3664,28362,3298,28439,3210,28382,3138,28328,3087,28465,3067,28691,3182,28836,3177,28957,3397,28952,3487
60,03060,03060 Quatretondeta,169,17,160,13,150,10,150,10,145,10,138,9,137,10,129,8,122,8,114,8,109,7,117,8,115,3,111,3,113,3,109,3,121,11,122,10
61,03061,03061 Daya Nueva,1257,84,1272,107,1390,185,1562,362,1676,448,1761,516,1903,632,1942,669,1938,678,1988,694,1996,706,1956,686,1765,502,1732,467,1750,472,1684,414,1718,455,1737,467
62,03062,03062 Daya Vieja,204,31,222,45,261,82,336,146,354,165,459,258,598,385,674,459,696,478,726,501,758,524,770,529,681,438,668,428,672,428,713,466,685,430,690,438
