id,codine,nombre_codine,p2002,e2002,p2003,e2003,p2004,e2004,p2005,e2005,p2006,e2006,p2007,e2007,p2008,e2008,p2009,e2009,p2010,e2010,p2011,e2011,p2012,e2012,p2013,e2013,p2014,e2014,p2015,e2015,p2016,e2016,p2017,e2017,p2018,p2018,p2019,e2019
125,03128,03128 Teulada,10858,99,12299,7592,11060,6344,11983,7234,12745,7885,13281,8400,14236,9328,14620,9703,14778,9829,14722,9787,14578,9621,14452,9414,11824,6790,11460,6366,10654,5557,10097,4948,10722,5520,11112,5823
126,03129,03129 Tibi,1267,17,1299,94,1416,149,1485,193,1572,240,1625,280,1677,311,1719,321,1745,329,1763,352,1761,354,1757,361,1657,254,1656,247,1634,223,1603,204,1564,172,1614,192
127,03130,03130 Tollos,42,28995,38,6,34,6,35,6,43,10,65,10,65,12,68,9,57,10,49,10,45,10,38,5,59,5,52,2,53,7,50,6,56,10,57,14
128,03131,03131 Tormos,312,10,303,94,305,105,328,129,346,150,339,142,375,167,377,170,380,170,383,173,386,183,386,188,317,124,312,116,323,122,333,128,336,126,340,125
129,03132,"03132 Torremanzanas/Torre de les Maçanes, la",695,21,709,33,717,49,727,78,733,78,745,120,758,141,742,139,788,164,802,164,797,177,770,184,743,151,746,140,727,137,682,99,654,103,661,96
130,03133,03133 Torrevieja,69763,42,77943,36091,75530,32541,84348,40188,92034,46337,94006,47779,101381,54282,101792,54327,101091,53332,102136,53570,103720,54869,105205,55989,91415,41434,88447,37843,84213,33665,83252,32618,82599,32033,83337,33207
131,03134,"03134 Vall d'Alcalà, la",170,36,176,10,167,11,167,13,179,14,191,18,186,18,192,18,185,15,187,17,175,15,177,18,175,13,169,13,171,10,168,12,164,13,167,11
132,03135,"03135 Vall d'Ebo, la",338,303,323,22,336,33,328,35,309,28,297,28,299,35,282,32,272,35,284,35,286,35,281,36,254,22,249,18,243,18,232,19,224,18,216,13
133,03136,03136 Vall de Gallinera,578,1789,595,59,590,57,622,87,623,96,672,107,671,119,664,120,662,132,694,149,676,151,609,95,595,104,609,113,582,107,594,109,589,120,571,120
134,03137,"03137 Vall de Laguar, la",885,1029,884,41,894,55,932,107,948,134,937,138,997,175,987,187,981,184,961,169,959,167,942,172,872,116,826,100,801,87,825,101,820,106,846,119
135,03138,"03138 Verger, el",3897,1069,4071,446,4221,576,4490,789,4538,835,4688,992,4847,1119,4865,1108,4858,1077,4899,1111,4992,1159,4856,1034,4688,911,4627,865,4515,759,4421,706,4520,759,4640,830
136,03139,"03139 Villajoyosa/Vila Joiosa, la",25073,3258,26433,2944,26792,3369,27983,4229,29263,4738,30550,5563,32534,6782,33797,7428,34344,7897,32733,6157,33293,6617,33834,7064,33951,6890,33878,6796,33580,6341,33607,6081,33969,6352,34673,6824
137,03140,03140 Villena,32892,243,33455,1524,33889,1845,34185,2168,34186,2186,34523,2590,34928,2970,35222,3054,34968,2908,34966,2740,34894,2633,34834,2601,34530,2289,34361,2155,34163,2053,33968,1970,33983,2032,33964,2276
138,03901,"03901 Poblets, els",2044,37,2274,1289,2242,1276,2404,1378,2865,1721,3078,1886,3267,2013,3288,2030,3310,2073,3394,2097,3404,2109,3402,2071,3350,2025,3303,1976,3246,1895,2926,1590,2864,1553,2705,1384
139,03902,03902 Pilar de la Horadada,13246,,14958,4797,16050,5726,18051,7389,19578,8583,20338,9111,21424,9950,22050,10344,22555,10609,22967,10807,23403,11079,23670,11155,21588,8908,21629,8761,21348,8295,21202,8025,21418,8178,21905,8573
140,03903,"03903 Montesinos, Los",2807,,2964,330,3081,436,3319,589,3654,824,4284,1374,4736,1759,4949,1951,5147,2110,5199,2193,5203,2146,5043,1977,4966,1895,4921,1853,4912,1816,4862,1732,4844,1695,4968,1798
141,03904,03904 San Isidro,1330,,1338,45,1332,39,1368,58,1401,69,1561,107,1708,135,1806,163,1874,172,1934,182,1921,193,1901,201,1891,190,1874,181,1915,218,1920,214,1933,214,1986,239
